   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   6.38250      0.561302E-01  0.562010E-01  0.281005E-01  0.842307E-01  0.280297E-01  -.280297E-01  0.112331      0.281005E-01  0.561302E-01  0.281005E-01   0.00000       0.00000       0.00000      0.281005E-01
  0.103532E-02   6.27214      0.568725E-01  0.571271E-01  0.285635E-01  0.854361E-01  0.283090E-01  -.283090E-01  0.114000      0.285635E-01  0.568725E-01  0.285635E-01   0.00000       0.00000       0.00000      0.285635E-01
  0.107189E-02   6.16177      0.576149E-01  0.580531E-01  0.290265E-01  0.866414E-01  0.285884E-01  -.285884E-01  0.115668      0.290265E-01  0.576149E-01  0.290265E-01   0.00000       0.00000       0.00000      0.290265E-01
  0.110975E-02   6.05141      0.583572E-01  0.589791E-01  0.294896E-01  0.878468E-01  0.288677E-01  -.288677E-01  0.117336      0.294896E-01  0.583572E-01  0.294896E-01   0.00000       0.00000       0.00000      0.294896E-01
  0.114895E-02   5.94105      0.590996E-01  0.599051E-01  0.299526E-01  0.890522E-01  0.291470E-01  -.291470E-01  0.119005      0.299526E-01  0.590996E-01  0.299526E-01   0.00000       0.00000       0.00000      0.299526E-01
  0.118953E-02   5.84417      0.599296E-01  0.609543E-01  0.304772E-01  0.904067E-01  0.294524E-01  -.294524E-01  0.120884      0.304772E-01  0.599296E-01  0.304772E-01   0.00000       0.00000       0.00000      0.304772E-01
  0.123155E-02   5.74867      0.607685E-01  0.620161E-01  0.310080E-01  0.917765E-01  0.297604E-01  -.297604E-01  0.122785      0.310080E-01  0.607685E-01  0.310080E-01   0.00000       0.00000       0.00000      0.310080E-01
  0.127505E-02   5.65317      0.616073E-01  0.630778E-01  0.315389E-01  0.931462E-01  0.300684E-01  -.300684E-01  0.124685      0.315389E-01  0.616073E-01  0.315389E-01   0.00000       0.00000       0.00000      0.315389E-01
  0.132009E-02   5.55767      0.624462E-01  0.641395E-01  0.320698E-01  0.945160E-01  0.303765E-01  -.303765E-01  0.126586      0.320698E-01  0.624462E-01  0.320698E-01   0.00000       0.00000       0.00000      0.320698E-01
  0.136672E-02   5.46216      0.632851E-01  0.652013E-01  0.326006E-01  0.958857E-01  0.306845E-01  -.306845E-01  0.128486      0.326006E-01  0.632851E-01  0.326006E-01   0.00000       0.00000       0.00000      0.326006E-01
  0.141499E-02   5.36666      0.641240E-01  0.662630E-01  0.331315E-01  0.972555E-01  0.309925E-01  -.309925E-01  0.130387      0.331315E-01  0.641240E-01  0.331315E-01   0.00000       0.00000       0.00000      0.331315E-01
  0.146497E-02   5.27116      0.649629E-01  0.673247E-01  0.336624E-01  0.986252E-01  0.313005E-01  -.313005E-01  0.132288      0.336624E-01  0.649629E-01  0.336624E-01   0.00000       0.00000       0.00000      0.336624E-01
  0.151672E-02   5.17566      0.658017E-01  0.683865E-01  0.341932E-01  0.999950E-01  0.316085E-01  -.316085E-01  0.134188      0.341932E-01  0.658017E-01  0.341932E-01   0.00000       0.00000       0.00000      0.341932E-01
  0.157029E-02   5.08572      0.666876E-01  0.695148E-01  0.347574E-01  0.101445      0.319302E-01  -.319302E-01  0.136202      0.347574E-01  0.666876E-01  0.347574E-01   0.00000       0.00000       0.00000      0.347574E-01
  0.162576E-02   5.00305      0.676349E-01  0.707301E-01  0.353650E-01  0.103000      0.322699E-01  -.322699E-01  0.138365      0.353650E-01  0.676349E-01  0.353650E-01   0.00000       0.00000       0.00000      0.353650E-01
  0.168318E-02   4.92038      0.685823E-01  0.719454E-01  0.359727E-01  0.104555      0.326096E-01  -.326096E-01  0.140528      0.359727E-01  0.685823E-01  0.359727E-01   0.00000       0.00000       0.00000      0.359727E-01
  0.174263E-02   4.83771      0.695296E-01  0.731608E-01  0.365804E-01  0.106110      0.329492E-01  -.329492E-01  0.142690      0.365804E-01  0.695296E-01  0.365804E-01   0.00000       0.00000       0.00000      0.365804E-01
  0.180419E-02   4.75504      0.704769E-01  0.743761E-01  0.371880E-01  0.107665      0.332889E-01  -.332889E-01  0.144853      0.371880E-01  0.704769E-01  0.371880E-01   0.00000       0.00000       0.00000      0.371880E-01
  0.186791E-02   4.67237      0.714242E-01  0.755914E-01  0.377957E-01  0.109220      0.336285E-01  -.336285E-01  0.147016      0.377957E-01  0.714242E-01  0.377957E-01   0.00000       0.00000       0.00000      0.377957E-01
  0.193389E-02   4.58970      0.723716E-01  0.768068E-01  0.384034E-01  0.110775      0.339682E-01  -.339682E-01  0.149178      0.384034E-01  0.723716E-01  0.384034E-01   0.00000       0.00000       0.00000      0.384034E-01
  0.200220E-02   4.50703      0.733189E-01  0.780221E-01  0.390110E-01  0.112330      0.343078E-01  -.343078E-01  0.151341      0.390110E-01  0.733189E-01  0.390110E-01   0.00000       0.00000       0.00000      0.390110E-01
  0.207292E-02   4.42436      0.742662E-01  0.792374E-01  0.396187E-01  0.113885      0.346475E-01  -.346475E-01  0.153504      0.396187E-01  0.742662E-01  0.396187E-01   0.00000       0.00000       0.00000      0.396187E-01
  0.214614E-02   4.35231      0.753304E-01  0.806184E-01  0.403092E-01  0.115640      0.350212E-01  -.350212E-01  0.155949      0.403092E-01  0.753304E-01  0.403092E-01   0.00000       0.00000       0.00000      0.403092E-01
  0.222195E-02   4.28072      0.763996E-01  0.820065E-01  0.410032E-01  0.117403      0.353964E-01  -.353964E-01  0.158406      0.410032E-01  0.763996E-01  0.410032E-01   0.00000       0.00000       0.00000      0.410032E-01
  0.230043E-02   4.20913      0.774688E-01  0.833946E-01  0.416973E-01  0.119166      0.357715E-01  -.357715E-01  0.160863      0.416973E-01  0.774688E-01  0.416973E-01   0.00000       0.00000       0.00000      0.416973E-01
  0.238169E-02   4.13753      0.785380E-01  0.847826E-01  0.423913E-01  0.120929      0.361467E-01  -.361467E-01  0.163321      0.423913E-01  0.785380E-01  0.423913E-01   0.00000       0.00000       0.00000      0.423913E-01
  0.246581E-02   4.06594      0.796072E-01  0.861707E-01  0.430853E-01  0.122693      0.365219E-01  -.365219E-01  0.165778      0.430853E-01  0.796072E-01  0.430853E-01   0.00000       0.00000       0.00000      0.430853E-01
  0.255291E-02   3.99435      0.806764E-01  0.875587E-01  0.437794E-01  0.124456      0.368970E-01  -.368970E-01  0.168235      0.437794E-01  0.806764E-01  0.437794E-01   0.00000       0.00000       0.00000      0.437794E-01
  0.264308E-02   3.92276      0.817456E-01  0.889468E-01  0.444734E-01  0.126219      0.372722E-01  -.372722E-01  0.170692      0.444734E-01  0.817456E-01  0.444734E-01   0.00000       0.00000       0.00000      0.444734E-01
  0.273644E-02   3.85116      0.828148E-01  0.903349E-01  0.451674E-01  0.127982      0.376473E-01  -.376473E-01  0.173150      0.451674E-01  0.828148E-01  0.451674E-01   0.00000       0.00000       0.00000      0.451674E-01
  0.283310E-02   3.78420      0.839505E-01  0.918163E-01  0.459081E-01  0.129859      0.380423E-01  -.380423E-01  0.175767      0.459081E-01  0.839505E-01  0.459081E-01   0.00000       0.00000       0.00000      0.459081E-01
  0.293317E-02   3.72217      0.851569E-01  0.933969E-01  0.466984E-01  0.131855      0.384584E-01  -.384584E-01  0.178554      0.466984E-01  0.851569E-01  0.466984E-01   0.00000       0.00000       0.00000      0.466984E-01
  0.303677E-02   3.66013      0.863632E-01  0.949774E-01  0.474887E-01  0.133852      0.388745E-01  -.388745E-01  0.181341      0.474887E-01  0.863632E-01  0.474887E-01   0.00000       0.00000       0.00000      0.474887E-01
