   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   6.26516      0.558509E-01  0.563759E-01  0.281880E-01  0.840388E-01  0.276629E-01  -.276629E-01  0.112227      0.281880E-01  0.558509E-01  0.281880E-01   0.00000       0.00000       0.00000      0.281880E-01
  0.103532E-02   6.15748      0.566031E-01  0.572997E-01  0.286498E-01  0.852529E-01  0.279533E-01  -.279533E-01  0.113903      0.286498E-01  0.566031E-01  0.286498E-01   0.00000       0.00000       0.00000      0.286498E-01
  0.107189E-02   6.04981      0.573553E-01  0.582234E-01  0.291117E-01  0.864670E-01  0.282436E-01  -.282436E-01  0.115579      0.291117E-01  0.573553E-01  0.291117E-01   0.00000       0.00000       0.00000      0.291117E-01
  0.110975E-02   5.94213      0.581075E-01  0.591472E-01  0.295736E-01  0.876811E-01  0.285340E-01  -.285340E-01  0.117255      0.295736E-01  0.581075E-01  0.295736E-01   0.00000       0.00000       0.00000      0.295736E-01
  0.114895E-02   5.83445      0.588598E-01  0.600709E-01  0.300355E-01  0.888952E-01  0.288243E-01  -.288243E-01  0.118931      0.300355E-01  0.588598E-01  0.300355E-01   0.00000       0.00000       0.00000      0.300355E-01
  0.118953E-02   5.73987      0.597007E-01  0.611166E-01  0.305583E-01  0.902591E-01  0.291424E-01  -.291424E-01  0.120817      0.305583E-01  0.597007E-01  0.305583E-01   0.00000       0.00000       0.00000      0.305583E-01
  0.123155E-02   5.64661      0.605507E-01  0.621748E-01  0.310874E-01  0.916381E-01  0.294634E-01  -.294634E-01  0.122726      0.310874E-01  0.605507E-01  0.310874E-01   0.00000       0.00000       0.00000      0.310874E-01
  0.127505E-02   5.55336      0.614008E-01  0.632329E-01  0.316165E-01  0.930172E-01  0.297843E-01  -.297843E-01  0.124634      0.316165E-01  0.614008E-01  0.316165E-01   0.00000       0.00000       0.00000      0.316165E-01
  0.132009E-02   5.46011      0.622508E-01  0.642911E-01  0.321455E-01  0.943963E-01  0.301052E-01  -.301052E-01  0.126542      0.321455E-01  0.622508E-01  0.321455E-01   0.00000       0.00000       0.00000      0.321455E-01
  0.136672E-02   5.36685      0.631008E-01  0.653492E-01  0.326746E-01  0.957754E-01  0.304262E-01  -.304262E-01  0.128450      0.326746E-01  0.631008E-01  0.326746E-01   0.00000       0.00000       0.00000      0.326746E-01
  0.141499E-02   5.27360      0.639508E-01  0.664074E-01  0.332037E-01  0.971544E-01  0.307471E-01  -.307471E-01  0.130358      0.332037E-01  0.639508E-01  0.332037E-01   0.00000       0.00000       0.00000      0.332037E-01
  0.146497E-02   5.18035      0.648008E-01  0.674655E-01  0.337328E-01  0.985335E-01  0.310680E-01  -.310680E-01  0.132266      0.337328E-01  0.648008E-01  0.337328E-01   0.00000       0.00000       0.00000      0.337328E-01
  0.151672E-02   5.08709      0.656508E-01  0.685236E-01  0.342618E-01  0.999126E-01  0.313890E-01  -.313890E-01  0.134174      0.342618E-01  0.656508E-01  0.342618E-01   0.00000       0.00000       0.00000      0.342618E-01
  0.157029E-02   4.99924      0.665484E-01  0.696477E-01  0.348238E-01  0.101372      0.317246E-01  -.317246E-01  0.136196      0.348238E-01  0.665484E-01  0.348238E-01   0.00000       0.00000       0.00000      0.348238E-01
  0.162576E-02   4.91846      0.675082E-01  0.708578E-01  0.354289E-01  0.102937      0.320793E-01  -.320793E-01  0.138366      0.354289E-01  0.675082E-01  0.354289E-01   0.00000       0.00000       0.00000      0.354289E-01
