   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  0.381339      0.276411E-01  0.116203E-01  0.581014E-02  0.334512E-01  0.218309E-01  -.218309E-01  0.392613E-01  0.581014E-02  0.276411E-01  0.581014E-02   0.00000       0.00000       0.00000      0.581014E-02
  0.103532E-02  0.397852      0.278893E-01  0.119923E-01  0.599614E-02  0.338855E-01  0.218932E-01  -.218932E-01  0.398816E-01  0.599614E-02  0.278893E-01  0.599614E-02   0.00000       0.00000       0.00000      0.599614E-02
  0.107189E-02  0.414365      0.281376E-01  0.123643E-01  0.618214E-02  0.343197E-01  0.219555E-01  -.219555E-01  0.405019E-01  0.618214E-02  0.281376E-01  0.618214E-02   0.00000       0.00000       0.00000      0.618214E-02
  0.110975E-02  0.430879      0.283859E-01  0.127363E-01  0.636814E-02  0.347540E-01  0.220177E-01  -.220177E-01  0.411222E-01  0.636814E-02  0.283859E-01  0.636814E-02   0.00000       0.00000       0.00000      0.636814E-02
  0.114895E-02  0.447392      0.286341E-01  0.131083E-01  0.655414E-02  0.351883E-01  0.220800E-01  -.220800E-01  0.417424E-01  0.655414E-02  0.286341E-01  0.655414E-02   0.00000       0.00000       0.00000      0.655414E-02
  0.118953E-02  0.470070      0.289489E-01  0.135850E-01  0.679249E-02  0.357414E-01  0.221564E-01  -.221564E-01  0.425339E-01  0.679249E-02  0.289489E-01  0.679249E-02   0.00000       0.00000       0.00000      0.679249E-02
  0.123155E-02  0.493375      0.292704E-01  0.140723E-01  0.703617E-02  0.363066E-01  0.222342E-01  -.222342E-01  0.433427E-01  0.703617E-02  0.292704E-01  0.703617E-02   0.00000       0.00000       0.00000      0.703617E-02
  0.127505E-02  0.516680      0.295919E-01  0.145597E-01  0.727984E-02  0.368718E-01  0.223121E-01  -.223121E-01  0.441516E-01  0.727984E-02  0.295919E-01  0.727984E-02   0.00000       0.00000       0.00000      0.727984E-02
  0.132009E-02  0.539985      0.299134E-01  0.150470E-01  0.752352E-02  0.374369E-01  0.223899E-01  -.223899E-01  0.449605E-01  0.752352E-02  0.299134E-01  0.752352E-02   0.00000       0.00000       0.00000      0.752352E-02
  0.136672E-02  0.563290      0.302349E-01  0.155344E-01  0.776719E-02  0.380021E-01  0.224677E-01  -.224677E-01  0.457693E-01  0.776719E-02  0.302349E-01  0.776719E-02   0.00000       0.00000       0.00000      0.776719E-02
  0.141499E-02  0.586595      0.305564E-01  0.160217E-01  0.801087E-02  0.385673E-01  0.225456E-01  -.225456E-01  0.465782E-01  0.801087E-02  0.305564E-01  0.801087E-02   0.00000       0.00000       0.00000      0.801087E-02
  0.146497E-02  0.609900      0.308780E-01  0.165091E-01  0.825454E-02  0.391325E-01  0.226234E-01  -.226234E-01  0.473870E-01  0.825454E-02  0.308780E-01  0.825454E-02   0.00000       0.00000       0.00000      0.825454E-02
  0.151672E-02  0.633205      0.311995E-01  0.169964E-01  0.849822E-02  0.396977E-01  0.227012E-01  -.227012E-01  0.481959E-01  0.849822E-02  0.311995E-01  0.849822E-02   0.00000       0.00000       0.00000      0.849822E-02
  0.157029E-02  0.660383      0.315604E-01  0.175488E-01  0.877442E-02  0.403348E-01  0.227860E-01  -.227860E-01  0.491093E-01  0.877442E-02  0.315604E-01  0.877442E-02   0.00000       0.00000       0.00000      0.877442E-02
  0.162576E-02  0.692626      0.319729E-01  0.181863E-01  0.909314E-02  0.410661E-01  0.228798E-01  -.228798E-01  0.501592E-01  0.909314E-02  0.319729E-01  0.909314E-02   0.00000       0.00000       0.00000      0.909314E-02
  0.168318E-02  0.724868      0.323855E-01  0.188237E-01  0.941186E-02  0.417973E-01  0.229736E-01  -.229736E-01  0.512092E-01  0.941186E-02  0.323855E-01  0.941186E-02   0.00000       0.00000       0.00000      0.941186E-02
  0.174263E-02  0.757110      0.327980E-01  0.194612E-01  0.973058E-02  0.425286E-01  0.230674E-01  -.230674E-01  0.522592E-01  0.973058E-02  0.327980E-01  0.973058E-02   0.00000       0.00000       0.00000      0.973058E-02
  0.180419E-02  0.789353      0.332105E-01  0.200986E-01  0.100493E-01  0.432598E-01  0.231612E-01  -.231612E-01  0.533091E-01  0.100493E-01  0.332105E-01  0.100493E-01   0.00000       0.00000       0.00000      0.100493E-01
  0.186791E-02  0.821595      0.336231E-01  0.207361E-01  0.103680E-01  0.439911E-01  0.232550E-01  -.232550E-01  0.543591E-01  0.103680E-01  0.336231E-01  0.103680E-01   0.00000       0.00000       0.00000      0.103680E-01
  0.193389E-02  0.853837      0.340356E-01  0.213735E-01  0.106867E-01  0.447223E-01  0.233488E-01  -.233488E-01  0.554091E-01  0.106867E-01  0.340356E-01  0.106867E-01   0.00000       0.00000       0.00000      0.106867E-01
  0.200220E-02  0.886080      0.344481E-01  0.220109E-01  0.110055E-01  0.454536E-01  0.234427E-01  -.234427E-01  0.564591E-01  0.110055E-01  0.344481E-01  0.110055E-01   0.00000       0.00000       0.00000      0.110055E-01
  0.207292E-02  0.918322      0.348607E-01  0.226484E-01  0.113242E-01  0.461848E-01  0.235365E-01  -.235365E-01  0.575090E-01  0.113242E-01  0.348607E-01  0.113242E-01   0.00000       0.00000       0.00000      0.113242E-01
  0.214614E-02  0.961259      0.353839E-01  0.234723E-01  0.117362E-01  0.471201E-01  0.236478E-01  -.236478E-01  0.588563E-01  0.117362E-01  0.353839E-01  0.117362E-01   0.00000       0.00000       0.00000      0.117362E-01
  0.222195E-02   1.00465      0.359120E-01  0.243042E-01  0.121521E-01  0.480640E-01  0.237599E-01  -.237599E-01  0.602161E-01  0.121521E-01  0.359120E-01  0.121521E-01   0.00000       0.00000       0.00000      0.121521E-01
  0.230043E-02   1.04804      0.364400E-01  0.251360E-01  0.125680E-01  0.490080E-01  0.238719E-01  -.238719E-01  0.615760E-01  0.125680E-01  0.364400E-01  0.125680E-01   0.00000       0.00000       0.00000      0.125680E-01
  0.238169E-02   1.09144      0.369680E-01  0.259679E-01  0.129840E-01  0.499519E-01  0.239840E-01  -.239840E-01  0.629359E-01  0.129840E-01  0.369680E-01  0.129840E-01   0.00000       0.00000       0.00000      0.129840E-01
  0.246581E-02   1.13483      0.374960E-01  0.267998E-01  0.133999E-01  0.508959E-01  0.240961E-01  -.240961E-01  0.642958E-01  0.133999E-01  0.374960E-01  0.133999E-01   0.00000       0.00000       0.00000      0.133999E-01
  0.255291E-02   1.17822      0.380240E-01  0.276316E-01  0.138158E-01  0.518398E-01  0.242082E-01  -.242082E-01  0.656556E-01  0.138158E-01  0.380240E-01  0.138158E-01   0.00000       0.00000       0.00000      0.138158E-01
  0.264308E-02   1.22161      0.385520E-01  0.284635E-01  0.142318E-01  0.527838E-01  0.243202E-01  -.243202E-01  0.670155E-01  0.142318E-01  0.385520E-01  0.142318E-01   0.00000       0.00000       0.00000      0.142318E-01
  0.273644E-02   1.26500      0.390800E-01  0.292954E-01  0.146477E-01  0.537277E-01  0.244323E-01  -.244323E-01  0.683754E-01  0.146477E-01  0.390800E-01  0.146477E-01   0.00000       0.00000       0.00000      0.146477E-01
  0.283310E-02   1.31459      0.396801E-01  0.302485E-01  0.151243E-01  0.548044E-01  0.245559E-01  -.245559E-01  0.699287E-01  0.151243E-01  0.396801E-01  0.151243E-01   0.00000       0.00000       0.00000      0.151243E-01
  0.293317E-02   1.37076      0.403569E-01  0.313305E-01  0.156653E-01  0.560221E-01  0.246916E-01  -.246916E-01  0.716874E-01  0.156653E-01  0.403569E-01  0.156653E-01   0.00000       0.00000       0.00000      0.156653E-01
  0.303677E-02   1.42692      0.410336E-01  0.324125E-01  0.162063E-01  0.572398E-01  0.248273E-01  -.248273E-01  0.734461E-01  0.162063E-01  0.410336E-01  0.162063E-01   0.00000       0.00000       0.00000      0.162063E-01
  0.314404E-02   1.48309      0.417103E-01  0.334945E-01  0.167472E-01  0.584576E-01  0.249631E-01  -.249631E-01  0.752048E-01  0.167472E-01  0.417103E-01  0.167472E-01   0.00000       0.00000       0.00000      0.167472E-01
  0.325509E-02   1.53926      0.423870E-01  0.345765E-01  0.172882E-01  0.596753E-01  0.250988E-01  -.250988E-01  0.769635E-01  0.172882E-01  0.423870E-01  0.172882E-01   0.00000       0.00000       0.00000      0.172882E-01
  0.337006E-02   1.59542      0.430638E-01  0.356585E-01  0.178292E-01  0.608930E-01  0.252345E-01  -.252345E-01  0.787222E-01  0.178292E-01  0.430638E-01  0.178292E-01   0.00000       0.00000       0.00000      0.178292E-01
  0.348910E-02   1.65159      0.437405E-01  0.367405E-01  0.183702E-01  0.621107E-01  0.253703E-01  -.253703E-01  0.804809E-01  0.183702E-01  0.437405E-01  0.183702E-01   0.00000       0.00000       0.00000      0.183702E-01
  0.361234E-02   1.70776      0.444172E-01  0.378224E-01  0.189112E-01  0.633284E-01  0.255060E-01  -.255060E-01  0.822397E-01  0.189112E-01  0.444172E-01  0.189112E-01   0.00000       0.00000       0.00000      0.189112E-01
  0.373994E-02   1.76406      0.450960E-01  0.389078E-01  0.194539E-01  0.645499E-01  0.256421E-01  -.256421E-01  0.840038E-01  0.194539E-01  0.450960E-01  0.194539E-01   0.00000       0.00000       0.00000      0.194539E-01
  0.387204E-02   1.83278      0.459639E-01  0.403087E-01  0.201544E-01  0.661182E-01  0.258095E-01  -.258095E-01  0.862726E-01  0.201544E-01  0.459639E-01  0.201544E-01   0.00000       0.00000       0.00000      0.201544E-01
  0.400881E-02   1.90150      0.468317E-01  0.417096E-01  0.208548E-01  0.676865E-01  0.259769E-01  -.259769E-01  0.885413E-01  0.208548E-01  0.468317E-01  0.208548E-01   0.00000       0.00000       0.00000      0.208548E-01
  0.415040E-02   1.97021      0.476996E-01  0.431105E-01  0.215552E-01  0.692549E-01  0.261444E-01  -.261444E-01  0.908101E-01  0.215552E-01  0.476996E-01  0.215552E-01   0.00000       0.00000       0.00000      0.215552E-01
  0.429700E-02   2.03893      0.485675E-01  0.445114E-01  0.222557E-01  0.708232E-01  0.263118E-01  -.263118E-01  0.930789E-01  0.222557E-01  0.485675E-01  0.222557E-01   0.00000       0.00000       0.00000      0.222557E-01
  0.444878E-02   2.10765      0.494354E-01  0.459123E-01  0.229561E-01  0.723915E-01  0.264792E-01  -.264792E-01  0.953476E-01  0.229561E-01  0.494354E-01  0.229561E-01   0.00000       0.00000       0.00000      0.229561E-01
  0.460592E-02   2.17637      0.503033E-01  0.473132E-01  0.236566E-01  0.739598E-01  0.266467E-01  -.266467E-01  0.976164E-01  0.236566E-01  0.503033E-01  0.236566E-01   0.00000       0.00000       0.00000      0.236566E-01
  0.476861E-02   2.24509      0.511711E-01  0.487140E-01  0.243570E-01  0.755282E-01  0.268141E-01  -.268141E-01  0.998852E-01  0.243570E-01  0.511711E-01  0.243570E-01   0.00000       0.00000       0.00000      0.243570E-01
  0.493705E-02   2.31381      0.520390E-01  0.501149E-01  0.250575E-01  0.770965E-01  0.269816E-01  -.269816E-01  0.102154      0.250575E-01  0.520390E-01  0.250575E-01   0.00000       0.00000       0.00000      0.250575E-01
  0.511143E-02   2.38708      0.530376E-01  0.517312E-01  0.258656E-01  0.789032E-01  0.271720E-01  -.271720E-01  0.104769      0.258656E-01  0.530376E-01  0.258656E-01   0.00000       0.00000       0.00000      0.258656E-01
  0.529198E-02   2.46428      0.541491E-01  0.535337E-01  0.267669E-01  0.809160E-01  0.273822E-01  -.273822E-01  0.107683      0.267669E-01  0.541491E-01  0.267669E-01   0.00000       0.00000       0.00000      0.267669E-01
  0.547890E-02   2.54148      0.552606E-01  0.553362E-01  0.276681E-01  0.829287E-01  0.275925E-01  -.275925E-01  0.110597      0.276681E-01  0.552606E-01  0.276681E-01   0.00000       0.00000       0.00000      0.276681E-01
  0.567243E-02   2.61869      0.563721E-01  0.571387E-01  0.285694E-01  0.849415E-01  0.278028E-01  -.278028E-01  0.113511      0.285694E-01  0.563721E-01  0.285694E-01   0.00000       0.00000       0.00000      0.285694E-01
  0.587279E-02   2.69589      0.574837E-01  0.589412E-01  0.294706E-01  0.869543E-01  0.280131E-01  -.280131E-01  0.116425      0.294706E-01  0.574837E-01  0.294706E-01   0.00000       0.00000       0.00000      0.294706E-01
  0.608022E-02   2.77309      0.585952E-01  0.607437E-01  0.303719E-01  0.889670E-01  0.282233E-01  -.282233E-01  0.119339      0.303719E-01  0.585952E-01  0.303719E-01   0.00000       0.00000       0.00000      0.303719E-01
  0.629499E-02   2.85030      0.597067E-01  0.625462E-01  0.312731E-01  0.909798E-01  0.284336E-01  -.284336E-01  0.122253      0.312731E-01  0.597067E-01  0.312731E-01   0.00000       0.00000       0.00000      0.312731E-01
  0.651734E-02   2.92750      0.608182E-01  0.643487E-01  0.321743E-01  0.929926E-01  0.286439E-01  -.286439E-01  0.125167      0.321743E-01  0.608182E-01  0.321743E-01   0.00000       0.00000       0.00000      0.321743E-01
  0.674754E-02   3.00459      0.619488E-01  0.661821E-01  0.330910E-01  0.950398E-01  0.288578E-01  -.288578E-01  0.128131      0.330910E-01  0.619488E-01  0.330910E-01   0.00000       0.00000       0.00000      0.330910E-01
  0.698588E-02   3.07996      0.633668E-01  0.684816E-01  0.342408E-01  0.976077E-01  0.291260E-01  -.291260E-01  0.131848      0.342408E-01  0.633668E-01  0.342408E-01   0.00000       0.00000       0.00000      0.342408E-01
  0.723263E-02   3.15533      0.647849E-01  0.707812E-01  0.353906E-01  0.100175      0.293943E-01  -.293943E-01  0.135566      0.353906E-01  0.647849E-01  0.353906E-01   0.00000       0.00000       0.00000      0.353906E-01
  0.748810E-02   3.23069      0.662029E-01  0.730808E-01  0.365404E-01  0.102743      0.296625E-01  -.296625E-01  0.139284      0.365404E-01  0.662029E-01  0.365404E-01   0.00000       0.00000       0.00000      0.365404E-01
  0.775260E-02   3.30606      0.676209E-01  0.753803E-01  0.376902E-01  0.105311      0.299308E-01  -.299308E-01  0.143001      0.376902E-01  0.676209E-01  0.376902E-01   0.00000       0.00000       0.00000      0.376902E-01
  0.802643E-02   3.38143      0.690390E-01  0.776799E-01  0.388399E-01  0.107879      0.301990E-01  -.301990E-01  0.146719      0.388399E-01  0.690390E-01  0.388399E-01   0.00000       0.00000       0.00000      0.388399E-01
  0.830994E-02   3.45680      0.704570E-01  0.799794E-01  0.399897E-01  0.110447      0.304673E-01  -.304673E-01  0.150436      0.399897E-01  0.704570E-01  0.399897E-01   0.00000       0.00000       0.00000      0.399897E-01
  0.860346E-02   3.53217      0.718750E-01  0.822790E-01  0.411395E-01  0.113015      0.307355E-01  -.307355E-01  0.154154      0.411395E-01  0.718750E-01  0.411395E-01   0.00000       0.00000       0.00000      0.411395E-01
  0.890735E-02   3.60753      0.732931E-01  0.845786E-01  0.422893E-01  0.115582      0.310038E-01  -.310038E-01  0.157872      0.422893E-01  0.732931E-01  0.422893E-01   0.00000       0.00000       0.00000      0.422893E-01
  0.922198E-02   3.67122      0.749337E-01  0.872309E-01  0.436154E-01  0.118549      0.313182E-01  -.313182E-01  0.162165      0.436154E-01  0.749337E-01  0.436154E-01   0.00000       0.00000       0.00000      0.436154E-01
  0.954772E-02   3.72671      0.767302E-01  0.901305E-01  0.450652E-01  0.121795      0.316650E-01  -.316650E-01  0.166861      0.450652E-01  0.767302E-01  0.450652E-01   0.00000       0.00000       0.00000      0.450652E-01
  0.988496E-02   3.78221      0.785268E-01  0.930301E-01  0.465150E-01  0.125042      0.320117E-01  -.320117E-01  0.171557      0.465150E-01  0.785268E-01  0.465150E-01   0.00000       0.00000       0.00000      0.465150E-01
  0.102341E-01   3.83771      0.803233E-01  0.959296E-01  0.479648E-01  0.128288      0.323585E-01  -.323585E-01  0.176253      0.479648E-01  0.803233E-01  0.479648E-01   0.00000       0.00000       0.00000      0.479648E-01
  0.105956E-01   3.89320      0.821198E-01  0.988292E-01  0.494146E-01  0.131534      0.327052E-01  -.327052E-01  0.180949      0.494146E-01  0.821198E-01  0.494146E-01   0.00000       0.00000       0.00000      0.494146E-01
  0.109699E-01   3.94870      0.839164E-01  0.101729      0.508644E-01  0.134781      0.330520E-01  -.330520E-01  0.185645      0.508644E-01  0.839164E-01  0.508644E-01   0.00000       0.00000       0.00000      0.508644E-01
  0.113573E-01   4.00420      0.857129E-01  0.104628      0.523142E-01  0.138027      0.333987E-01  -.333987E-01  0.190341      0.523142E-01  0.857129E-01  0.523142E-01   0.00000       0.00000       0.00000      0.523142E-01
  0.117585E-01   4.05969      0.875095E-01  0.107528      0.537640E-01  0.141273      0.337455E-01  -.337455E-01  0.195037      0.537640E-01  0.875095E-01  0.537640E-01   0.00000       0.00000       0.00000      0.537640E-01
  0.121738E-01   4.11184      0.893438E-01  0.110486      0.552429E-01  0.144587      0.341008E-01  -.341008E-01  0.199830      0.552429E-01  0.893438E-01  0.552429E-01   0.00000       0.00000       0.00000      0.552429E-01
  0.126038E-01   4.13785      0.914721E-01  0.113898      0.569491E-01  0.148421      0.345231E-01  -.345231E-01  0.205370      0.569491E-01  0.914721E-01  0.569491E-01   0.00000       0.00000       0.00000      0.569491E-01
  0.130490E-01   4.16386      0.936005E-01  0.117310      0.586552E-01  0.152256      0.349453E-01  -.349453E-01  0.210911      0.586552E-01  0.936005E-01  0.586552E-01   0.00000       0.00000       0.00000      0.586552E-01
  0.135099E-01   4.18987      0.957289E-01  0.120723      0.603613E-01  0.156090      0.353676E-01  -.353676E-01  0.216452      0.603613E-01  0.957289E-01  0.603613E-01   0.00000       0.00000       0.00000      0.603613E-01
  0.139871E-01   4.21588      0.978573E-01  0.124135      0.620675E-01  0.159925      0.357898E-01  -.357898E-01  0.221992      0.620675E-01  0.978573E-01  0.620675E-01   0.00000       0.00000       0.00000      0.620675E-01
  0.144812E-01   4.21784      0.100202      0.127872      0.639359E-01  0.164138      0.362659E-01  -.362659E-01  0.228073      0.639359E-01  0.100202      0.639359E-01   0.00000       0.00000       0.00000      0.639359E-01
  0.149927E-01   4.21642      0.102577      0.131654      0.658271E-01  0.168404      0.367495E-01  -.367495E-01  0.234231      0.658271E-01  0.102577      0.658271E-01   0.00000       0.00000       0.00000      0.658271E-01
  0.155223E-01   4.21500      0.104952      0.135437      0.677184E-01  0.172670      0.372331E-01  -.372331E-01  0.240388      0.677184E-01  0.104952      0.677184E-01   0.00000       0.00000       0.00000      0.677184E-01
  0.160705E-01   4.21357      0.107326      0.139219      0.696097E-01  0.176936      0.377167E-01  -.377167E-01  0.246546      0.696097E-01  0.107326      0.696097E-01   0.00000       0.00000       0.00000      0.696097E-01
  0.166382E-01   4.19187      0.109870      0.143248      0.716240E-01  0.181494      0.382459E-01  -.382459E-01  0.253118      0.716240E-01  0.109870      0.716240E-01   0.00000       0.00000       0.00000      0.716240E-01
  0.172259E-01   4.15873      0.112508      0.147415      0.737077E-01  0.186216      0.388008E-01  -.388008E-01  0.259924      0.737077E-01  0.112508      0.737077E-01   0.00000       0.00000       0.00000      0.737077E-01
  0.178343E-01   4.12559      0.115147      0.151583      0.757914E-01  0.190939      0.393557E-01  -.393557E-01  0.266730      0.757914E-01  0.115147      0.757914E-01   0.00000       0.00000       0.00000      0.757914E-01
  0.184642E-01   4.09245      0.117786      0.155750      0.778752E-01  0.195661      0.399105E-01  -.399105E-01  0.273536      0.778752E-01  0.117786      0.778752E-01   0.00000       0.00000       0.00000      0.778752E-01
  0.191164E-01   4.04588      0.120536      0.160075      0.800375E-01  0.200574      0.404987E-01  -.404987E-01  0.280611      0.800375E-01  0.120536      0.800375E-01   0.00000       0.00000       0.00000      0.800375E-01
  0.197917E-01   3.97937      0.123453      0.164633      0.823166E-01  0.205769      0.411363E-01  -.411363E-01  0.288086      0.823166E-01  0.123453      0.823166E-01   0.00000       0.00000       0.00000      0.823166E-01
  0.204907E-01   3.91286      0.126370      0.169191      0.845957E-01  0.210965      0.417739E-01  -.417739E-01  0.295561      0.845957E-01  0.126370      0.845957E-01   0.00000       0.00000       0.00000      0.845957E-01
  0.212145E-01   3.84635      0.129286      0.173749      0.868747E-01  0.216161      0.424115E-01  -.424115E-01  0.303036      0.868747E-01  0.129286      0.868747E-01   0.00000       0.00000       0.00000      0.868747E-01
  0.219639E-01   3.77467      0.132250      0.178371      0.891855E-01  0.221436      0.430649E-01  -.430649E-01  0.310621      0.891855E-01  0.132250      0.891855E-01   0.00000       0.00000       0.00000      0.891855E-01
  0.227397E-01   3.67686      0.135455      0.183313      0.916565E-01  0.227111      0.437984E-01  -.437984E-01  0.318768      0.916565E-01  0.135455      0.916565E-01   0.00000       0.00000       0.00000      0.916565E-01
  0.235429E-01   3.57905      0.138659      0.188255      0.941275E-01  0.232787      0.445318E-01  -.445318E-01  0.326914      0.941275E-01  0.138659      0.941275E-01   0.00000       0.00000       0.00000      0.941275E-01
  0.243744E-01   3.48124      0.141864      0.193197      0.965985E-01  0.238462      0.452653E-01  -.452653E-01  0.335061      0.965985E-01  0.141864      0.965985E-01   0.00000       0.00000       0.00000      0.965985E-01
