   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   14.0329      0.506700E-01  0.331933E-01  0.165966E-01  0.672666E-01  0.340733E-01  -.340733E-01  0.838633E-01  0.165966E-01  0.506700E-01  0.165966E-01   0.00000       0.00000       0.00000      0.165966E-01
  0.103532E-02   13.6162      0.512316E-01  0.339466E-01  0.169733E-01  0.682049E-01  0.342583E-01  -.342583E-01  0.851782E-01  0.169733E-01  0.512316E-01  0.169733E-01   0.00000       0.00000       0.00000      0.169733E-01
  0.107189E-02   13.1994      0.517932E-01  0.346998E-01  0.173499E-01  0.691431E-01  0.344433E-01  -.344433E-01  0.864930E-01  0.173499E-01  0.517932E-01  0.173499E-01   0.00000       0.00000       0.00000      0.173499E-01
  0.110975E-02   12.7827      0.523549E-01  0.354531E-01  0.177265E-01  0.700814E-01  0.346283E-01  -.346283E-01  0.878079E-01  0.177265E-01  0.523549E-01  0.177265E-01   0.00000       0.00000       0.00000      0.177265E-01
  0.114895E-02   12.3659      0.529165E-01  0.362063E-01  0.181032E-01  0.710197E-01  0.348133E-01  -.348133E-01  0.891228E-01  0.181032E-01  0.529165E-01  0.181032E-01   0.00000       0.00000       0.00000      0.181032E-01
  0.118953E-02   12.0340      0.535639E-01  0.371019E-01  0.185509E-01  0.721148E-01  0.350129E-01  -.350129E-01  0.906658E-01  0.185509E-01  0.535639E-01  0.185509E-01   0.00000       0.00000       0.00000      0.185509E-01
  0.123155E-02   11.7107      0.542200E-01  0.380119E-01  0.190060E-01  0.732259E-01  0.352140E-01  -.352140E-01  0.922319E-01  0.190060E-01  0.542200E-01  0.190060E-01   0.00000       0.00000       0.00000      0.190060E-01
  0.127505E-02   11.3874      0.548760E-01  0.389220E-01  0.194610E-01  0.743370E-01  0.354150E-01  -.354150E-01  0.937980E-01  0.194610E-01  0.548760E-01  0.194610E-01   0.00000       0.00000       0.00000      0.194610E-01
  0.132009E-02   11.0641      0.555321E-01  0.398320E-01  0.199160E-01  0.754481E-01  0.356161E-01  -.356161E-01  0.953642E-01  0.199160E-01  0.555321E-01  0.199160E-01   0.00000       0.00000       0.00000      0.199160E-01
  0.136672E-02   10.7408      0.561882E-01  0.407421E-01  0.203710E-01  0.765592E-01  0.358172E-01  -.358172E-01  0.969303E-01  0.203710E-01  0.561882E-01  0.203710E-01   0.00000       0.00000       0.00000      0.203710E-01
  0.141499E-02   10.4175      0.568443E-01  0.416521E-01  0.208261E-01  0.776704E-01  0.360182E-01  -.360182E-01  0.984964E-01  0.208261E-01  0.568443E-01  0.208261E-01   0.00000       0.00000       0.00000      0.208261E-01
  0.146497E-02   10.0942      0.575004E-01  0.425622E-01  0.212811E-01  0.787815E-01  0.362193E-01  -.362193E-01  0.100063      0.212811E-01  0.575004E-01  0.212811E-01   0.00000       0.00000       0.00000      0.212811E-01
  0.151672E-02   9.77085      0.581565E-01  0.434722E-01  0.217361E-01  0.798926E-01  0.364203E-01  -.364203E-01  0.101629      0.217361E-01  0.581565E-01  0.217361E-01   0.00000       0.00000       0.00000      0.217361E-01
  0.157029E-02   9.47891      0.588607E-01  0.444637E-01  0.222319E-01  0.810926E-01  0.366288E-01  -.366288E-01  0.103324      0.222319E-01  0.588607E-01  0.222319E-01   0.00000       0.00000       0.00000      0.222319E-01
  0.162576E-02   9.22796      0.596279E-01  0.455618E-01  0.227809E-01  0.824088E-01  0.368470E-01  -.368470E-01  0.105190      0.227809E-01  0.596279E-01  0.227809E-01   0.00000       0.00000       0.00000      0.227809E-01
  0.168318E-02   8.97701      0.603951E-01  0.466598E-01  0.233299E-01  0.837250E-01  0.370652E-01  -.370652E-01  0.107055      0.233299E-01  0.603951E-01  0.233299E-01   0.00000       0.00000       0.00000      0.233299E-01
