   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   1.90282      0.178304E-01  0.206056E-01  0.103028E-01  0.281332E-01  0.752765E-02  -.752765E-02  0.384360E-01  0.103028E-01  0.178304E-01  0.103028E-01   0.00000       0.00000       0.00000      0.103028E-01
  0.103532E-02   1.90246      0.182802E-01  0.211202E-01  0.105601E-01  0.288403E-01  0.772012E-02  -.772012E-02  0.394004E-01  0.105601E-01  0.182802E-01  0.105601E-01   0.00000       0.00000       0.00000      0.105601E-01
  0.107189E-02   1.90211      0.187300E-01  0.216347E-01  0.108174E-01  0.295473E-01  0.791259E-02  -.791259E-02  0.403647E-01  0.108174E-01  0.187300E-01  0.108174E-01   0.00000       0.00000       0.00000      0.108174E-01
  0.110975E-02   1.90176      0.191797E-01  0.221493E-01  0.110746E-01  0.302544E-01  0.810506E-02  -.810506E-02  0.413290E-01  0.110746E-01  0.191797E-01  0.110746E-01   0.00000       0.00000       0.00000      0.110746E-01
  0.114895E-02   1.90140      0.196295E-01  0.226639E-01  0.113319E-01  0.309614E-01  0.829753E-02  -.829753E-02  0.422933E-01  0.113319E-01  0.196295E-01  0.113319E-01   0.00000       0.00000       0.00000      0.113319E-01
  0.118953E-02   1.90083      0.201760E-01  0.232869E-01  0.116435E-01  0.318195E-01  0.853252E-02  -.853252E-02  0.434629E-01  0.116435E-01  0.201760E-01  0.116435E-01   0.00000       0.00000       0.00000      0.116435E-01
  0.123155E-02   1.90024      0.207324E-01  0.239210E-01  0.119605E-01  0.326929E-01  0.877183E-02  -.877183E-02  0.446534E-01  0.119605E-01  0.207324E-01  0.119605E-01   0.00000       0.00000       0.00000      0.119605E-01
  0.127505E-02   1.89964      0.212887E-01  0.245552E-01  0.122776E-01  0.335663E-01  0.901115E-02  -.901115E-02  0.458439E-01  0.122776E-01  0.212887E-01  0.122776E-01   0.00000       0.00000       0.00000      0.122776E-01
  0.132009E-02   1.89905      0.218451E-01  0.251893E-01  0.125946E-01  0.344397E-01  0.925047E-02  -.925047E-02  0.470344E-01  0.125946E-01  0.218451E-01  0.125946E-01   0.00000       0.00000       0.00000      0.125946E-01
  0.136672E-02   1.89845      0.224015E-01  0.258234E-01  0.129117E-01  0.353132E-01  0.948978E-02  -.948978E-02  0.482248E-01  0.129117E-01  0.224015E-01  0.129117E-01   0.00000       0.00000       0.00000      0.129117E-01
  0.141499E-02   1.89786      0.229578E-01  0.264575E-01  0.132287E-01  0.361866E-01  0.972910E-02  -.972910E-02  0.494153E-01  0.132287E-01  0.229578E-01  0.132287E-01   0.00000       0.00000       0.00000      0.132287E-01
  0.146497E-02   1.89727      0.235142E-01  0.270916E-01  0.135458E-01  0.370600E-01  0.996842E-02  -.996842E-02  0.506058E-01  0.135458E-01  0.235142E-01  0.135458E-01   0.00000       0.00000       0.00000      0.135458E-01
