   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   2.76997      0.189039E-01  0.227860E-01  0.113930E-01  0.302968E-01  0.751088E-02  -.751088E-02  0.416898E-01  0.113930E-01  0.189039E-01  0.113930E-01   0.00000       0.00000       0.00000      0.113930E-01
  0.103532E-02   2.73437      0.193803E-01  0.233547E-01  0.116774E-01  0.310576E-01  0.770293E-02  -.770293E-02  0.427350E-01  0.116774E-01  0.193803E-01  0.116774E-01   0.00000       0.00000       0.00000      0.116774E-01
  0.107189E-02   2.69877      0.198567E-01  0.239234E-01  0.119617E-01  0.318184E-01  0.789497E-02  -.789497E-02  0.437801E-01  0.119617E-01  0.198567E-01  0.119617E-01   0.00000       0.00000       0.00000      0.119617E-01
  0.110975E-02   2.66316      0.203331E-01  0.244922E-01  0.122461E-01  0.325792E-01  0.808702E-02  -.808702E-02  0.448253E-01  0.122461E-01  0.203331E-01  0.122461E-01   0.00000       0.00000       0.00000      0.122461E-01
  0.114895E-02   2.62756      0.208095E-01  0.250609E-01  0.125305E-01  0.333400E-01  0.827906E-02  -.827906E-02  0.458705E-01  0.125305E-01  0.208095E-01  0.125305E-01   0.00000       0.00000       0.00000      0.125305E-01
  0.118953E-02   2.59579      0.213881E-01  0.257492E-01  0.128746E-01  0.342627E-01  0.851354E-02  -.851354E-02  0.471373E-01  0.128746E-01  0.213881E-01  0.128746E-01   0.00000       0.00000       0.00000      0.128746E-01
  0.123155E-02   2.56440      0.219771E-01  0.264496E-01  0.132248E-01  0.352019E-01  0.875233E-02  -.875233E-02  0.484267E-01  0.132248E-01  0.219771E-01  0.132248E-01   0.00000       0.00000       0.00000      0.132248E-01
  0.127505E-02   2.53301      0.225661E-01  0.271500E-01  0.135750E-01  0.361411E-01  0.899112E-02  -.899112E-02  0.497161E-01  0.135750E-01  0.225661E-01  0.135750E-01   0.00000       0.00000       0.00000      0.135750E-01
  0.132009E-02   2.50163      0.231551E-01  0.278504E-01  0.139252E-01  0.370803E-01  0.922992E-02  -.922992E-02  0.510054E-01  0.139252E-01  0.231551E-01  0.139252E-01   0.00000       0.00000       0.00000      0.139252E-01
  0.136672E-02   2.47024      0.237441E-01  0.285507E-01  0.142754E-01  0.380195E-01  0.946871E-02  -.946871E-02  0.522948E-01  0.142754E-01  0.237441E-01  0.142754E-01   0.00000       0.00000       0.00000      0.142754E-01
  0.141499E-02   2.43885      0.243331E-01  0.292511E-01  0.146256E-01  0.389586E-01  0.970751E-02  -.970751E-02  0.535842E-01  0.146256E-01  0.243331E-01  0.146256E-01   0.00000       0.00000       0.00000      0.146256E-01
  0.146497E-02   2.40747      0.249221E-01  0.299515E-01  0.149758E-01  0.398978E-01  0.994630E-02  -.994630E-02  0.548736E-01  0.149758E-01  0.249221E-01  0.149758E-01   0.00000       0.00000       0.00000      0.149758E-01
  0.151672E-02   2.37608      0.255111E-01  0.306519E-01  0.153260E-01  0.408370E-01  0.101851E-01  -.101851E-01  0.561630E-01  0.153260E-01  0.255111E-01  0.153260E-01   0.00000       0.00000       0.00000      0.153260E-01
  0.157029E-02   2.34626      0.261599E-01  0.314217E-01  0.157108E-01  0.418707E-01  0.104490E-01  -.104490E-01  0.575816E-01  0.157108E-01  0.261599E-01  0.157108E-01   0.00000       0.00000       0.00000      0.157108E-01
  0.162576E-02   2.31850      0.268869E-01  0.322821E-01  0.161410E-01  0.430280E-01  0.107459E-01  -.107459E-01  0.591690E-01  0.161410E-01  0.268869E-01  0.161410E-01   0.00000       0.00000       0.00000      0.161410E-01
