   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.53173      0.159949E-01  0.174625E-01  0.873127E-02  0.247262E-01  0.726361E-02  -.726361E-02  0.334574E-01  0.873127E-02  0.159949E-01  0.873127E-02   0.00000       0.00000       0.00000      0.873127E-02
  0.103532E-02   5.46007      0.164054E-01  0.179087E-01  0.895437E-02  0.253598E-01  0.745102E-02  -.745102E-02  0.343141E-01  0.895437E-02  0.164054E-01  0.895437E-02   0.00000       0.00000       0.00000      0.895437E-02
  0.107189E-02   5.38841      0.168159E-01  0.183549E-01  0.917747E-02  0.259934E-01  0.763842E-02  -.763842E-02  0.351708E-01  0.917747E-02  0.168159E-01  0.917747E-02   0.00000       0.00000       0.00000      0.917747E-02
  0.110975E-02   5.31676      0.172264E-01  0.188011E-01  0.940057E-02  0.266270E-01  0.782582E-02  -.782582E-02  0.360275E-01  0.940057E-02  0.172264E-01  0.940057E-02   0.00000       0.00000       0.00000      0.940057E-02
  0.114895E-02   5.24510      0.176369E-01  0.192473E-01  0.962366E-02  0.272606E-01  0.801323E-02  -.801323E-02  0.368842E-01  0.962366E-02  0.176369E-01  0.962366E-02   0.00000       0.00000       0.00000      0.962366E-02
  0.118953E-02   5.18005      0.181375E-01  0.197901E-01  0.989507E-02  0.280326E-01  0.824246E-02  -.824246E-02  0.379277E-01  0.989507E-02  0.181375E-01  0.989507E-02   0.00000       0.00000       0.00000      0.989507E-02
  0.123155E-02   5.11568      0.186473E-01  0.203428E-01  0.101714E-01  0.288187E-01  0.847594E-02  -.847594E-02  0.389901E-01  0.101714E-01  0.186473E-01  0.101714E-01   0.00000       0.00000       0.00000      0.101714E-01
  0.127505E-02   5.05131      0.191571E-01  0.208954E-01  0.104477E-01  0.296049E-01  0.870943E-02  -.870943E-02  0.400526E-01  0.104477E-01  0.191571E-01  0.104477E-01   0.00000       0.00000       0.00000      0.104477E-01
  0.132009E-02   4.98694      0.196670E-01  0.214481E-01  0.107240E-01  0.303910E-01  0.894292E-02  -.894292E-02  0.411150E-01  0.107240E-01  0.196670E-01  0.107240E-01   0.00000       0.00000       0.00000      0.107240E-01
  0.136672E-02   4.92257      0.201768E-01  0.220007E-01  0.110004E-01  0.311771E-01  0.917640E-02  -.917640E-02  0.421775E-01  0.110004E-01  0.201768E-01  0.110004E-01   0.00000       0.00000       0.00000      0.110004E-01
  0.141499E-02   4.85820      0.206866E-01  0.225534E-01  0.112767E-01  0.319633E-01  0.940989E-02  -.940989E-02  0.432399E-01  0.112767E-01  0.206866E-01  0.112767E-01   0.00000       0.00000       0.00000      0.112767E-01
  0.146497E-02   4.79383      0.211964E-01  0.231060E-01  0.115530E-01  0.327494E-01  0.964338E-02  -.964338E-02  0.443024E-01  0.115530E-01  0.211964E-01  0.115530E-01   0.00000       0.00000       0.00000      0.115530E-01
  0.151672E-02   4.72946      0.217062E-01  0.236586E-01  0.118293E-01  0.335355E-01  0.987687E-02  -.987687E-02  0.453648E-01  0.118293E-01  0.217062E-01  0.118293E-01   0.00000       0.00000       0.00000      0.118293E-01
  0.157029E-02   4.66791      0.222691E-01  0.242678E-01  0.121339E-01  0.344030E-01  0.101352E-01  -.101352E-01  0.465368E-01  0.121339E-01  0.222691E-01  0.121339E-01   0.00000       0.00000       0.00000      0.121339E-01
  0.162576E-02   4.61006      0.229014E-01  0.249507E-01  0.124753E-01  0.353767E-01  0.104260E-01  -.104260E-01  0.478520E-01  0.124753E-01  0.229014E-01  0.124753E-01   0.00000       0.00000       0.00000      0.124753E-01
  0.168318E-02   4.55220      0.235336E-01  0.256336E-01  0.128168E-01  0.363504E-01  0.107169E-01  -.107169E-01  0.491672E-01  0.128168E-01  0.235336E-01  0.128168E-01   0.00000       0.00000       0.00000      0.128168E-01
  0.174263E-02   4.49434      0.241659E-01  0.263165E-01  0.131582E-01  0.373242E-01  0.110077E-01  -.110077E-01  0.504824E-01  0.131582E-01  0.241659E-01  0.131582E-01   0.00000       0.00000       0.00000      0.131582E-01
  0.180419E-02   4.43649      0.247982E-01  0.269994E-01  0.134997E-01  0.382979E-01  0.112985E-01  -.112985E-01  0.517976E-01  0.134997E-01  0.247982E-01  0.134997E-01   0.00000       0.00000       0.00000      0.134997E-01
  0.186791E-02   4.37863      0.254305E-01  0.276823E-01  0.138412E-01  0.392717E-01  0.115893E-01  -.115893E-01  0.531128E-01  0.138412E-01  0.254305E-01  0.138412E-01   0.00000       0.00000       0.00000      0.138412E-01
  0.193389E-02   4.32078      0.260628E-01  0.283652E-01  0.141826E-01  0.402454E-01  0.118802E-01  -.118802E-01  0.544280E-01  0.141826E-01  0.260628E-01  0.141826E-01   0.00000       0.00000       0.00000      0.141826E-01
  0.200220E-02   4.26292      0.266951E-01  0.290481E-01  0.145241E-01  0.412191E-01  0.121710E-01  -.121710E-01  0.557432E-01  0.145241E-01  0.266951E-01  0.145241E-01   0.00000       0.00000       0.00000      0.145241E-01
  0.207292E-02   4.20507      0.273274E-01  0.297311E-01  0.148655E-01  0.421929E-01  0.124618E-01  -.124618E-01  0.570584E-01  0.148655E-01  0.273274E-01  0.148655E-01   0.00000       0.00000       0.00000      0.148655E-01
  0.214614E-02   4.15279      0.281040E-01  0.305658E-01  0.152829E-01  0.433869E-01  0.128210E-01  -.128210E-01  0.586698E-01  0.152829E-01  0.281040E-01  0.152829E-01   0.00000       0.00000       0.00000      0.152829E-01
  0.222195E-02   4.10076      0.288867E-01  0.314071E-01  0.157036E-01  0.445903E-01  0.131832E-01  -.131832E-01  0.602938E-01  0.157036E-01  0.288867E-01  0.157036E-01   0.00000       0.00000       0.00000      0.157036E-01
  0.230043E-02   4.04872      0.296695E-01  0.322484E-01  0.161242E-01  0.457937E-01  0.135453E-01  -.135453E-01  0.619179E-01  0.161242E-01  0.296695E-01  0.161242E-01   0.00000       0.00000       0.00000      0.161242E-01
  0.238169E-02   3.99669      0.304522E-01  0.330896E-01  0.165448E-01  0.469971E-01  0.139074E-01  -.139074E-01  0.635419E-01  0.165448E-01  0.304522E-01  0.165448E-01   0.00000       0.00000       0.00000      0.165448E-01
  0.246581E-02   3.94465      0.312350E-01  0.339309E-01  0.169654E-01  0.482004E-01  0.142695E-01  -.142695E-01  0.651659E-01  0.169654E-01  0.312350E-01  0.169654E-01   0.00000       0.00000       0.00000      0.169654E-01
  0.255291E-02   3.89262      0.320178E-01  0.347722E-01  0.173861E-01  0.494038E-01  0.146317E-01  -.146317E-01  0.667899E-01  0.173861E-01  0.320178E-01  0.173861E-01   0.00000       0.00000       0.00000      0.173861E-01
  0.264308E-02   3.84058      0.328005E-01  0.356134E-01  0.178067E-01  0.506072E-01  0.149938E-01  -.149938E-01  0.684139E-01  0.178067E-01  0.328005E-01  0.178067E-01   0.00000       0.00000       0.00000      0.178067E-01
  0.273644E-02   3.78854      0.335833E-01  0.364547E-01  0.182273E-01  0.518106E-01  0.153559E-01  -.153559E-01  0.700380E-01  0.182273E-01  0.335833E-01  0.182273E-01   0.00000       0.00000       0.00000      0.182273E-01
  0.283310E-02   3.73903      0.344552E-01  0.373884E-01  0.186942E-01  0.531494E-01  0.157610E-01  -.157610E-01  0.718436E-01  0.186942E-01  0.344552E-01  0.186942E-01   0.00000       0.00000       0.00000      0.186942E-01
  0.293317E-02   3.69218      0.354219E-01  0.384204E-01  0.192102E-01  0.546321E-01  0.162117E-01  -.162117E-01  0.738423E-01  0.192102E-01  0.354219E-01  0.192102E-01   0.00000       0.00000       0.00000      0.192102E-01
  0.303677E-02   3.64534      0.363886E-01  0.394524E-01  0.197262E-01  0.561147E-01  0.166624E-01  -.166624E-01  0.758409E-01  0.197262E-01  0.363886E-01  0.197262E-01   0.00000       0.00000       0.00000      0.197262E-01
  0.314404E-02   3.59850      0.373552E-01  0.404843E-01  0.202422E-01  0.575974E-01  0.171131E-01  -.171131E-01  0.778396E-01  0.202422E-01  0.373552E-01  0.202422E-01   0.00000       0.00000       0.00000      0.202422E-01
  0.325509E-02   3.55166      0.383219E-01  0.415163E-01  0.207582E-01  0.590801E-01  0.175638E-01  -.175638E-01  0.798382E-01  0.207582E-01  0.383219E-01  0.207582E-01   0.00000       0.00000       0.00000      0.207582E-01
  0.337006E-02   3.50481      0.392886E-01  0.425483E-01  0.212741E-01  0.605627E-01  0.180144E-01  -.180144E-01  0.818369E-01  0.212741E-01  0.392886E-01  0.212741E-01   0.00000       0.00000       0.00000      0.212741E-01
  0.348910E-02   3.45797      0.402553E-01  0.435803E-01  0.217901E-01  0.620454E-01  0.184651E-01  -.184651E-01  0.838355E-01  0.217901E-01  0.402553E-01  0.217901E-01   0.00000       0.00000       0.00000      0.217901E-01
  0.361234E-02   3.41113      0.412219E-01  0.446122E-01  0.223061E-01  0.635281E-01  0.189158E-01  -.189158E-01  0.858342E-01  0.223061E-01  0.412219E-01  0.223061E-01   0.00000       0.00000       0.00000      0.223061E-01
  0.373994E-02   3.36433      0.421910E-01  0.456466E-01  0.228233E-01  0.650143E-01  0.193677E-01  -.193677E-01  0.878376E-01  0.228233E-01  0.421910E-01  0.228233E-01   0.00000       0.00000       0.00000      0.228233E-01
  0.387204E-02   3.32212      0.433809E-01  0.469053E-01  0.234526E-01  0.668335E-01  0.199282E-01  -.199282E-01  0.902862E-01  0.234526E-01  0.433809E-01  0.234526E-01   0.00000       0.00000       0.00000      0.234526E-01
  0.400881E-02   3.27990      0.445708E-01  0.481640E-01  0.240820E-01  0.686528E-01  0.204888E-01  -.204888E-01  0.927348E-01  0.240820E-01  0.445708E-01  0.240820E-01   0.00000       0.00000       0.00000      0.240820E-01
  0.415040E-02   3.23769      0.457607E-01  0.494226E-01  0.247113E-01  0.704720E-01  0.210494E-01  -.210494E-01  0.951833E-01  0.247113E-01  0.457607E-01  0.247113E-01   0.00000       0.00000       0.00000      0.247113E-01
  0.429700E-02   3.19547      0.469506E-01  0.506813E-01  0.253407E-01  0.722913E-01  0.216099E-01  -.216099E-01  0.976319E-01  0.253407E-01  0.469506E-01  0.253407E-01   0.00000       0.00000       0.00000      0.253407E-01
  0.444878E-02   3.15326      0.481405E-01  0.519400E-01  0.259700E-01  0.741105E-01  0.221705E-01  -.221705E-01  0.100080      0.259700E-01  0.481405E-01  0.259700E-01   0.00000       0.00000       0.00000      0.259700E-01
  0.460592E-02   3.11104      0.493304E-01  0.531987E-01  0.265993E-01  0.759297E-01  0.227311E-01  -.227311E-01  0.102529      0.265993E-01  0.493304E-01  0.265993E-01   0.00000       0.00000       0.00000      0.265993E-01
  0.476861E-02   3.06882      0.505203E-01  0.544574E-01  0.272287E-01  0.777490E-01  0.232916E-01  -.232916E-01  0.104978      0.272287E-01  0.505203E-01  0.272287E-01   0.00000       0.00000       0.00000      0.272287E-01
  0.493705E-02   3.02661      0.517102E-01  0.557160E-01  0.278580E-01  0.795682E-01  0.238522E-01  -.238522E-01  0.107426      0.278580E-01  0.517102E-01  0.278580E-01   0.00000       0.00000       0.00000      0.278580E-01
  0.511143E-02   2.98660      0.530440E-01  0.571166E-01  0.285583E-01  0.816023E-01  0.244857E-01  -.244857E-01  0.110161      0.285583E-01  0.530440E-01  0.285583E-01   0.00000       0.00000       0.00000      0.285583E-01
  0.529198E-02   2.94850      0.545023E-01  0.586398E-01  0.293199E-01  0.838222E-01  0.251823E-01  -.251823E-01  0.113142      0.293199E-01  0.545023E-01  0.293199E-01   0.00000       0.00000       0.00000      0.293199E-01
  0.547890E-02   2.91040      0.559605E-01  0.601631E-01  0.300815E-01  0.860420E-01  0.258790E-01  -.258790E-01  0.116124      0.300815E-01  0.559605E-01  0.300815E-01   0.00000       0.00000       0.00000      0.300815E-01
  0.567243E-02   2.87230      0.574187E-01  0.616863E-01  0.308431E-01  0.882619E-01  0.265756E-01  -.265756E-01  0.119105      0.308431E-01  0.574187E-01  0.308431E-01   0.00000       0.00000       0.00000      0.308431E-01
  0.587279E-02   2.83420      0.588770E-01  0.632095E-01  0.316048E-01  0.904817E-01  0.272722E-01  -.272722E-01  0.122086      0.316048E-01  0.588770E-01  0.316048E-01   0.00000       0.00000       0.00000      0.316048E-01
  0.608022E-02   2.79610      0.603352E-01  0.647327E-01  0.323664E-01  0.927016E-01  0.279688E-01  -.279688E-01  0.125068      0.323664E-01  0.603352E-01  0.323664E-01   0.00000       0.00000       0.00000      0.323664E-01
  0.629499E-02   2.75800      0.617934E-01  0.662560E-01  0.331280E-01  0.949214E-01  0.286655E-01  -.286655E-01  0.128049      0.331280E-01  0.617934E-01  0.331280E-01   0.00000       0.00000       0.00000      0.331280E-01
  0.651734E-02   2.71990      0.632517E-01  0.677792E-01  0.338896E-01  0.971413E-01  0.293621E-01  -.293621E-01  0.131031      0.338896E-01  0.632517E-01  0.338896E-01   0.00000       0.00000       0.00000      0.338896E-01
  0.674754E-02   2.68203      0.647297E-01  0.693211E-01  0.346605E-01  0.993902E-01  0.300692E-01  -.300692E-01  0.134051      0.346605E-01  0.647297E-01  0.346605E-01   0.00000       0.00000       0.00000      0.346605E-01
