   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.53173      0.170743E-01  0.196822E-01  0.984111E-02  0.269154E-01  0.723317E-02  -.723317E-02  0.367565E-01  0.984111E-02  0.170743E-01  0.984111E-02   0.00000       0.00000       0.00000      0.984111E-02
  0.103532E-02   5.46007      0.175124E-01  0.201851E-01  0.100926E-01  0.276049E-01  0.741979E-02  -.741979E-02  0.376975E-01  0.100926E-01  0.175124E-01  0.100926E-01   0.00000       0.00000       0.00000      0.100926E-01
  0.107189E-02   5.38841      0.179504E-01  0.206880E-01  0.103440E-01  0.282945E-01  0.760641E-02  -.760641E-02  0.386385E-01  0.103440E-01  0.179504E-01  0.103440E-01   0.00000       0.00000       0.00000      0.103440E-01
  0.110975E-02   5.31675      0.183885E-01  0.211910E-01  0.105955E-01  0.289840E-01  0.779302E-02  -.779302E-02  0.395795E-01  0.105955E-01  0.183885E-01  0.105955E-01   0.00000       0.00000       0.00000      0.105955E-01
  0.114895E-02   5.24510      0.188266E-01  0.216939E-01  0.108469E-01  0.296735E-01  0.797964E-02  -.797964E-02  0.405204E-01  0.108469E-01  0.188266E-01  0.108469E-01   0.00000       0.00000       0.00000      0.108469E-01
  0.118953E-02   5.18005      0.193607E-01  0.223057E-01  0.111528E-01  0.305136E-01  0.820791E-02  -.820791E-02  0.416664E-01  0.111528E-01  0.193607E-01  0.111528E-01   0.00000       0.00000       0.00000      0.111528E-01
  0.123155E-02   5.11568      0.199047E-01  0.229286E-01  0.114643E-01  0.313690E-01  0.844042E-02  -.844042E-02  0.428333E-01  0.114643E-01  0.199047E-01  0.114643E-01   0.00000       0.00000       0.00000      0.114643E-01
  0.127505E-02   5.05131      0.204487E-01  0.235514E-01  0.117757E-01  0.322244E-01  0.867293E-02  -.867293E-02  0.440001E-01  0.117757E-01  0.204487E-01  0.117757E-01   0.00000       0.00000       0.00000      0.117757E-01
  0.132009E-02   4.98694      0.209926E-01  0.241743E-01  0.120872E-01  0.330798E-01  0.890544E-02  -.890544E-02  0.451669E-01  0.120872E-01  0.209926E-01  0.120872E-01   0.00000       0.00000       0.00000      0.120872E-01
  0.136672E-02   4.92256      0.215366E-01  0.247972E-01  0.123986E-01  0.339352E-01  0.913795E-02  -.913795E-02  0.463338E-01  0.123986E-01  0.215366E-01  0.123986E-01   0.00000       0.00000       0.00000      0.123986E-01
