   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.53173      0.162755E-01  0.180471E-01  0.902353E-02  0.252990E-01  0.725196E-02  -.725196E-02  0.343226E-01  0.902353E-02  0.162755E-01  0.902353E-02   0.00000       0.00000       0.00000      0.902353E-02
  0.103532E-02   5.46007      0.166932E-01  0.185082E-01  0.925410E-02  0.259473E-01  0.743906E-02  -.743906E-02  0.352014E-01  0.925410E-02  0.166932E-01  0.925410E-02   0.00000       0.00000       0.00000      0.925410E-02
  0.107189E-02   5.38841      0.171108E-01  0.189693E-01  0.948466E-02  0.265955E-01  0.762616E-02  -.762616E-02  0.360802E-01  0.948466E-02  0.171108E-01  0.948466E-02   0.00000       0.00000       0.00000      0.948466E-02
  0.110975E-02   5.31675      0.175285E-01  0.194305E-01  0.971523E-02  0.272437E-01  0.781326E-02  -.781326E-02  0.369590E-01  0.971523E-02  0.175285E-01  0.971523E-02   0.00000       0.00000       0.00000      0.971523E-02
  0.114895E-02   5.24509      0.179462E-01  0.198916E-01  0.994579E-02  0.278920E-01  0.800036E-02  -.800036E-02  0.378377E-01  0.994579E-02  0.179462E-01  0.994579E-02   0.00000       0.00000       0.00000      0.994579E-02
  0.118953E-02   5.18004      0.184555E-01  0.204526E-01  0.102263E-01  0.286818E-01  0.822923E-02  -.822923E-02  0.389081E-01  0.102263E-01  0.184555E-01  0.102263E-01   0.00000       0.00000       0.00000      0.102263E-01
  0.123155E-02   5.11567      0.189742E-01  0.210237E-01  0.105119E-01  0.294861E-01  0.846234E-02  -.846234E-02  0.399979E-01  0.105119E-01  0.189742E-01  0.105119E-01   0.00000       0.00000       0.00000      0.105119E-01
  0.127505E-02   5.05130      0.194929E-01  0.215949E-01  0.107974E-01  0.302903E-01  0.869545E-02  -.869545E-02  0.410877E-01  0.107974E-01  0.194929E-01  0.107974E-01   0.00000       0.00000       0.00000      0.107974E-01
  0.132009E-02   4.98692      0.200116E-01  0.221660E-01  0.110830E-01  0.310946E-01  0.892856E-02  -.892856E-02  0.421776E-01  0.110830E-01  0.200116E-01  0.110830E-01   0.00000       0.00000       0.00000      0.110830E-01
  0.136672E-02   4.92255      0.205302E-01  0.227371E-01  0.113686E-01  0.318988E-01  0.916168E-02  -.916168E-02  0.432674E-01  0.113686E-01  0.205302E-01  0.113686E-01   0.00000       0.00000       0.00000      0.113686E-01
  0.141499E-02   4.85817      0.210489E-01  0.233083E-01  0.116541E-01  0.327031E-01  0.939479E-02  -.939479E-02  0.443572E-01  0.116541E-01  0.210489E-01  0.116541E-01   0.00000       0.00000       0.00000      0.116541E-01
  0.146497E-02   4.79380      0.215676E-01  0.238794E-01  0.119397E-01  0.335073E-01  0.962790E-02  -.962790E-02  0.454470E-01  0.119397E-01  0.215676E-01  0.119397E-01   0.00000       0.00000       0.00000      0.119397E-01
  0.151672E-02   4.72943      0.220863E-01  0.244506E-01  0.122253E-01  0.343116E-01  0.986101E-02  -.986101E-02  0.465369E-01  0.122253E-01  0.220863E-01  0.122253E-01   0.00000       0.00000       0.00000      0.122253E-01
  0.157029E-02   4.66787      0.226590E-01  0.250801E-01  0.125400E-01  0.351990E-01  0.101189E-01  -.101189E-01  0.477390E-01  0.125400E-01  0.226590E-01  0.125400E-01   0.00000       0.00000       0.00000      0.125400E-01
  0.162576E-02   4.61001      0.233022E-01  0.257858E-01  0.128929E-01  0.361951E-01  0.104093E-01  -.104093E-01  0.490880E-01  0.128929E-01  0.233022E-01  0.128929E-01   0.00000       0.00000       0.00000      0.128929E-01
  0.168318E-02   4.55215      0.239455E-01  0.264916E-01  0.132458E-01  0.371913E-01  0.106997E-01  -.106997E-01  0.504371E-01  0.132458E-01  0.239455E-01  0.132458E-01   0.00000       0.00000       0.00000      0.132458E-01
  0.174263E-02   4.49429      0.245887E-01  0.271974E-01  0.135987E-01  0.381874E-01  0.109900E-01  -.109900E-01  0.517861E-01  0.135987E-01  0.245887E-01  0.135987E-01   0.00000       0.00000       0.00000      0.135987E-01
  0.180419E-02   4.43643      0.252319E-01  0.279031E-01  0.139516E-01  0.391835E-01  0.112804E-01  -.112804E-01  0.531351E-01  0.139516E-01  0.252319E-01  0.139516E-01   0.00000       0.00000       0.00000      0.139516E-01
