   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.1217      0.834449      0.913024      0.804951      0.942522      0.294981E-01  -.294981E-01   1.74747      0.417169      0.446667      0.417272      0.387782      0.785836E-01   0.00000      0.417272    
  0.103532E-02   12.9139      0.822295      0.899511      0.792513      0.929293      0.297821E-01  -.297821E-01   1.72181      0.411087      0.440869      0.411191      0.381426      0.772334E-01   0.00000      0.411191    
  0.107189E-02   12.7061      0.810141      0.885998      0.780075      0.916064      0.300661E-01  -.300661E-01   1.69614      0.405005      0.435071      0.405110      0.375070      0.758832E-01   0.00000      0.405110    
  0.110975E-02   12.4983      0.797987      0.872485      0.767637      0.902835      0.303500E-01  -.303500E-01   1.67047      0.398923      0.429273      0.399029      0.368713      0.745331E-01   0.00000      0.399029    
  0.114895E-02   12.2905      0.785833      0.858972      0.755199      0.889606      0.306340E-01  -.306340E-01   1.64480      0.392842      0.423476      0.392948      0.362357      0.731829E-01   0.00000      0.392948    
  0.118953E-02   12.1047      0.775116      0.847099      0.744166      0.878048      0.309495E-01  -.309495E-01   1.62221      0.387506      0.418456      0.387613      0.356660      0.719794E-01   0.00000      0.387613    
  0.123155E-02   11.9211      0.764545      0.835392      0.733277      0.866660      0.312681E-01  -.312681E-01   1.59994      0.382247      0.413515      0.382355      0.351030      0.707908E-01   0.00000      0.382355    
  0.127505E-02   11.7376      0.753975      0.823685      0.722388      0.855272      0.315868E-01  -.315868E-01   1.57766      0.376987      0.408574      0.377096      0.345401      0.696022E-01   0.00000      0.377096    
  0.132009E-02   11.5540      0.743404      0.811978      0.711499      0.843884      0.319054E-01  -.319054E-01   1.55538      0.371728      0.403633      0.371837      0.339771      0.684136E-01   0.00000      0.371837    
  0.136672E-02   11.3705      0.732833      0.800272      0.700609      0.832496      0.322241E-01  -.322241E-01   1.53311      0.366468      0.398692      0.366578      0.334141      0.672251E-01   0.00000      0.366578    
  0.141499E-02   11.1869      0.722263      0.788565      0.689720      0.821108      0.325428E-01  -.325428E-01   1.51083      0.361209      0.393751      0.361320      0.328511      0.660365E-01   0.00000      0.361320    
  0.146497E-02   11.0034      0.711692      0.776858      0.678831      0.809719      0.328614E-01  -.328614E-01   1.48855      0.355949      0.388811      0.356061      0.322882      0.648479E-01   0.00000      0.356061    
  0.151672E-02   10.8198      0.701122      0.765151      0.667942      0.798331      0.331801E-01  -.331801E-01   1.46627      0.350690      0.383870      0.350802      0.317252      0.636593E-01   0.00000      0.350802    
  0.157029E-02   10.6455      0.691171      0.754155      0.657655      0.787671      0.335161E-01  -.335161E-01   1.44533      0.345754      0.379270      0.345868      0.311900      0.625325E-01   0.00000      0.345868    
  0.162576E-02   10.4834      0.682030      0.744086      0.648156      0.777961      0.338747E-01  -.338747E-01   1.42612      0.341243      0.375118      0.341357      0.306913      0.614864E-01   0.00000      0.341357    
  0.168318E-02   10.3212      0.672890      0.734018      0.638656      0.768252      0.342333E-01  -.342333E-01   1.40691      0.336732      0.370965      0.336846      0.301925      0.604404E-01   0.00000      0.336846    
  0.174263E-02   10.1591      0.663749      0.723950      0.629157      0.758542      0.345920E-01  -.345920E-01   1.38770      0.332220      0.366812      0.332336      0.296937      0.593943E-01   0.00000      0.332336    
  0.180419E-02   9.99689      0.654608      0.713882      0.619658      0.748832      0.349506E-01  -.349506E-01   1.36849      0.327709      0.362659      0.327825      0.291949      0.583482E-01   0.00000      0.327825    
  0.186791E-02   9.83473      0.645468      0.703814      0.610159      0.739123      0.353092E-01  -.353092E-01   1.34928      0.323197      0.358507      0.323314      0.286961      0.573021E-01   0.00000      0.323314    
  0.193389E-02   9.67257      0.636327      0.693745      0.600659      0.729413      0.356679E-01  -.356679E-01   1.33007      0.318686      0.354354      0.318804      0.281974      0.562561E-01   0.00000      0.318804    
