   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.9523      0.877857      0.958174      0.849093      0.986938      0.287647E-01  -.287647E-01   1.83603      0.437835      0.466600      0.437939      0.411258      0.823999E-01   0.00000      0.437939    
  0.103532E-02   13.7272      0.864604      0.943395      0.835554      0.972445      0.290501E-01  -.290501E-01   1.80800      0.431167      0.460217      0.431272      0.404387      0.809561E-01   0.00000      0.431272    
  0.107189E-02   13.5021      0.851350      0.928616      0.822015      0.957952      0.293356E-01  -.293356E-01   1.77997      0.424499      0.453835      0.424605      0.397515      0.795122E-01   0.00000      0.424605    
  0.110975E-02   13.2769      0.838097      0.913837      0.808476      0.943458      0.296211E-01  -.296211E-01   1.75193      0.417831      0.447452      0.417938      0.390644      0.780683E-01   0.00000      0.417938    
  0.114895E-02   13.0518      0.824843      0.899058      0.794936      0.928965      0.299066E-01  -.299066E-01   1.72390      0.411163      0.441070      0.411270      0.383773      0.766245E-01   0.00000      0.411270    
  0.118953E-02   12.8508      0.813153      0.886055      0.782929      0.916279      0.302242E-01  -.302242E-01   1.69921      0.405303      0.435527      0.405411      0.377626      0.753404E-01   0.00000      0.405411    
  0.123155E-02   12.6523      0.801623      0.873232      0.771078      0.903777      0.305450E-01  -.305450E-01   1.67485      0.399525      0.430070      0.399634      0.371553      0.740725E-01   0.00000      0.399634    
  0.127505E-02   12.4537      0.790092      0.860409      0.759227      0.891275      0.308659E-01  -.308659E-01   1.65050      0.393747      0.424613      0.393857      0.365479      0.728046E-01   0.00000      0.393857    
  0.132009E-02   12.2552      0.778562      0.847586      0.747375      0.878773      0.311867E-01  -.311867E-01   1.62615      0.387970      0.419156      0.388080      0.359406      0.715367E-01   0.00000      0.388080    
  0.136672E-02   12.0567      0.767032      0.834763      0.735524      0.866271      0.315076E-01  -.315076E-01   1.60179      0.382192      0.413699      0.382303      0.353332      0.702688E-01   0.00000      0.382303    
  0.141499E-02   11.8581      0.755501      0.821940      0.723673      0.853769      0.318285E-01  -.318285E-01   1.57744      0.376414      0.408242      0.376526      0.347259      0.690010E-01   0.00000      0.376526    
  0.146497E-02   11.6596      0.743971      0.809118      0.711821      0.841267      0.321493E-01  -.321493E-01   1.55309      0.370636      0.402785      0.370749      0.341185      0.677331E-01   0.00000      0.370749    
  0.151672E-02   11.4610      0.732440      0.796295      0.699970      0.828765      0.324702E-01  -.324702E-01   1.52873      0.364858      0.397328      0.364972      0.335112      0.664652E-01   0.00000      0.364972    
  0.157029E-02   11.2727      0.721583      0.784239      0.688774      0.817048      0.328087E-01  -.328087E-01   1.50582      0.359430      0.392239      0.359544      0.329344      0.652645E-01   0.00000      0.359544    
  0.162576E-02   11.0976      0.711605      0.773186      0.678434      0.806357      0.331704E-01  -.331704E-01   1.48479      0.354460      0.387630      0.354575      0.323975      0.641517E-01   0.00000      0.354575    
  0.168318E-02   10.9225      0.701627      0.762133      0.668095      0.795665      0.335321E-01  -.335321E-01   1.46376      0.349489      0.383021      0.349605      0.318606      0.630388E-01   0.00000      0.349605    
