   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  0.362119      0.274412E-01  0.115853E-01  0.579264E-02  0.332338E-01  0.216485E-01  -.216485E-01  0.390265E-01  0.579264E-02  0.274412E-01  0.579264E-02   0.00000       0.00000       0.00000      0.579264E-02
  0.103532E-02  0.377761      0.276903E-01  0.119563E-01  0.597817E-02  0.336685E-01  0.217122E-01  -.217122E-01  0.396467E-01  0.597817E-02  0.276903E-01  0.597817E-02   0.00000       0.00000       0.00000      0.597817E-02
  0.107189E-02  0.393403      0.279395E-01  0.123274E-01  0.616370E-02  0.341032E-01  0.217758E-01  -.217758E-01  0.402669E-01  0.616370E-02  0.279395E-01  0.616370E-02   0.00000       0.00000       0.00000      0.616370E-02
  0.110975E-02  0.409045      0.281886E-01  0.126985E-01  0.634923E-02  0.345379E-01  0.218394E-01  -.218394E-01  0.408871E-01  0.634923E-02  0.281886E-01  0.634923E-02   0.00000       0.00000       0.00000      0.634923E-02
  0.114895E-02  0.424686      0.284378E-01  0.130695E-01  0.653476E-02  0.349725E-01  0.219030E-01  -.219030E-01  0.415073E-01  0.653476E-02  0.284378E-01  0.653476E-02   0.00000       0.00000       0.00000      0.653476E-02
  0.118953E-02  0.446148      0.287535E-01  0.135451E-01  0.677253E-02  0.355260E-01  0.219810E-01  -.219810E-01  0.422986E-01  0.677253E-02  0.287535E-01  0.677253E-02   0.00000       0.00000       0.00000      0.677253E-02
  0.123155E-02  0.468202      0.290760E-01  0.140313E-01  0.701563E-02  0.360916E-01  0.220603E-01  -.220603E-01  0.431072E-01  0.701563E-02  0.290760E-01  0.701563E-02   0.00000       0.00000       0.00000      0.701563E-02
  0.127505E-02  0.490256      0.293985E-01  0.145174E-01  0.725872E-02  0.366572E-01  0.221397E-01  -.221397E-01  0.439159E-01  0.725872E-02  0.293985E-01  0.725872E-02   0.00000       0.00000       0.00000      0.725872E-02
  0.132009E-02  0.512309      0.297209E-01  0.150036E-01  0.750181E-02  0.372227E-01  0.222191E-01  -.222191E-01  0.447246E-01  0.750181E-02  0.297209E-01  0.750181E-02   0.00000       0.00000       0.00000      0.750181E-02
  0.136672E-02  0.534363      0.300434E-01  0.154898E-01  0.774490E-02  0.377883E-01  0.222985E-01  -.222985E-01  0.455332E-01  0.774490E-02  0.300434E-01  0.774490E-02   0.00000       0.00000       0.00000      0.774490E-02
  0.141499E-02  0.556417      0.303659E-01  0.159760E-01  0.798799E-02  0.383539E-01  0.223779E-01  -.223779E-01  0.463419E-01  0.798799E-02  0.303659E-01  0.798799E-02   0.00000       0.00000       0.00000      0.798799E-02
  0.146497E-02  0.578471      0.306884E-01  0.164622E-01  0.823109E-02  0.389195E-01  0.224573E-01  -.224573E-01  0.471506E-01  0.823109E-02  0.306884E-01  0.823109E-02   0.00000       0.00000       0.00000      0.823109E-02
  0.151672E-02  0.600525      0.310109E-01  0.169484E-01  0.847418E-02  0.394850E-01  0.225367E-01  -.225367E-01  0.479592E-01  0.847418E-02  0.310109E-01  0.847418E-02   0.00000       0.00000       0.00000      0.847418E-02
  0.157029E-02  0.626231      0.313728E-01  0.174995E-01  0.874974E-02  0.401226E-01  0.226231E-01  -.226231E-01  0.488723E-01  0.874974E-02  0.313728E-01  0.874974E-02   0.00000       0.00000       0.00000      0.874974E-02
  0.162576E-02  0.656714      0.317865E-01  0.181355E-01  0.906774E-02  0.408542E-01  0.227187E-01  -.227187E-01  0.499219E-01  0.906774E-02  0.317865E-01  0.906774E-02   0.00000       0.00000       0.00000      0.906774E-02
  0.168318E-02  0.687197      0.322001E-01  0.187715E-01  0.938574E-02  0.415858E-01  0.228143E-01  -.228143E-01  0.509715E-01  0.938574E-02  0.322001E-01  0.938574E-02   0.00000       0.00000       0.00000      0.938574E-02
  0.174263E-02  0.717680      0.326137E-01  0.194075E-01  0.970375E-02  0.423174E-01  0.229099E-01  -.229099E-01  0.520212E-01  0.970375E-02  0.326137E-01  0.970375E-02   0.00000       0.00000       0.00000      0.970375E-02
  0.180419E-02  0.748163      0.330273E-01  0.200435E-01  0.100217E-01  0.430490E-01  0.230055E-01  -.230055E-01  0.530708E-01  0.100217E-01  0.330273E-01  0.100217E-01   0.00000       0.00000       0.00000      0.100217E-01
  0.186791E-02  0.778645      0.334409E-01  0.206795E-01  0.103398E-01  0.437806E-01  0.231011E-01  -.231011E-01  0.541204E-01  0.103398E-01  0.334409E-01  0.103398E-01   0.00000       0.00000       0.00000      0.103398E-01
  0.193389E-02  0.809128      0.338545E-01  0.213155E-01  0.106578E-01  0.445122E-01  0.231967E-01  -.231967E-01  0.551700E-01  0.106578E-01  0.338545E-01  0.106578E-01   0.00000       0.00000       0.00000      0.106578E-01
  0.200220E-02  0.839611      0.342681E-01  0.219515E-01  0.109758E-01  0.452438E-01  0.232923E-01  -.232923E-01  0.562196E-01  0.109758E-01  0.342681E-01  0.109758E-01   0.00000       0.00000       0.00000      0.109758E-01
