   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   10.2033      0.720836      0.786992      0.695601      0.812227      0.252353E-01  -.252353E-01   1.50783      0.356728      0.381963      0.356801      0.338873      0.734624E-01   0.00000      0.356801    
  0.103532E-02   10.1176      0.715381      0.780846      0.690038      0.806188      0.253425E-01  -.253425E-01   1.49623      0.354086      0.379428      0.354159      0.335953      0.726006E-01   0.00000      0.354159    
  0.107189E-02   10.0320      0.709925      0.774699      0.684476      0.800149      0.254497E-01  -.254497E-01   1.48462      0.351443      0.376893      0.351517      0.333033      0.717388E-01   0.00000      0.351517    
  0.110975E-02   9.94633      0.704470      0.768553      0.678913      0.794110      0.255570E-01  -.255570E-01   1.47302      0.348801      0.374357      0.348876      0.330113      0.708770E-01   0.00000      0.348876    
  0.114895E-02   9.86066      0.699015      0.762407      0.673351      0.788071      0.256642E-01  -.256642E-01   1.46142      0.346158      0.371822      0.346234      0.327193      0.700152E-01   0.00000      0.346234    
  0.118953E-02   9.78138      0.693885      0.756683      0.668094      0.782473      0.257906E-01  -.257906E-01   1.45057      0.343702      0.369493      0.343778      0.324392      0.692024E-01   0.00000      0.343778    
  0.123155E-02   9.70275      0.688788      0.751002      0.662869      0.776921      0.259190E-01  -.259190E-01   1.43979      0.341265      0.367184      0.341342      0.321604      0.683947E-01   0.00000      0.341342    
  0.127505E-02   9.62412      0.683691      0.745321      0.657643      0.771368      0.260473E-01  -.260473E-01   1.42901      0.338828      0.364875      0.338906      0.318815      0.675869E-01   0.00000      0.338906    
  0.132009E-02   9.54549      0.678594      0.739640      0.652418      0.765815      0.261757E-01  -.261757E-01   1.41823      0.336391      0.362567      0.336469      0.316027      0.667792E-01   0.00000      0.336469    
  0.136672E-02   9.46686      0.673497      0.733959      0.647193      0.760263      0.263041E-01  -.263041E-01   1.40746      0.333954      0.360258      0.334033      0.313239      0.659714E-01   0.00000      0.334033    
  0.141499E-02   9.38823      0.668400      0.728277      0.641967      0.754710      0.264325E-01  -.264325E-01   1.39668      0.331517      0.357950      0.331597      0.310450      0.651637E-01   0.00000      0.331597    
  0.146497E-02   9.30959      0.663303      0.722596      0.636742      0.749157      0.265608E-01  -.265608E-01   1.38590      0.329080      0.355641      0.329160      0.307662      0.643559E-01   0.00000      0.329160    
  0.151672E-02   9.23096      0.658206      0.716915      0.631517      0.743605      0.266892E-01  -.266892E-01   1.37512      0.326643      0.353332      0.326724      0.304873      0.635482E-01   0.00000      0.326724    
  0.157029E-02   9.15523      0.653229      0.711402      0.626400      0.738230      0.268281E-01  -.268281E-01   1.36463      0.324280      0.351108      0.324362      0.302120      0.627600E-01   0.00000      0.324362    
  0.162576E-02   9.08329      0.648408      0.706108      0.621427      0.733088      0.269807E-01  -.269807E-01   1.35452      0.322014      0.348995      0.322096      0.299413      0.619974E-01   0.00000      0.322096    
  0.168318E-02   9.01135      0.643587      0.700813      0.616453      0.727947      0.271334E-01  -.271334E-01   1.34440      0.319748      0.346882      0.319831      0.296705      0.612347E-01   0.00000      0.319831    
  0.174263E-02   8.93940      0.638766      0.695519      0.611480      0.722805      0.272860E-01  -.272860E-01   1.33429      0.317482      0.344768      0.317565      0.293998      0.604721E-01   0.00000      0.317565    
  0.180419E-02   8.86746      0.633945      0.690225      0.606506      0.717664      0.274387E-01  -.274387E-01   1.32417      0.315216      0.342655      0.315300      0.291291      0.597094E-01   0.00000      0.315300    
  0.186791E-02   8.79552      0.629124      0.684931      0.601533      0.712522      0.275913E-01  -.275913E-01   1.31406      0.312950      0.340541      0.313034      0.288583      0.589468E-01   0.00000      0.313034    
  0.193389E-02   8.72358      0.624303      0.679637      0.596560      0.707380      0.277439E-01  -.277439E-01   1.30394      0.310684      0.338428      0.310769      0.285876      0.581842E-01   0.00000      0.310769    
  0.200220E-02   8.65164      0.619483      0.674342      0.591586      0.702239      0.278966E-01  -.278966E-01   1.29382      0.308418      0.336314      0.308503      0.283168      0.574215E-01   0.00000      0.308503    
  0.207292E-02   8.57969      0.614662      0.669048      0.586613      0.697097      0.280492E-01  -.280492E-01   1.28371      0.306152      0.334201      0.306238      0.280461      0.566589E-01   0.00000      0.306238    
  0.214614E-02   8.51331      0.609995      0.664016      0.581765      0.692246      0.282300E-01  -.282300E-01   1.27401      0.304000      0.332230      0.304087      0.277765      0.559293E-01   0.00000      0.304087    
  0.222195E-02   8.44716      0.605334      0.658996      0.576922      0.687408      0.284120E-01  -.284120E-01   1.26433      0.301854      0.330266      0.301941      0.275069      0.552012E-01   0.00000      0.301941    
  0.230043E-02   8.38101      0.600674      0.653975      0.572080      0.682569      0.285940E-01  -.285940E-01   1.25465      0.299707      0.328301      0.299795      0.272373      0.544731E-01   0.00000      0.299795    
  0.238169E-02   8.31486      0.596014      0.648954      0.567238      0.677730      0.287760E-01  -.287760E-01   1.24497      0.297561      0.326337      0.297649      0.269677      0.537449E-01   0.00000      0.297649    
  0.246581E-02   8.24871      0.591353      0.643934      0.562395      0.672892      0.289580E-01  -.289580E-01   1.23529      0.295414      0.324372      0.295503      0.266981      0.530168E-01   0.00000      0.295503    
  0.255291E-02   8.18256      0.586693      0.638913      0.557553      0.668053      0.291400E-01  -.291400E-01   1.22561      0.293268      0.322408      0.293357      0.264285      0.522887E-01   0.00000      0.293357    
  0.264308E-02   8.11641      0.582033      0.633892      0.552711      0.663214      0.293220E-01  -.293220E-01   1.21593      0.291121      0.320443      0.291211      0.261590      0.515605E-01   0.00000      0.291211    
  0.273644E-02   8.05027      0.577372      0.628872      0.547868      0.658376      0.295040E-01  -.295040E-01   1.20624      0.288975      0.318479      0.289065      0.258894      0.508324E-01   0.00000      0.289065    
  0.283310E-02   7.98605      0.572720      0.623914      0.543016      0.653618      0.297040E-01  -.297040E-01   1.19663      0.286854      0.316558      0.286945      0.256162      0.501154E-01   0.00000      0.286945    
  0.293317E-02   7.92388      0.568075      0.619024      0.538152      0.648947      0.299229E-01  -.299229E-01   1.18710      0.284761      0.314684      0.284852      0.253391      0.494101E-01   0.00000      0.284852    
  0.303677E-02   7.86171      0.563431      0.614133      0.533289      0.644275      0.301418E-01  -.301418E-01   1.17756      0.282668      0.312810      0.282760      0.250620      0.487048E-01   0.00000      0.282760    
  0.314404E-02   7.79954      0.558786      0.609242      0.528425      0.639603      0.303608E-01  -.303608E-01   1.16803      0.280575      0.310936      0.280668      0.247850      0.479995E-01   0.00000      0.280668    
  0.325509E-02   7.73737      0.554142      0.604352      0.523562      0.634932      0.305797E-01  -.305797E-01   1.15849      0.278483      0.309062      0.278575      0.245079      0.472942E-01   0.00000      0.278575    
  0.337006E-02   7.67520      0.549497      0.599461      0.518698      0.630260      0.307987E-01  -.307987E-01   1.14896      0.276390      0.307188      0.276483      0.242309      0.465889E-01   0.00000      0.276483    
  0.348910E-02   7.61303      0.544852      0.594571      0.513835      0.625588      0.310176E-01  -.310176E-01   1.13942      0.274297      0.305315      0.274390      0.239538      0.458836E-01   0.00000      0.274390    
  0.361234E-02   7.55086      0.540208      0.589680      0.508971      0.620917      0.312366E-01  -.312366E-01   1.12989      0.272204      0.303441      0.272298      0.236767      0.451783E-01   0.00000      0.272298    
  0.373994E-02   7.48870      0.535562      0.584789      0.504106      0.616245      0.314560E-01  -.314560E-01   1.12035      0.270111      0.301567      0.270205      0.233995      0.444731E-01   0.00000      0.270205    
  0.387204E-02   7.42743      0.530781      0.579878      0.499059      0.611600      0.317219E-01  -.317219E-01   1.11066      0.268002      0.299724      0.268096      0.231057      0.437797E-01   0.00000      0.268096    
  0.400881E-02   7.36615      0.525999      0.574966      0.494012      0.606954      0.319878E-01  -.319878E-01   1.10097      0.265893      0.297880      0.265988      0.228119      0.430862E-01   0.00000      0.265988    
  0.415040E-02   7.30487      0.521218      0.570055      0.488964      0.602309      0.322537E-01  -.322537E-01   1.09127      0.263784      0.296037      0.263879      0.225181      0.423927E-01   0.00000      0.263879    
