   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  0.516077      0.287537E-01  0.152012E-01  0.760061E-02  0.363543E-01  0.211531E-01  -.211531E-01  0.439549E-01  0.760061E-02  0.287537E-01  0.760061E-02   0.00000       0.00000       0.00000      0.760061E-02
  0.103532E-02  0.536403      0.290382E-01  0.156526E-01  0.782632E-02  0.368645E-01  0.212118E-01  -.212118E-01  0.446908E-01  0.782632E-02  0.290382E-01  0.782632E-02   0.00000       0.00000       0.00000      0.782632E-02
  0.107189E-02  0.556729      0.293226E-01  0.161041E-01  0.805203E-02  0.373747E-01  0.212706E-01  -.212706E-01  0.454267E-01  0.805203E-02  0.293226E-01  0.805203E-02   0.00000       0.00000       0.00000      0.805203E-02
  0.110975E-02  0.577055      0.296071E-01  0.165555E-01  0.827774E-02  0.378849E-01  0.213294E-01  -.213294E-01  0.461626E-01  0.827774E-02  0.296071E-01  0.827774E-02   0.00000       0.00000       0.00000      0.827774E-02
  0.114895E-02  0.597381      0.298916E-01  0.170069E-01  0.850345E-02  0.383951E-01  0.213882E-01  -.213882E-01  0.468985E-01  0.850345E-02  0.298916E-01  0.850345E-02   0.00000       0.00000       0.00000      0.850345E-02
  0.118953E-02  0.624346      0.302485E-01  0.175746E-01  0.878730E-02  0.390359E-01  0.214612E-01  -.214612E-01  0.478232E-01  0.878730E-02  0.302485E-01  0.878730E-02   0.00000       0.00000       0.00000      0.878730E-02
  0.123155E-02  0.651986      0.306129E-01  0.181541E-01  0.907707E-02  0.396899E-01  0.215358E-01  -.215358E-01  0.487670E-01  0.907707E-02  0.306129E-01  0.907707E-02   0.00000       0.00000       0.00000      0.907707E-02
  0.127505E-02  0.679626      0.309772E-01  0.187337E-01  0.936684E-02  0.403440E-01  0.216103E-01  -.216103E-01  0.497109E-01  0.936684E-02  0.309772E-01  0.936684E-02   0.00000       0.00000       0.00000      0.936684E-02
  0.132009E-02  0.707266      0.313415E-01  0.193132E-01  0.965661E-02  0.409981E-01  0.216849E-01  -.216849E-01  0.506547E-01  0.965661E-02  0.313415E-01  0.965661E-02   0.00000       0.00000       0.00000      0.965661E-02
  0.136672E-02  0.734906      0.317058E-01  0.198928E-01  0.994638E-02  0.416522E-01  0.217594E-01  -.217594E-01  0.515986E-01  0.994638E-02  0.317058E-01  0.994638E-02   0.00000       0.00000       0.00000      0.994638E-02
  0.141499E-02  0.762546      0.320701E-01  0.204723E-01  0.102361E-01  0.423063E-01  0.218340E-01  -.218340E-01  0.525424E-01  0.102361E-01  0.320701E-01  0.102361E-01   0.00000       0.00000       0.00000      0.102361E-01
  0.146497E-02  0.790187      0.324344E-01  0.210518E-01  0.105259E-01  0.429604E-01  0.219085E-01  -.219085E-01  0.534863E-01  0.105259E-01  0.324344E-01  0.105259E-01   0.00000       0.00000       0.00000      0.105259E-01
  0.151672E-02  0.817827      0.327988E-01  0.216314E-01  0.108157E-01  0.436144E-01  0.219831E-01  -.219831E-01  0.544301E-01  0.108157E-01  0.327988E-01  0.108157E-01   0.00000       0.00000       0.00000      0.108157E-01
  0.157029E-02  0.849440      0.332055E-01  0.222817E-01  0.111408E-01  0.443463E-01  0.220646E-01  -.220646E-01  0.554872E-01  0.111408E-01  0.332055E-01  0.111408E-01   0.00000       0.00000       0.00000      0.111408E-01
  0.162576E-02  0.886249      0.336676E-01  0.230245E-01  0.115123E-01  0.451799E-01  0.221553E-01  -.221553E-01  0.566921E-01  0.115123E-01  0.336676E-01  0.115123E-01   0.00000       0.00000       0.00000      0.115123E-01
  0.168318E-02  0.923057      0.341297E-01  0.237674E-01  0.118837E-01  0.460134E-01  0.222460E-01  -.222460E-01  0.578971E-01  0.118837E-01  0.341297E-01  0.118837E-01   0.00000       0.00000       0.00000      0.118837E-01
  0.174263E-02  0.959865      0.345919E-01  0.245103E-01  0.122551E-01  0.468470E-01  0.223367E-01  -.223367E-01  0.591021E-01  0.122551E-01  0.345919E-01  0.122551E-01   0.00000       0.00000       0.00000      0.122551E-01
