   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  0.362222      0.274409E-01  0.115849E-01  0.579245E-02  0.332334E-01  0.216485E-01  -.216485E-01  0.390258E-01  0.579245E-02  0.274409E-01  0.579245E-02   0.00000       0.00000       0.00000      0.579245E-02
  0.103532E-02  0.377867      0.276901E-01  0.119560E-01  0.597798E-02  0.336681E-01  0.217121E-01  -.217121E-01  0.396460E-01  0.597798E-02  0.276901E-01  0.597798E-02   0.00000       0.00000       0.00000      0.597798E-02
  0.107189E-02  0.393513      0.279392E-01  0.123270E-01  0.616350E-02  0.341027E-01  0.217757E-01  -.217757E-01  0.402662E-01  0.616350E-02  0.279392E-01  0.616350E-02   0.00000       0.00000       0.00000      0.616350E-02
  0.110975E-02  0.409158      0.281884E-01  0.126981E-01  0.634903E-02  0.345374E-01  0.218393E-01  -.218393E-01  0.408864E-01  0.634903E-02  0.281884E-01  0.634903E-02   0.00000       0.00000       0.00000      0.634903E-02
  0.114895E-02  0.424803      0.284375E-01  0.130691E-01  0.653455E-02  0.349721E-01  0.219030E-01  -.219030E-01  0.415066E-01  0.653455E-02  0.284375E-01  0.653455E-02   0.00000       0.00000       0.00000      0.653455E-02
  0.118953E-02  0.446269      0.287532E-01  0.135446E-01  0.677232E-02  0.355255E-01  0.219809E-01  -.219809E-01  0.422979E-01  0.677232E-02  0.287532E-01  0.677232E-02   0.00000       0.00000       0.00000      0.677232E-02
  0.123155E-02  0.468328      0.290757E-01  0.140308E-01  0.701541E-02  0.360911E-01  0.220603E-01  -.220603E-01  0.431065E-01  0.701541E-02  0.290757E-01  0.701541E-02   0.00000       0.00000       0.00000      0.701541E-02
  0.127505E-02  0.490386      0.293982E-01  0.145170E-01  0.725850E-02  0.366567E-01  0.221397E-01  -.221397E-01  0.439152E-01  0.725850E-02  0.293982E-01  0.725850E-02   0.00000       0.00000       0.00000      0.725850E-02
  0.132009E-02  0.512444      0.297207E-01  0.150032E-01  0.750158E-02  0.372222E-01  0.222191E-01  -.222191E-01  0.447238E-01  0.750158E-02  0.297207E-01  0.750158E-02   0.00000       0.00000       0.00000      0.750158E-02
  0.136672E-02  0.534503      0.300431E-01  0.154893E-01  0.774467E-02  0.377878E-01  0.222985E-01  -.222985E-01  0.455325E-01  0.774467E-02  0.300431E-01  0.774467E-02   0.00000       0.00000       0.00000      0.774467E-02
