   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.86118      0.431300E-01  0.243337E-01  0.121669E-01  0.552968E-01  0.309631E-01  -.309631E-01  0.674637E-01  0.121669E-01  0.431300E-01  0.121669E-01   0.00000       0.00000       0.00000      0.121669E-01
  0.103532E-02   5.80836      0.436110E-01  0.249644E-01  0.124822E-01  0.560932E-01  0.311289E-01  -.311289E-01  0.685754E-01  0.124822E-01  0.436110E-01  0.124822E-01   0.00000       0.00000       0.00000      0.124822E-01
  0.107189E-02   5.75554      0.440921E-01  0.255950E-01  0.127975E-01  0.568896E-01  0.312946E-01  -.312946E-01  0.696871E-01  0.127975E-01  0.440921E-01  0.127975E-01   0.00000       0.00000       0.00000      0.127975E-01
  0.110975E-02   5.70272      0.445732E-01  0.262257E-01  0.131128E-01  0.576860E-01  0.314603E-01  -.314603E-01  0.707988E-01  0.131128E-01  0.445732E-01  0.131128E-01   0.00000       0.00000       0.00000      0.131128E-01
  0.114895E-02   5.64990      0.450542E-01  0.268563E-01  0.134282E-01  0.584824E-01  0.316261E-01  -.316261E-01  0.719105E-01  0.134282E-01  0.450542E-01  0.134282E-01   0.00000       0.00000       0.00000      0.134282E-01
  0.118953E-02   5.59937      0.456193E-01  0.276255E-01  0.138128E-01  0.594320E-01  0.318065E-01  -.318065E-01  0.732448E-01  0.138128E-01  0.456193E-01  0.138128E-01   0.00000       0.00000       0.00000      0.138128E-01
  0.123155E-02   5.54908      0.461929E-01  0.284088E-01  0.142044E-01  0.603973E-01  0.319885E-01  -.319885E-01  0.746017E-01  0.142044E-01  0.461929E-01  0.142044E-01   0.00000       0.00000       0.00000      0.142044E-01
  0.127505E-02   5.49878      0.467665E-01  0.291921E-01  0.145961E-01  0.613625E-01  0.321704E-01  -.321704E-01  0.759586E-01  0.145961E-01  0.467665E-01  0.145961E-01   0.00000       0.00000       0.00000      0.145961E-01
  0.132009E-02   5.44848      0.473401E-01  0.299754E-01  0.149877E-01  0.623278E-01  0.323524E-01  -.323524E-01  0.773155E-01  0.149877E-01  0.473401E-01  0.149877E-01   0.00000       0.00000       0.00000      0.149877E-01
  0.136672E-02   5.39819      0.479137E-01  0.307587E-01  0.153794E-01  0.632931E-01  0.325343E-01  -.325343E-01  0.786724E-01  0.153794E-01  0.479137E-01  0.153794E-01   0.00000       0.00000       0.00000      0.153794E-01
  0.141499E-02   5.34789      0.484873E-01  0.315421E-01  0.157710E-01  0.642583E-01  0.327163E-01  -.327163E-01  0.800293E-01  0.157710E-01  0.484873E-01  0.157710E-01   0.00000       0.00000       0.00000      0.157710E-01
  0.146497E-02   5.29759      0.490609E-01  0.323254E-01  0.161627E-01  0.652236E-01  0.328982E-01  -.328982E-01  0.813862E-01  0.161627E-01  0.490609E-01  0.161627E-01   0.00000       0.00000       0.00000      0.161627E-01
  0.151672E-02   5.24730      0.496345E-01  0.331087E-01  0.165543E-01  0.661888E-01  0.330801E-01  -.330801E-01  0.827432E-01  0.165543E-01  0.496345E-01  0.165543E-01   0.00000       0.00000       0.00000      0.165543E-01
  0.157029E-02   5.19792      0.502564E-01  0.339735E-01  0.169868E-01  0.672431E-01  0.332696E-01  -.332696E-01  0.842299E-01  0.169868E-01  0.502564E-01  0.169868E-01   0.00000       0.00000       0.00000      0.169868E-01
  0.162576E-02   5.14973      0.509413E-01  0.349449E-01  0.174725E-01  0.684138E-01  0.334689E-01  -.334689E-01  0.858862E-01  0.174725E-01  0.509413E-01  0.174725E-01   0.00000       0.00000       0.00000      0.174725E-01
  0.168318E-02   5.10155      0.516263E-01  0.359163E-01  0.179582E-01  0.695845E-01  0.336682E-01  -.336682E-01  0.875426E-01  0.179582E-01  0.516263E-01  0.179582E-01   0.00000       0.00000       0.00000      0.179582E-01
  0.174263E-02   5.05337      0.523113E-01  0.368877E-01  0.184439E-01  0.707552E-01  0.338675E-01  -.338675E-01  0.891990E-01  0.184439E-01  0.523113E-01  0.184439E-01   0.00000       0.00000       0.00000      0.184439E-01
  0.180419E-02   5.00519      0.529963E-01  0.378591E-01  0.189296E-01  0.719258E-01  0.340667E-01  -.340667E-01  0.908554E-01  0.189296E-01  0.529963E-01  0.189296E-01   0.00000       0.00000       0.00000      0.189296E-01
  0.186791E-02   4.95701      0.536813E-01  0.388305E-01  0.194153E-01  0.730965E-01  0.342660E-01  -.342660E-01  0.925118E-01  0.194153E-01  0.536813E-01  0.194153E-01   0.00000       0.00000       0.00000      0.194153E-01
  0.193389E-02   4.90882      0.543663E-01  0.398019E-01  0.199010E-01  0.742672E-01  0.344653E-01  -.344653E-01  0.941682E-01  0.199010E-01  0.543663E-01  0.199010E-01   0.00000       0.00000       0.00000      0.199010E-01
  0.200220E-02   4.86064      0.550512E-01  0.407733E-01  0.203867E-01  0.754379E-01  0.346646E-01  -.346646E-01  0.958245E-01  0.203867E-01  0.550512E-01  0.203867E-01   0.00000       0.00000       0.00000      0.203867E-01
  0.207292E-02   4.81246      0.557362E-01  0.417447E-01  0.208724E-01  0.766086E-01  0.348639E-01  -.348639E-01  0.974809E-01  0.208724E-01  0.557362E-01  0.208724E-01   0.00000       0.00000       0.00000      0.208724E-01
  0.214614E-02   4.76590      0.565507E-01  0.429372E-01  0.214686E-01  0.780193E-01  0.350821E-01  -.350821E-01  0.994879E-01  0.214686E-01  0.565507E-01  0.214686E-01   0.00000       0.00000       0.00000      0.214686E-01
  0.222195E-02   4.71941      0.573706E-01  0.441391E-01  0.220696E-01  0.794402E-01  0.353011E-01  -.353011E-01  0.101510      0.220696E-01  0.573706E-01  0.220696E-01   0.00000       0.00000       0.00000      0.220696E-01
  0.230043E-02   4.67292      0.581906E-01  0.453410E-01  0.226705E-01  0.808611E-01  0.355201E-01  -.355201E-01  0.103532      0.226705E-01  0.581906E-01  0.226705E-01   0.00000       0.00000       0.00000      0.226705E-01
  0.238169E-02   4.62643      0.590105E-01  0.465430E-01  0.232715E-01  0.822820E-01  0.357391E-01  -.357391E-01  0.105553      0.232715E-01  0.590105E-01  0.232715E-01   0.00000       0.00000       0.00000      0.232715E-01
  0.246581E-02   4.57994      0.598305E-01  0.477449E-01  0.238724E-01  0.837029E-01  0.359581E-01  -.359581E-01  0.107575      0.238724E-01  0.598305E-01  0.238724E-01   0.00000       0.00000       0.00000      0.238724E-01
  0.255291E-02   4.53346      0.606505E-01  0.489468E-01  0.244734E-01  0.851238E-01  0.361771E-01  -.361771E-01  0.109597      0.244734E-01  0.606505E-01  0.244734E-01   0.00000       0.00000       0.00000      0.244734E-01
  0.264308E-02   4.48697      0.614704E-01  0.501487E-01  0.250744E-01  0.865448E-01  0.363961E-01  -.363961E-01  0.111619      0.250744E-01  0.614704E-01  0.250744E-01   0.00000       0.00000       0.00000      0.250744E-01
  0.273644E-02   4.44048      0.622904E-01  0.513506E-01  0.256753E-01  0.879657E-01  0.366151E-01  -.366151E-01  0.113641      0.256753E-01  0.622904E-01  0.256753E-01   0.00000       0.00000       0.00000      0.256753E-01
  0.283310E-02   4.39460      0.631900E-01  0.526884E-01  0.263442E-01  0.895342E-01  0.368458E-01  -.368458E-01  0.115878      0.263442E-01  0.631900E-01  0.263442E-01   0.00000       0.00000       0.00000      0.263442E-01
  0.293317E-02   4.34936      0.641744E-01  0.541705E-01  0.270853E-01  0.912597E-01  0.370891E-01  -.370891E-01  0.118345      0.270853E-01  0.641744E-01  0.270853E-01   0.00000       0.00000       0.00000      0.270853E-01
  0.303677E-02   4.30413      0.651587E-01  0.556526E-01  0.278263E-01  0.929851E-01  0.373324E-01  -.373324E-01  0.120811      0.278263E-01  0.651587E-01  0.278263E-01   0.00000       0.00000       0.00000      0.278263E-01
  0.314404E-02   4.25890      0.661431E-01  0.571348E-01  0.285674E-01  0.947105E-01  0.375757E-01  -.375757E-01  0.123278      0.285674E-01  0.661431E-01  0.285674E-01   0.00000       0.00000       0.00000      0.285674E-01
  0.325509E-02   4.21367      0.671274E-01  0.586169E-01  0.293084E-01  0.964359E-01  0.378190E-01  -.378190E-01  0.125744      0.293084E-01  0.671274E-01  0.293084E-01   0.00000       0.00000       0.00000      0.293084E-01
  0.337006E-02   4.16844      0.681118E-01  0.600990E-01  0.300495E-01  0.981613E-01  0.380623E-01  -.380623E-01  0.128211      0.300495E-01  0.681118E-01  0.300495E-01   0.00000       0.00000       0.00000      0.300495E-01
  0.348910E-02   4.12320      0.690961E-01  0.615811E-01  0.307906E-01  0.998867E-01  0.383056E-01  -.383056E-01  0.130677      0.307906E-01  0.690961E-01  0.307906E-01   0.00000       0.00000       0.00000      0.307906E-01
  0.361234E-02   4.07797      0.700805E-01  0.630632E-01  0.315316E-01  0.101612      0.385489E-01  -.385489E-01  0.133144      0.315316E-01  0.700805E-01  0.315316E-01   0.00000       0.00000       0.00000      0.315316E-01
  0.373994E-02   4.03275      0.710669E-01  0.645489E-01  0.322745E-01  0.103341      0.387925E-01  -.387925E-01  0.135616      0.322745E-01  0.710669E-01  0.322745E-01   0.00000       0.00000       0.00000      0.322745E-01
  0.387204E-02   3.98833      0.722508E-01  0.663681E-01  0.331840E-01  0.105435      0.390668E-01  -.390668E-01  0.138619      0.331840E-01  0.722508E-01  0.331840E-01   0.00000       0.00000       0.00000      0.331840E-01
  0.400881E-02   3.94391      0.734346E-01  0.681872E-01  0.340936E-01  0.107528      0.393410E-01  -.393410E-01  0.141622      0.340936E-01  0.734346E-01  0.340936E-01   0.00000       0.00000       0.00000      0.340936E-01
  0.415040E-02   3.89949      0.746185E-01  0.700063E-01  0.350031E-01  0.109622      0.396153E-01  -.396153E-01  0.144625      0.350031E-01  0.746185E-01  0.350031E-01   0.00000       0.00000       0.00000      0.350031E-01
  0.429700E-02   3.85507      0.758023E-01  0.718254E-01  0.359127E-01  0.111715      0.398896E-01  -.398896E-01  0.147628      0.359127E-01  0.758023E-01  0.359127E-01   0.00000       0.00000       0.00000      0.359127E-01
  0.444878E-02   3.81065      0.769861E-01  0.736445E-01  0.368223E-01  0.113808      0.401639E-01  -.401639E-01  0.150631      0.368223E-01  0.769861E-01  0.368223E-01   0.00000       0.00000       0.00000      0.368223E-01
  0.460592E-02   3.76623      0.781700E-01  0.754636E-01  0.377318E-01  0.115902      0.404382E-01  -.404382E-01  0.153634      0.377318E-01  0.781700E-01  0.377318E-01   0.00000       0.00000       0.00000      0.377318E-01
  0.476861E-02   3.72181      0.793538E-01  0.772827E-01  0.386414E-01  0.117995      0.407124E-01  -.407124E-01  0.156637      0.386414E-01  0.793538E-01  0.386414E-01   0.00000       0.00000       0.00000      0.386414E-01
  0.493705E-02   3.67739      0.805376E-01  0.791019E-01  0.395509E-01  0.120089      0.409867E-01  -.409867E-01  0.159639      0.395509E-01  0.805376E-01  0.395509E-01   0.00000       0.00000       0.00000      0.395509E-01
  0.511143E-02   3.63318      0.818502E-01  0.811352E-01  0.405676E-01  0.122418      0.412826E-01  -.412826E-01  0.162985      0.405676E-01  0.818502E-01  0.405676E-01   0.00000       0.00000       0.00000      0.405676E-01
