   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.83300      0.416605E-01  0.237931E-01  0.118965E-01  0.535570E-01  0.297640E-01  -.297640E-01  0.654536E-01  0.118965E-01  0.416605E-01  0.118965E-01   0.00000       0.00000       0.00000      0.118965E-01
  0.103532E-02   5.78058      0.421280E-01  0.244107E-01  0.122053E-01  0.543334E-01  0.299227E-01  -.299227E-01  0.665387E-01  0.122053E-01  0.421280E-01  0.122053E-01   0.00000       0.00000       0.00000      0.122053E-01
  0.107189E-02   5.72815      0.425956E-01  0.250282E-01  0.125141E-01  0.551097E-01  0.300815E-01  -.300815E-01  0.676238E-01  0.125141E-01  0.425956E-01  0.125141E-01   0.00000       0.00000       0.00000      0.125141E-01
  0.110975E-02   5.67572      0.430631E-01  0.256458E-01  0.128229E-01  0.558860E-01  0.302402E-01  -.302402E-01  0.687089E-01  0.128229E-01  0.430631E-01  0.128229E-01   0.00000       0.00000       0.00000      0.128229E-01
  0.114895E-02   5.62330      0.435307E-01  0.262633E-01  0.131317E-01  0.566623E-01  0.303990E-01  -.303990E-01  0.697940E-01  0.131317E-01  0.435307E-01  0.131317E-01   0.00000       0.00000       0.00000      0.131317E-01
  0.118953E-02   5.57313      0.440812E-01  0.270168E-01  0.135084E-01  0.575896E-01  0.305728E-01  -.305728E-01  0.710981E-01  0.135084E-01  0.440812E-01  0.135084E-01   0.00000       0.00000       0.00000      0.135084E-01
  0.123155E-02   5.52320      0.446402E-01  0.277842E-01  0.138921E-01  0.585323E-01  0.307482E-01  -.307482E-01  0.724244E-01  0.138921E-01  0.446402E-01  0.138921E-01   0.00000       0.00000       0.00000      0.138921E-01
  0.127505E-02   5.47326      0.451992E-01  0.285515E-01  0.142757E-01  0.594750E-01  0.309235E-01  -.309235E-01  0.737507E-01  0.142757E-01  0.451992E-01  0.142757E-01   0.00000       0.00000       0.00000      0.142757E-01
  0.132009E-02   5.42332      0.457582E-01  0.293188E-01  0.146594E-01  0.604176E-01  0.310988E-01  -.310988E-01  0.750770E-01  0.146594E-01  0.457582E-01  0.146594E-01   0.00000       0.00000       0.00000      0.146594E-01
  0.136672E-02   5.37339      0.463172E-01  0.300861E-01  0.150431E-01  0.613603E-01  0.312742E-01  -.312742E-01  0.764034E-01  0.150431E-01  0.463172E-01  0.150431E-01   0.00000       0.00000       0.00000      0.150431E-01
  0.141499E-02   5.32345      0.468762E-01  0.308534E-01  0.154267E-01  0.623030E-01  0.314495E-01  -.314495E-01  0.777297E-01  0.154267E-01  0.468762E-01  0.154267E-01   0.00000       0.00000       0.00000      0.154267E-01
  0.146497E-02   5.27352      0.474352E-01  0.316208E-01  0.158104E-01  0.632456E-01  0.316249E-01  -.316249E-01  0.790560E-01  0.158104E-01  0.474352E-01  0.158104E-01   0.00000       0.00000       0.00000      0.158104E-01
  0.151672E-02   5.22358      0.479943E-01  0.323881E-01  0.161940E-01  0.641883E-01  0.318002E-01  -.318002E-01  0.803823E-01  0.161940E-01  0.479943E-01  0.161940E-01   0.00000       0.00000       0.00000      0.161940E-01
  0.157029E-02   5.17455      0.486010E-01  0.332354E-01  0.166177E-01  0.652187E-01  0.319832E-01  -.319832E-01  0.818364E-01  0.166177E-01  0.486010E-01  0.166177E-01   0.00000       0.00000       0.00000      0.166177E-01
  0.162576E-02   5.12670      0.492700E-01  0.341873E-01  0.170937E-01  0.663637E-01  0.321763E-01  -.321763E-01  0.834573E-01  0.170937E-01  0.492700E-01  0.170937E-01   0.00000       0.00000       0.00000      0.170937E-01
  0.168318E-02   5.07885      0.499391E-01  0.351392E-01  0.175696E-01  0.675087E-01  0.323694E-01  -.323694E-01  0.850783E-01  0.175696E-01  0.499391E-01  0.175696E-01   0.00000       0.00000       0.00000      0.175696E-01
  0.174263E-02   5.03100      0.506081E-01  0.360911E-01  0.180456E-01  0.686537E-01  0.325625E-01  -.325625E-01  0.866993E-01  0.180456E-01  0.506081E-01  0.180456E-01   0.00000       0.00000       0.00000      0.180456E-01
  0.180419E-02   4.98315      0.512772E-01  0.370431E-01  0.185215E-01  0.697987E-01  0.327556E-01  -.327556E-01  0.883202E-01  0.185215E-01  0.512772E-01  0.185215E-01   0.00000       0.00000       0.00000      0.185215E-01
  0.186791E-02   4.93530      0.519462E-01  0.379950E-01  0.189975E-01  0.709437E-01  0.329487E-01  -.329487E-01  0.899412E-01  0.189975E-01  0.519462E-01  0.189975E-01   0.00000       0.00000       0.00000      0.189975E-01
  0.193389E-02   4.88745      0.526153E-01  0.389469E-01  0.194734E-01  0.720887E-01  0.331418E-01  -.331418E-01  0.915622E-01  0.194734E-01  0.526153E-01  0.194734E-01   0.00000       0.00000       0.00000      0.194734E-01
  0.200220E-02   4.83959      0.532843E-01  0.398988E-01  0.199494E-01  0.732337E-01  0.333349E-01  -.333349E-01  0.931831E-01  0.199494E-01  0.532843E-01  0.199494E-01   0.00000       0.00000       0.00000      0.199494E-01
