   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.92068      0.551912E-01  0.461057E-01  0.230529E-01  0.782441E-01  0.321384E-01  -.321384E-01  0.101297      0.230529E-01  0.551912E-01  0.230529E-01   0.00000       0.00000       0.00000      0.230529E-01
  0.103532E-02   4.88090      0.558378E-01  0.470652E-01  0.235326E-01  0.793704E-01  0.323052E-01  -.323052E-01  0.102903      0.235326E-01  0.558378E-01  0.235326E-01   0.00000       0.00000       0.00000      0.235326E-01
  0.107189E-02   4.84111      0.564843E-01  0.480246E-01  0.240123E-01  0.804966E-01  0.324720E-01  -.324720E-01  0.104509      0.240123E-01  0.564843E-01  0.240123E-01   0.00000       0.00000       0.00000      0.240123E-01
  0.110975E-02   4.80133      0.571309E-01  0.489841E-01  0.244920E-01  0.816229E-01  0.326388E-01  -.326388E-01  0.106115      0.244920E-01  0.571309E-01  0.244920E-01   0.00000       0.00000       0.00000      0.244920E-01
  0.114895E-02   4.76155      0.577774E-01  0.499436E-01  0.249718E-01  0.827492E-01  0.328056E-01  -.328056E-01  0.107721      0.249718E-01  0.577774E-01  0.249718E-01   0.00000       0.00000       0.00000      0.249718E-01
  0.118953E-02   4.72311      0.585198E-01  0.510669E-01  0.255334E-01  0.840532E-01  0.329863E-01  -.329863E-01  0.109587      0.255334E-01  0.585198E-01  0.255334E-01   0.00000       0.00000       0.00000      0.255334E-01
  0.123155E-02   4.68480      0.592719E-01  0.522069E-01  0.261034E-01  0.853753E-01  0.331684E-01  -.331684E-01  0.111479      0.261034E-01  0.592719E-01  0.261034E-01   0.00000       0.00000       0.00000      0.261034E-01
  0.127505E-02   4.64650      0.600240E-01  0.533469E-01  0.266735E-01  0.866974E-01  0.333505E-01  -.333505E-01  0.113371      0.266735E-01  0.600240E-01  0.266735E-01   0.00000       0.00000       0.00000      0.266735E-01
  0.132009E-02   4.60819      0.607761E-01  0.544869E-01  0.272435E-01  0.880195E-01  0.335326E-01  -.335326E-01  0.115263      0.272435E-01  0.607761E-01  0.272435E-01   0.00000       0.00000       0.00000      0.272435E-01
  0.136672E-02   4.56989      0.615282E-01  0.556269E-01  0.278135E-01  0.893417E-01  0.337147E-01  -.337147E-01  0.117155      0.278135E-01  0.615282E-01  0.278135E-01   0.00000       0.00000       0.00000      0.278135E-01
