   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.0127      0.816146      0.889092      0.768358      0.936879      0.477876E-01  -.477876E-01   1.70524      0.407963      0.455751      0.408069      0.360395      0.730594E-01   0.00000      0.408069    
  0.103532E-02   11.8446      0.806095      0.877466      0.757696      0.925865      0.483986E-01  -.483986E-01   1.68356      0.402752      0.451151      0.402858      0.354944      0.718558E-01   0.00000      0.402858    
  0.107189E-02   11.6764      0.796044      0.865841      0.747034      0.914850      0.490096E-01  -.490096E-01   1.66188      0.397541      0.446550      0.397648      0.349494      0.706523E-01   0.00000      0.397648    
  0.110975E-02   11.5083      0.785993      0.854215      0.736373      0.903836      0.496206E-01  -.496206E-01   1.64021      0.392330      0.441950      0.392437      0.344043      0.694487E-01   0.00000      0.392437    
  0.114895E-02   11.3401      0.775942      0.842589      0.725711      0.892821      0.502316E-01  -.502316E-01   1.61853      0.387118      0.437350      0.387226      0.338592      0.682452E-01   0.00000      0.387226    
  0.118953E-02   11.1851      0.766831      0.832002      0.715935      0.882899      0.508963E-01  -.508963E-01   1.59883      0.382372      0.433268      0.382479      0.333564      0.671511E-01   0.00000      0.382479    
  0.123155E-02   11.0314      0.757816      0.821521      0.706250      0.873087      0.515664E-01  -.515664E-01   1.57934      0.377672      0.429239      0.377780      0.328578      0.660682E-01   0.00000      0.377780    
  0.127505E-02   10.8777      0.748801      0.811039      0.696564      0.863276      0.522365E-01  -.522365E-01   1.55984      0.372973      0.425209      0.373081      0.323592      0.649853E-01   0.00000      0.373081    
  0.132009E-02   10.7240      0.739786      0.800557      0.686879      0.853464      0.529066E-01  -.529066E-01   1.54034      0.368273      0.421180      0.368382      0.318606      0.639024E-01   0.00000      0.368382    
  0.136672E-02   10.5703      0.730770      0.790076      0.677194      0.843653      0.535767E-01  -.535767E-01   1.52085      0.363574      0.417151      0.363683      0.313620      0.628195E-01   0.00000      0.363683    
  0.141499E-02   10.4166      0.721755      0.779594      0.667508      0.833841      0.542468E-01  -.542468E-01   1.50135      0.358874      0.413121      0.358983      0.308634      0.617365E-01   0.00000      0.358983    
  0.146497E-02   10.2629      0.712740      0.769113      0.657823      0.824030      0.549170E-01  -.549170E-01   1.48185      0.354175      0.409092      0.354284      0.303648      0.606536E-01   0.00000      0.354284    
  0.151672E-02   10.1092      0.703724      0.758631      0.648137      0.814218      0.555871E-01  -.555871E-01   1.46236      0.349476      0.405063      0.349585      0.298662      0.595707E-01   0.00000      0.349585    
  0.157029E-02   9.96126      0.695132      0.748615      0.638847      0.804899      0.562841E-01  -.562841E-01   1.44375      0.344985      0.401269      0.345095      0.293862      0.585356E-01   0.00000      0.345095    
  0.162576E-02   9.82091      0.687091      0.739209      0.630075      0.796225      0.570163E-01  -.570163E-01   1.42630      0.340768      0.397784      0.340878      0.289307      0.575632E-01   0.00000      0.340878    
  0.168318E-02   9.68056      0.679051      0.729802      0.621302      0.787550      0.577486E-01  -.577486E-01   1.40885      0.336551      0.394299      0.336660      0.284752      0.565907E-01   0.00000      0.336660    
  0.174263E-02   9.54021      0.671010      0.720395      0.612530      0.778876      0.584808E-01  -.584808E-01   1.39141      0.332333      0.390814      0.332443      0.280196      0.556182E-01   0.00000      0.332443    
  0.180419E-02   9.39986      0.662970      0.710988      0.603757      0.770201      0.592130E-01  -.592130E-01   1.37396      0.328116      0.387329      0.328226      0.275641      0.546457E-01   0.00000      0.328226    
  0.186791E-02   9.25951      0.654930      0.701581      0.594985      0.761526      0.599452E-01  -.599452E-01   1.35651      0.323899      0.383844      0.324009      0.271086      0.536732E-01   0.00000      0.324009    
  0.193389E-02   9.11916      0.646889      0.692174      0.586212      0.752852      0.606775E-01  -.606775E-01   1.33906      0.319681      0.380359      0.319792      0.266530      0.527007E-01   0.00000      0.319792    
  0.200220E-02   8.97881      0.638849      0.682767      0.577439      0.744177      0.614097E-01  -.614097E-01   1.32162      0.315464      0.376874      0.315575      0.261975      0.517282E-01   0.00000      0.315575    
  0.207292E-02   8.83847      0.630809      0.673361      0.568667      0.735502      0.621419E-01  -.621419E-01   1.30417      0.311247      0.373389      0.311358      0.257420      0.507558E-01   0.00000      0.311358    
  0.214614E-02   8.70991      0.623650      0.664927      0.560715      0.727862      0.629353E-01  -.629353E-01   1.28858      0.307468      0.370403      0.307579      0.253247      0.498801E-01   0.00000      0.307579    
  0.222195E-02   8.58185      0.616529      0.656535      0.552798      0.720266      0.637312E-01  -.637312E-01   1.27306      0.303708      0.367439      0.303818      0.249091      0.490087E-01   0.00000      0.303818    
  0.230043E-02   8.45380      0.609409      0.648142      0.544881      0.712669      0.645271E-01  -.645271E-01   1.25755      0.299947      0.364474      0.300058      0.244934      0.481372E-01   0.00000      0.300058    
  0.238169E-02   8.32575      0.602288      0.639750      0.536965      0.705073      0.653231E-01  -.653231E-01   1.24204      0.296187      0.361510      0.296298      0.240778      0.472657E-01   0.00000      0.296298    
  0.246581E-02   8.19769      0.595167      0.631358      0.529048      0.697477      0.661190E-01  -.661190E-01   1.22652      0.292426      0.358545      0.292537      0.236622      0.463942E-01   0.00000      0.292537    
  0.255291E-02   8.06964      0.588046      0.622966      0.521131      0.689881      0.669150E-01  -.669150E-01   1.21101      0.288666      0.355581      0.288777      0.232465      0.455227E-01   0.00000      0.288777    
  0.264308E-02   7.94158      0.580925      0.614573      0.513214      0.682284      0.677109E-01  -.677109E-01   1.19550      0.284906      0.352616      0.285017      0.228309      0.446512E-01   0.00000      0.285017    
  0.273644E-02   7.81353      0.573804      0.606181      0.505298      0.674688      0.685069E-01  -.685069E-01   1.17999      0.281145      0.349652      0.281256      0.224152      0.437797E-01   0.00000      0.281256    
  0.283310E-02   7.69094      0.567106      0.598257      0.497772      0.667591      0.693334E-01  -.693334E-01   1.16536      0.277597      0.346930      0.277708      0.220176      0.429530E-01   0.00000      0.277708    
  0.293317E-02   7.57416      0.560855      0.590832      0.490663      0.661024      0.701924E-01  -.701924E-01   1.15169      0.274273      0.344466      0.274384      0.216390      0.421740E-01   0.00000      0.274384    
  0.303677E-02   7.45738      0.554605      0.583406      0.483554      0.654458      0.710514E-01  -.710514E-01   1.13801      0.270950      0.342002      0.271061      0.212603      0.413949E-01   0.00000      0.271061    
  0.314404E-02   7.34060      0.548355      0.575981      0.476444      0.647891      0.719104E-01  -.719104E-01   1.12434      0.267627      0.339537      0.267738      0.208817      0.406158E-01   0.00000      0.267738    
  0.325509E-02   7.22382      0.542104      0.568555      0.469335      0.641324      0.727694E-01  -.727694E-01   1.11066      0.264304      0.337073      0.264414      0.205031      0.398367E-01   0.00000      0.264414    
  0.337006E-02   7.10704      0.535854      0.561129      0.462226      0.634758      0.736283E-01  -.736283E-01   1.09698      0.260981      0.334609      0.261091      0.201245      0.390576E-01   0.00000      0.261091    
  0.348910E-02   6.99026      0.529604      0.553704      0.455116      0.628191      0.744873E-01  -.744873E-01   1.08331      0.257657      0.332145      0.257768      0.197459      0.382785E-01   0.00000      0.257768    
  0.361234E-02   6.87348      0.523353      0.546278      0.448007      0.621624      0.753463E-01  -.753463E-01   1.06963      0.254334      0.329680      0.254444      0.193673      0.374994E-01   0.00000      0.254444    
  0.373994E-02   6.75682      0.517112      0.538862      0.440906      0.615068      0.762059E-01  -.762059E-01   1.05597      0.251015      0.327221      0.251126      0.189891      0.367213E-01   0.00000      0.251126    
  0.387204E-02   6.65035      0.511690      0.532369      0.434566      0.609493      0.771243E-01  -.771243E-01   1.04406      0.248116      0.325240      0.248226      0.186450      0.360268E-01   0.00000      0.248226    
  0.400881E-02   6.54389      0.506268      0.525875      0.428225      0.603917      0.780426E-01  -.780426E-01   1.03214      0.245216      0.323259      0.245326      0.183009      0.353324E-01   0.00000      0.245326    
  0.415040E-02   6.43743      0.500846      0.519381      0.421885      0.598342      0.789609E-01  -.789609E-01   1.02023      0.242317      0.321278      0.242426      0.179568      0.346380E-01   0.00000      0.242426    
  0.429700E-02   6.33097      0.495424      0.512888      0.415545      0.592767      0.798792E-01  -.798792E-01   1.00831      0.239417      0.319296      0.239527      0.176128      0.339436E-01   0.00000      0.239527    
  0.444878E-02   6.22451      0.490002      0.506394      0.409205      0.587191      0.807975E-01  -.807975E-01  0.996396      0.236518      0.317315      0.236627      0.172687      0.332492E-01   0.00000      0.236627    
