   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   11.9163      0.812661      0.887191      0.764791      0.935061      0.478701E-01  -.478701E-01   1.69985      0.407251      0.455122      0.407358      0.357540      0.725817E-01   0.00000      0.407358    
  0.103532E-02   11.7498      0.802695      0.875637      0.754214      0.924119      0.484817E-01  -.484817E-01   1.67833      0.402071      0.450553      0.402178      0.352143      0.713884E-01   0.00000      0.402178    
  0.107189E-02   11.5833      0.792730      0.864084      0.743636      0.913177      0.490933E-01  -.490933E-01   1.65681      0.396891      0.445984      0.396998      0.346746      0.701950E-01   0.00000      0.396998    
  0.110975E-02   11.4168      0.782764      0.852530      0.733059      0.902235      0.497050E-01  -.497050E-01   1.63529      0.391711      0.441416      0.391818      0.341349      0.690017E-01   0.00000      0.391818    
  0.114895E-02   11.2503      0.772799      0.840977      0.722482      0.891293      0.503166E-01  -.503166E-01   1.61378      0.386530      0.436847      0.386638      0.335951      0.678084E-01   0.00000      0.386638    
  0.118953E-02   11.0967      0.763762      0.830448      0.712780      0.881430      0.509818E-01  -.509818E-01   1.59421      0.381808      0.432790      0.381916      0.330972      0.667235E-01   0.00000      0.381916    
  0.123155E-02   10.9445      0.754819      0.820023      0.703167      0.871676      0.516525E-01  -.516525E-01   1.57484      0.377133      0.428785      0.377241      0.326034      0.656496E-01   0.00000      0.377241    
  0.127505E-02   10.7923      0.745877      0.809599      0.693554      0.861922      0.523232E-01  -.523232E-01   1.55548      0.372457      0.424781      0.372565      0.321097      0.645757E-01   0.00000      0.372565    
  0.132009E-02   10.6400      0.736935      0.799174      0.683941      0.852168      0.529939E-01  -.529939E-01   1.53611      0.367782      0.420776      0.367890      0.316159      0.635018E-01   0.00000      0.367890    
  0.136672E-02   10.4878      0.727992      0.788749      0.674328      0.842414      0.536646E-01  -.536646E-01   1.51674      0.363106      0.416771      0.363215      0.311222      0.624279E-01   0.00000      0.363215    
  0.141499E-02   10.3356      0.719050      0.778324      0.664715      0.832660      0.543353E-01  -.543353E-01   1.49737      0.358431      0.412766      0.358540      0.306284      0.613540E-01   0.00000      0.358540    
  0.146497E-02   10.1834      0.710108      0.767900      0.655102      0.822906      0.550060E-01  -.550060E-01   1.47801      0.353755      0.408761      0.353864      0.301347      0.602801E-01   0.00000      0.353864    
  0.151672E-02   10.0311      0.701165      0.757475      0.645489      0.813152      0.556767E-01  -.556767E-01   1.45864      0.349080      0.404756      0.349189      0.296409      0.592063E-01   0.00000      0.349189    
  0.157029E-02   9.88464      0.692641      0.747510      0.636266      0.803884      0.563743E-01  -.563743E-01   1.44015      0.344610      0.400985      0.344720      0.291656      0.581797E-01   0.00000      0.344720    
  0.162576E-02   9.74563      0.684662      0.738145      0.627555      0.795252      0.571071E-01  -.571071E-01   1.42281      0.340410      0.397517      0.340520      0.287144      0.572152E-01   0.00000      0.340520    
  0.168318E-02   9.60662      0.676683      0.728781      0.618843      0.786620      0.578398E-01  -.578398E-01   1.40546      0.336210      0.394050      0.336320      0.282633      0.562507E-01   0.00000      0.336320    
  0.174263E-02   9.46760      0.668704      0.719416      0.610131      0.777989      0.585726E-01  -.585726E-01   1.38812      0.332010      0.390583      0.332120      0.278121      0.552861E-01   0.00000      0.332120    
  0.180419E-02   9.32859      0.660725      0.710051      0.601419      0.769357      0.593053E-01  -.593053E-01   1.37078      0.327810      0.387115      0.327920      0.273610      0.543216E-01   0.00000      0.327920    
  0.186791E-02   9.18958      0.652746      0.700687      0.592708      0.760725      0.600381E-01  -.600381E-01   1.35343      0.323610      0.383648      0.323720      0.269098      0.533570E-01   0.00000      0.323720    
  0.193389E-02   9.05056      0.644767      0.691322      0.583996      0.752093      0.607708E-01  -.607708E-01   1.33609      0.319410      0.380180      0.319520      0.264586      0.523925E-01   0.00000      0.319520    
  0.200220E-02   8.91155      0.636788      0.681958      0.575284      0.743461      0.615036E-01  -.615036E-01   1.31875      0.315210      0.376713      0.315320      0.260075      0.514279E-01   0.00000      0.315320    
  0.207292E-02   8.77254      0.628809      0.672593      0.566572      0.734829      0.622364E-01  -.622364E-01   1.30140      0.311009      0.373246      0.311120      0.255563      0.504634E-01   0.00000      0.311120    
  0.214614E-02   8.64519      0.621701      0.664188      0.558671      0.727219      0.630302E-01  -.630302E-01   1.28589      0.307241      0.370272      0.307352      0.251430      0.495948E-01   0.00000      0.307352    
  0.222195E-02   8.51835      0.614631      0.655825      0.550805      0.719651      0.638266E-01  -.638266E-01   1.27046      0.303492      0.367319      0.303603      0.247313      0.487302E-01   0.00000      0.303603    
  0.230043E-02   8.39150      0.607561      0.647461      0.542938      0.712084      0.646230E-01  -.646230E-01   1.25502      0.299742      0.364365      0.299853      0.243196      0.478657E-01   0.00000      0.299853    
  0.238169E-02   8.26465      0.600491      0.639098      0.535071      0.704517      0.654194E-01  -.654194E-01   1.23959      0.295993      0.361412      0.296104      0.239078      0.470011E-01   0.00000      0.296104    
  0.246581E-02   8.13780      0.593420      0.630734      0.527205      0.696950      0.662158E-01  -.662158E-01   1.22415      0.292243      0.358459      0.292354      0.234961      0.461366E-01   0.00000      0.292354    
  0.255291E-02   8.01096      0.586350      0.622371      0.519338      0.689383      0.670121E-01  -.670121E-01   1.20872      0.288494      0.355506      0.288605      0.230844      0.452721E-01   0.00000      0.288605    
  0.264308E-02   7.88411      0.579280      0.614007      0.511471      0.681816      0.678085E-01  -.678085E-01   1.19329      0.284744      0.352553      0.284855      0.226727      0.444075E-01   0.00000      0.284855    
  0.273644E-02   7.75726      0.572210      0.605644      0.503605      0.674249      0.686049E-01  -.686049E-01   1.17785      0.280995      0.349600      0.281106      0.222610      0.435430E-01   0.00000      0.281106    
  0.283310E-02   7.63582      0.565557      0.597743      0.496125      0.667175      0.694319E-01  -.694319E-01   1.16330      0.277455      0.346887      0.277566      0.218670      0.427228E-01   0.00000      0.277566    
  0.293317E-02   7.52013      0.559347      0.590334      0.489056      0.660625      0.702912E-01  -.702912E-01   1.14968      0.274137      0.344428      0.274248      0.214919      0.419498E-01   0.00000      0.274248    
  0.303677E-02   7.40444      0.553138      0.582926      0.481988      0.654076      0.711505E-01  -.711505E-01   1.13606      0.270819      0.341970      0.270930      0.211168      0.411768E-01   0.00000      0.270930    
  0.314404E-02   7.28875      0.546929      0.575517      0.474919      0.647527      0.720098E-01  -.720098E-01   1.12245      0.267501      0.339511      0.267612      0.207418      0.404037E-01   0.00000      0.267612    
  0.325509E-02   7.17306      0.540719      0.568108      0.467850      0.640977      0.728691E-01  -.728691E-01   1.10883      0.264183      0.337053      0.264294      0.203667      0.396307E-01   0.00000      0.264294    
  0.337006E-02   7.05737      0.534510      0.560699      0.460781      0.634428      0.737285E-01  -.737285E-01   1.09521      0.260866      0.334594      0.260976      0.199916      0.388576E-01   0.00000      0.260976    
  0.348910E-02   6.94168      0.528300      0.553291      0.453713      0.627878      0.745878E-01  -.745878E-01   1.08159      0.257548      0.332136      0.257658      0.196165      0.380846E-01   0.00000      0.257658    
  0.361234E-02   6.82599      0.522091      0.545882      0.446644      0.621329      0.754471E-01  -.754471E-01   1.06797      0.254230      0.329677      0.254340      0.192414      0.373116E-01   0.00000      0.254340    
  0.373994E-02   6.71041      0.515890      0.538483      0.439583      0.614790      0.763070E-01  -.763070E-01   1.05437      0.250917      0.327224      0.251027      0.188666      0.365394E-01   0.00000      0.251027    
  0.387204E-02   6.60493      0.510501      0.531997      0.433275      0.609222      0.772255E-01  -.772255E-01   1.04250      0.248018      0.325244      0.248128      0.185257      0.358502E-01   0.00000      0.248128    
  0.400881E-02   6.49945      0.505111      0.525510      0.426967      0.603654      0.781440E-01  -.781440E-01   1.03062      0.245120      0.323264      0.245229      0.181848      0.351610E-01   0.00000      0.245229    
  0.415040E-02   6.39397      0.499722      0.519024      0.420659      0.598086      0.790624E-01  -.790624E-01   1.01875      0.242221      0.321284      0.242331      0.178438      0.344718E-01   0.00000      0.242331    
  0.429700E-02   6.28849      0.494332      0.512537      0.414351      0.592518      0.799809E-01  -.799809E-01   1.00687      0.239323      0.319304      0.239432      0.175029      0.337827E-01   0.00000      0.239432    
  0.444878E-02   6.18302      0.488943      0.506051      0.408043      0.586950      0.808993E-01  -.808993E-01  0.994994      0.236424      0.317324      0.236533      0.171619      0.330935E-01   0.00000      0.236533    
  0.460592E-02   6.07754      0.483553      0.499564      0.401735      0.581382      0.818178E-01  -.818178E-01  0.983118      0.233526      0.315343      0.233634      0.168210      0.324043E-01   0.00000      0.233634    
  0.476861E-02   5.97206      0.478164      0.493078      0.395427      0.575814      0.827362E-01  -.827362E-01  0.971242      0.230627      0.313363      0.230736      0.164800      0.317151E-01   0.00000      0.230736    
  0.493705E-02   5.86658      0.472774      0.486592      0.389119      0.570246      0.836547E-01  -.836547E-01  0.959366      0.227729      0.311383      0.227837      0.161391      0.310259E-01   0.00000      0.227837    
