   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   7.40404      0.106180      0.131739      0.658694E-01  0.172050      0.403109E-01  -.403109E-01  0.237919      0.658694E-01  0.106180      0.658694E-01   0.00000       0.00000       0.00000      0.658694E-01
  0.103532E-02   7.27178      0.107007      0.132336      0.661679E-01  0.173175      0.408392E-01  -.408392E-01  0.239343      0.661679E-01  0.107007      0.661679E-01   0.00000       0.00000       0.00000      0.661679E-01
  0.107189E-02   7.13952      0.107834      0.132933      0.664664E-01  0.174300      0.413675E-01  -.413675E-01  0.240767      0.664664E-01  0.107834      0.664664E-01   0.00000       0.00000       0.00000      0.664664E-01
  0.110975E-02   7.00727      0.108661      0.133530      0.667649E-01  0.175426      0.418958E-01  -.418958E-01  0.242191      0.667649E-01  0.108661      0.667649E-01   0.00000       0.00000       0.00000      0.667649E-01
  0.114895E-02   6.87501      0.109488      0.134127      0.670634E-01  0.176551      0.424241E-01  -.424241E-01  0.243614      0.670634E-01  0.109488      0.670634E-01   0.00000       0.00000       0.00000      0.670634E-01
  0.118953E-02   6.75793      0.110391      0.134774      0.673870E-01  0.177778      0.430037E-01  -.430037E-01  0.245165      0.673870E-01  0.110391      0.673870E-01   0.00000       0.00000       0.00000      0.673870E-01
  0.123155E-02   6.64240      0.111302      0.135427      0.677133E-01  0.179015      0.435884E-01  -.435884E-01  0.246728      0.677133E-01  0.111302      0.677133E-01   0.00000       0.00000       0.00000      0.677133E-01
  0.127505E-02   6.52687      0.112213      0.136079      0.680395E-01  0.180252      0.441732E-01  -.441732E-01  0.248292      0.680395E-01  0.112213      0.680395E-01   0.00000       0.00000       0.00000      0.680395E-01
  0.132009E-02   6.41133      0.113124      0.136731      0.683657E-01  0.181489      0.447579E-01  -.447579E-01  0.249855      0.683657E-01  0.113124      0.683657E-01   0.00000       0.00000       0.00000      0.683657E-01
  0.136672E-02   6.29580      0.114035      0.137384      0.686919E-01  0.182726      0.453427E-01  -.453427E-01  0.251418      0.686919E-01  0.114035      0.686919E-01   0.00000       0.00000       0.00000      0.686919E-01
  0.141499E-02   6.18027      0.114946      0.138036      0.690181E-01  0.183964      0.459275E-01  -.459275E-01  0.252982      0.690181E-01  0.114946      0.690181E-01   0.00000       0.00000       0.00000      0.690181E-01
  0.146497E-02   6.06473      0.115857      0.138689      0.693443E-01  0.185201      0.465122E-01  -.465122E-01  0.254545      0.693443E-01  0.115857      0.693443E-01   0.00000       0.00000       0.00000      0.693443E-01
