   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.41623      0.749969E-01  0.716389E-01  0.358195E-01  0.110816      0.391774E-01  -.391774E-01  0.146636      0.358195E-01  0.749969E-01  0.358195E-01   0.00000       0.00000       0.00000      0.358195E-01
  0.103532E-02   4.38453      0.757981E-01  0.721735E-01  0.360867E-01  0.111885      0.397114E-01  -.397114E-01  0.147972      0.360867E-01  0.757981E-01  0.360867E-01   0.00000       0.00000       0.00000      0.360867E-01
  0.107189E-02   4.35282      0.765994E-01  0.727080E-01  0.363540E-01  0.112953      0.402454E-01  -.402454E-01  0.149307      0.363540E-01  0.765994E-01  0.363540E-01   0.00000       0.00000       0.00000      0.363540E-01
  0.110975E-02   4.32112      0.774007E-01  0.732426E-01  0.366213E-01  0.114022      0.407794E-01  -.407794E-01  0.150643      0.366213E-01  0.774007E-01  0.366213E-01   0.00000       0.00000       0.00000      0.366213E-01
  0.114895E-02   4.28941      0.782020E-01  0.737771E-01  0.368886E-01  0.115091      0.413134E-01  -.413134E-01  0.151979      0.368886E-01  0.782020E-01  0.368886E-01   0.00000       0.00000       0.00000      0.368886E-01
  0.118953E-02   4.25831      0.790861E-01  0.743686E-01  0.371843E-01  0.116270      0.419018E-01  -.419018E-01  0.153455      0.371843E-01  0.790861E-01  0.371843E-01   0.00000       0.00000       0.00000      0.371843E-01
  0.123155E-02   4.22728      0.799787E-01  0.749658E-01  0.374829E-01  0.117462      0.424958E-01  -.424958E-01  0.154945      0.374829E-01  0.799787E-01  0.374829E-01   0.00000       0.00000       0.00000      0.374829E-01
  0.127505E-02   4.19624      0.808713E-01  0.755631E-01  0.377815E-01  0.118653      0.430897E-01  -.430897E-01  0.156434      0.377815E-01  0.808713E-01  0.377815E-01   0.00000       0.00000       0.00000      0.377815E-01
  0.132009E-02   4.16521      0.817639E-01  0.761603E-01  0.380801E-01  0.119844      0.436837E-01  -.436837E-01  0.157924      0.380801E-01  0.817639E-01  0.380801E-01   0.00000       0.00000       0.00000      0.380801E-01
  0.136672E-02   4.13418      0.826564E-01  0.767575E-01  0.383788E-01  0.121035      0.442777E-01  -.442777E-01  0.159414      0.383788E-01  0.826564E-01  0.383788E-01   0.00000       0.00000       0.00000      0.383788E-01
  0.141499E-02   4.10314      0.835490E-01  0.773548E-01  0.386774E-01  0.122226      0.448716E-01  -.448716E-01  0.160904      0.386774E-01  0.835490E-01  0.386774E-01   0.00000       0.00000       0.00000      0.386774E-01
  0.146497E-02   4.07211      0.844416E-01  0.779520E-01  0.389760E-01  0.123418      0.454656E-01  -.454656E-01  0.162394      0.389760E-01  0.844416E-01  0.389760E-01   0.00000       0.00000       0.00000      0.389760E-01
  0.151672E-02   4.04107      0.853342E-01  0.785492E-01  0.392746E-01  0.124609      0.460596E-01  -.460596E-01  0.163883      0.392746E-01  0.853342E-01  0.392746E-01   0.00000       0.00000       0.00000      0.392746E-01
