   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   11.2491      0.770846      0.807864      0.721851      0.856859      0.489952E-01  -.489952E-01   1.57871      0.366869      0.415864      0.366973      0.354982      0.740215E-01   0.00000      0.366973    
  0.103532E-02   11.1265      0.763041      0.798467      0.713446      0.848061      0.495946E-01  -.495946E-01   1.56151      0.362692      0.412286      0.362796      0.350754      0.729790E-01   0.00000      0.362796    
  0.107189E-02   11.0038      0.755235      0.789070      0.705041      0.839264      0.501939E-01  -.501939E-01   1.54430      0.358514      0.408708      0.358619      0.346527      0.719366E-01   0.00000      0.358619    
  0.110975E-02   10.8812      0.747430      0.779673      0.696636      0.830466      0.507933E-01  -.507933E-01   1.52710      0.354337      0.405130      0.354442      0.342300      0.708941E-01   0.00000      0.354442    
  0.114895E-02   10.7586      0.739624      0.770276      0.688232      0.821668      0.513927E-01  -.513927E-01   1.50990      0.350159      0.401552      0.350265      0.338072      0.698516E-01   0.00000      0.350265    
  0.118953E-02   10.6424      0.732292      0.761408      0.680251      0.813449      0.520414E-01  -.520414E-01   1.49370      0.346211      0.398252      0.346317      0.334040      0.688801E-01   0.00000      0.346317    
  0.123155E-02   10.5269      0.725008      0.752593      0.672313      0.805289      0.526953E-01  -.526953E-01   1.47760      0.342286      0.394981      0.342392      0.330027      0.679157E-01   0.00000      0.342392    
  0.127505E-02   10.4114      0.717724      0.743779      0.664375      0.797128      0.533491E-01  -.533491E-01   1.46150      0.338361      0.391710      0.338467      0.326014      0.669513E-01   0.00000      0.338467    
  0.132009E-02   10.2958      0.710440      0.734965      0.656437      0.788967      0.540029E-01  -.540029E-01   1.44540      0.334436      0.388439      0.334542      0.322001      0.659870E-01   0.00000      0.334542    
  0.136672E-02   10.1803      0.703155      0.726150      0.648499      0.780807      0.546567E-01  -.546567E-01   1.42931      0.330511      0.385167      0.330617      0.317988      0.650226E-01   0.00000      0.330617    
