   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.54912      0.400811E-01  0.830610E-03  0.415305E-03  0.404964E-01  0.396658E-01  -.396658E-01  0.409117E-01  0.415305E-03  0.400811E-01  0.415305E-03   0.00000       0.00000       0.00000      0.415305E-03
  0.103532E-02   4.53781      0.406228E-01  0.875153E-03  0.437577E-03  0.410604E-01  0.401852E-01  -.401852E-01  0.414979E-01  0.437577E-03  0.406228E-01  0.437577E-03   0.00000       0.00000       0.00000      0.437577E-03
  0.107189E-02   4.52649      0.411645E-01  0.919696E-03  0.459848E-03  0.416243E-01  0.407046E-01  -.407046E-01  0.420841E-01  0.459848E-03  0.411645E-01  0.459848E-03   0.00000       0.00000       0.00000      0.459848E-03
  0.110975E-02   4.51517      0.417061E-01  0.964239E-03  0.482120E-03  0.421882E-01  0.412240E-01  -.412240E-01  0.426703E-01  0.482120E-03  0.417061E-01  0.482120E-03   0.00000       0.00000       0.00000      0.482120E-03
  0.114895E-02   4.50386      0.422478E-01  0.100878E-02  0.504391E-03  0.427522E-01  0.417434E-01  -.417434E-01  0.432566E-01  0.504391E-03  0.422478E-01  0.504391E-03   0.00000       0.00000       0.00000      0.504391E-03
  0.118953E-02   4.49147      0.428518E-01  0.107706E-02  0.538531E-03  0.433904E-01  0.423133E-01  -.423133E-01  0.439289E-01  0.538531E-03  0.428518E-01  0.538531E-03   0.00000       0.00000       0.00000      0.538531E-03
  0.123155E-02   4.47898      0.434623E-01  0.114776E-02  0.573879E-03  0.440362E-01  0.428884E-01  -.428884E-01  0.446100E-01  0.573879E-03  0.434623E-01  0.573879E-03   0.00000       0.00000       0.00000      0.573879E-03
  0.127505E-02   4.46648      0.440727E-01  0.121845E-02  0.609227E-03  0.446819E-01  0.434635E-01  -.434635E-01  0.452912E-01  0.609227E-03  0.440727E-01  0.609227E-03   0.00000       0.00000       0.00000      0.609227E-03
  0.132009E-02   4.45399      0.446831E-01  0.128915E-02  0.644575E-03  0.453277E-01  0.440386E-01  -.440386E-01  0.459723E-01  0.644575E-03  0.446831E-01  0.644575E-03   0.00000       0.00000       0.00000      0.644575E-03
  0.136672E-02   4.44149      0.452936E-01  0.135985E-02  0.679923E-03  0.459735E-01  0.446136E-01  -.446136E-01  0.466534E-01  0.679923E-03  0.452936E-01  0.679923E-03   0.00000       0.00000       0.00000      0.679923E-03
  0.141499E-02   4.42900      0.459040E-01  0.143054E-02  0.715271E-03  0.466193E-01  0.451887E-01  -.451887E-01  0.473345E-01  0.715271E-03  0.459040E-01  0.715271E-03   0.00000       0.00000       0.00000      0.715271E-03
  0.146497E-02   4.41650      0.465144E-01  0.150124E-02  0.750619E-03  0.472650E-01  0.457638E-01  -.457638E-01  0.480157E-01  0.750619E-03  0.465144E-01  0.750619E-03   0.00000       0.00000       0.00000      0.750619E-03
  0.151672E-02   4.40401      0.471249E-01  0.157193E-02  0.785967E-03  0.479108E-01  0.463389E-01  -.463389E-01  0.486968E-01  0.785967E-03  0.471249E-01  0.785967E-03   0.00000       0.00000       0.00000      0.785967E-03
  0.157029E-02   4.39098      0.477707E-01  0.166051E-02  0.830255E-03  0.486009E-01  0.469404E-01  -.469404E-01  0.494312E-01  0.830255E-03  0.477707E-01  0.830255E-03   0.00000       0.00000       0.00000      0.830255E-03
  0.162576E-02   4.37724      0.484628E-01  0.177246E-02  0.886232E-03  0.493490E-01  0.475765E-01  -.475765E-01  0.502352E-01  0.886232E-03  0.484628E-01  0.886232E-03   0.00000       0.00000       0.00000      0.886232E-03
  0.168318E-02   4.36350      0.491548E-01  0.188442E-02  0.942209E-03  0.500971E-01  0.482126E-01  -.482126E-01  0.510393E-01  0.942209E-03  0.491548E-01  0.942209E-03   0.00000       0.00000       0.00000      0.942209E-03
  0.174263E-02   4.34976      0.498469E-01  0.199637E-02  0.998185E-03  0.508451E-01  0.488487E-01  -.488487E-01  0.518433E-01  0.998185E-03  0.498469E-01  0.998185E-03   0.00000       0.00000       0.00000      0.998185E-03
  0.180419E-02   4.33602      0.505390E-01  0.210832E-02  0.105416E-02  0.515932E-01  0.494849E-01  -.494849E-01  0.526473E-01  0.105416E-02  0.505390E-01  0.105416E-02   0.00000       0.00000       0.00000      0.105416E-02
  0.186791E-02   4.32229      0.512311E-01  0.222028E-02  0.111014E-02  0.523412E-01  0.501210E-01  -.501210E-01  0.534514E-01  0.111014E-02  0.512311E-01  0.111014E-02   0.00000       0.00000       0.00000      0.111014E-02
  0.193389E-02   4.30855      0.519232E-01  0.233223E-02  0.116612E-02  0.530893E-01  0.507571E-01  -.507571E-01  0.542554E-01  0.116612E-02  0.519232E-01  0.116612E-02   0.00000       0.00000       0.00000      0.116612E-02
