   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   7.41647      0.929637E-01  0.118386      0.591928E-01  0.152156      0.337709E-01  -.337709E-01  0.211349      0.591928E-01  0.929637E-01  0.591928E-01   0.00000       0.00000       0.00000      0.591928E-01
  0.103532E-02   7.25352      0.937405E-01  0.118947      0.594734E-01  0.153214      0.342672E-01  -.342672E-01  0.212687      0.594734E-01  0.937405E-01  0.594734E-01   0.00000       0.00000       0.00000      0.594734E-01
  0.107189E-02   7.09058      0.945174E-01  0.119508      0.597540E-01  0.154271      0.347634E-01  -.347634E-01  0.214025      0.597540E-01  0.945174E-01  0.597540E-01   0.00000       0.00000       0.00000      0.597540E-01
  0.110975E-02   6.92763      0.952942E-01  0.120069      0.600346E-01  0.155329      0.352596E-01  -.352596E-01  0.215363      0.600346E-01  0.952942E-01  0.600346E-01   0.00000       0.00000       0.00000      0.600346E-01
  0.114895E-02   6.76469      0.960711E-01  0.120630      0.603152E-01  0.156386      0.357558E-01  -.357558E-01  0.216702      0.603152E-01  0.960711E-01  0.603152E-01   0.00000       0.00000       0.00000      0.603152E-01
  0.118953E-02   6.62645      0.969281E-01  0.121240      0.606199E-01  0.157548      0.363082E-01  -.363082E-01  0.218168      0.606199E-01  0.969281E-01  0.606199E-01   0.00000       0.00000       0.00000      0.606199E-01
  0.123155E-02   6.49072      0.977933E-01  0.121854      0.609270E-01  0.158720      0.368663E-01  -.368663E-01  0.219647      0.609270E-01  0.977933E-01  0.609270E-01   0.00000       0.00000       0.00000      0.609270E-01
  0.127505E-02   6.35500      0.986585E-01  0.122468      0.612341E-01  0.159893      0.374244E-01  -.374244E-01  0.221127      0.612341E-01  0.986585E-01  0.612341E-01   0.00000       0.00000       0.00000      0.612341E-01
  0.132009E-02   6.21927      0.995237E-01  0.123082      0.615411E-01  0.161065      0.379825E-01  -.379825E-01  0.222606      0.615411E-01  0.995237E-01  0.615411E-01   0.00000       0.00000       0.00000      0.615411E-01
  0.136672E-02   6.08355      0.100389      0.123696      0.618482E-01  0.162237      0.385406E-01  -.385406E-01  0.224085      0.618482E-01  0.100389      0.618482E-01   0.00000       0.00000       0.00000      0.618482E-01
  0.141499E-02   5.94782      0.101254      0.124311      0.621553E-01  0.163409      0.390987E-01  -.390987E-01  0.225565      0.621553E-01  0.101254      0.621553E-01   0.00000       0.00000       0.00000      0.621553E-01
  0.146497E-02   5.81210      0.102119      0.124925      0.624624E-01  0.164582      0.396568E-01  -.396568E-01  0.227044      0.624624E-01  0.102119      0.624624E-01   0.00000       0.00000       0.00000      0.624624E-01
