   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.54813      0.726035E-01  0.668320E-01  0.334160E-01  0.106019      0.391875E-01  -.391875E-01  0.139435      0.334160E-01  0.726035E-01  0.334160E-01   0.00000       0.00000       0.00000      0.334160E-01
  0.103532E-02   4.51422      0.734369E-01  0.674306E-01  0.337153E-01  0.107152      0.397216E-01  -.397216E-01  0.140867      0.337153E-01  0.734369E-01  0.337153E-01   0.00000       0.00000       0.00000      0.337153E-01
  0.107189E-02   4.48031      0.742703E-01  0.680293E-01  0.340146E-01  0.108285      0.402556E-01  -.402556E-01  0.142300      0.340146E-01  0.742703E-01  0.340146E-01   0.00000       0.00000       0.00000      0.340146E-01
  0.110975E-02   4.44641      0.751036E-01  0.686279E-01  0.343139E-01  0.109418      0.407897E-01  -.407897E-01  0.143732      0.343139E-01  0.751036E-01  0.343139E-01   0.00000       0.00000       0.00000      0.343139E-01
  0.114895E-02   4.41250      0.759370E-01  0.692265E-01  0.346133E-01  0.110550      0.413238E-01  -.413238E-01  0.145164      0.346133E-01  0.759370E-01  0.346133E-01   0.00000       0.00000       0.00000      0.346133E-01
  0.118953E-02   4.37934      0.768557E-01  0.698868E-01  0.349434E-01  0.111799      0.419123E-01  -.419123E-01  0.146742      0.349434E-01  0.768557E-01  0.349434E-01   0.00000       0.00000       0.00000      0.349434E-01
  0.123155E-02   4.34627      0.777829E-01  0.705533E-01  0.352766E-01  0.113060      0.425063E-01  -.425063E-01  0.148336      0.352766E-01  0.777829E-01  0.352766E-01   0.00000       0.00000       0.00000      0.352766E-01
  0.127505E-02   4.31319      0.787102E-01  0.712198E-01  0.356099E-01  0.114320      0.431003E-01  -.431003E-01  0.149930      0.356099E-01  0.787102E-01  0.356099E-01   0.00000       0.00000       0.00000      0.356099E-01
  0.132009E-02   4.28012      0.796375E-01  0.718863E-01  0.359432E-01  0.115581      0.436943E-01  -.436943E-01  0.151524      0.359432E-01  0.796375E-01  0.359432E-01   0.00000       0.00000       0.00000      0.359432E-01
  0.136672E-02   4.24704      0.805648E-01  0.725528E-01  0.362764E-01  0.116841      0.442884E-01  -.442884E-01  0.153118      0.362764E-01  0.805648E-01  0.362764E-01   0.00000       0.00000       0.00000      0.362764E-01
  0.141499E-02   4.21396      0.814921E-01  0.732194E-01  0.366097E-01  0.118102      0.448824E-01  -.448824E-01  0.154711      0.366097E-01  0.814921E-01  0.366097E-01   0.00000       0.00000       0.00000      0.366097E-01
  0.146497E-02   4.18089      0.824194E-01  0.738859E-01  0.369429E-01  0.119362      0.454764E-01  -.454764E-01  0.156305      0.369429E-01  0.824194E-01  0.369429E-01   0.00000       0.00000       0.00000      0.369429E-01
