   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.54839      0.726031E-01  0.668312E-01  0.334156E-01  0.106019      0.391874E-01  -.391874E-01  0.139434      0.334156E-01  0.726031E-01  0.334156E-01   0.00000       0.00000       0.00000      0.334156E-01
  0.103532E-02   4.51448      0.734365E-01  0.674299E-01  0.337149E-01  0.107151      0.397215E-01  -.397215E-01  0.140866      0.337149E-01  0.734365E-01  0.337149E-01   0.00000       0.00000       0.00000      0.337149E-01
  0.107189E-02   4.48057      0.742699E-01  0.680285E-01  0.340143E-01  0.108284      0.402556E-01  -.402556E-01  0.142298      0.340143E-01  0.742699E-01  0.340143E-01   0.00000       0.00000       0.00000      0.340143E-01
  0.110975E-02   4.44666      0.751032E-01  0.686272E-01  0.343136E-01  0.109417      0.407897E-01  -.407897E-01  0.143730      0.343136E-01  0.751032E-01  0.343136E-01   0.00000       0.00000       0.00000      0.343136E-01
  0.114895E-02   4.41275      0.759366E-01  0.692258E-01  0.346129E-01  0.110550      0.413237E-01  -.413237E-01  0.145162      0.346129E-01  0.759366E-01  0.346129E-01   0.00000       0.00000       0.00000      0.346129E-01
  0.118953E-02   4.37959      0.768552E-01  0.698860E-01  0.349430E-01  0.111798      0.419122E-01  -.419122E-01  0.146741      0.349430E-01  0.768552E-01  0.349430E-01   0.00000       0.00000       0.00000      0.349430E-01
  0.123155E-02   4.34651      0.777825E-01  0.705525E-01  0.352763E-01  0.113059      0.425063E-01  -.425063E-01  0.148335      0.352763E-01  0.777825E-01  0.352763E-01   0.00000       0.00000       0.00000      0.352763E-01
  0.127505E-02   4.31344      0.787098E-01  0.712190E-01  0.356095E-01  0.114319      0.431003E-01  -.431003E-01  0.149929      0.356095E-01  0.787098E-01  0.356095E-01   0.00000       0.00000       0.00000      0.356095E-01
  0.132009E-02   4.28036      0.796371E-01  0.718855E-01  0.359428E-01  0.115580      0.436943E-01  -.436943E-01  0.151523      0.359428E-01  0.796371E-01  0.359428E-01   0.00000       0.00000       0.00000      0.359428E-01
  0.136672E-02   4.24728      0.805644E-01  0.725521E-01  0.362760E-01  0.116840      0.442883E-01  -.442883E-01  0.153116      0.362760E-01  0.805644E-01  0.362760E-01   0.00000       0.00000       0.00000      0.362760E-01
  0.141499E-02   4.21420      0.814916E-01  0.732186E-01  0.366093E-01  0.118101      0.448824E-01  -.448824E-01  0.154710      0.366093E-01  0.814916E-01  0.366093E-01   0.00000       0.00000       0.00000      0.366093E-01
  0.146497E-02   4.18113      0.824189E-01  0.738851E-01  0.369425E-01  0.119361      0.454764E-01  -.454764E-01  0.156304      0.369425E-01  0.824189E-01  0.369425E-01   0.00000       0.00000       0.00000      0.369425E-01
  0.151672E-02   4.14805      0.833462E-01  0.745516E-01  0.372758E-01  0.120622      0.460704E-01  -.460704E-01  0.157898      0.372758E-01  0.833462E-01  0.372758E-01   0.00000       0.00000       0.00000      0.372758E-01
  0.157029E-02   4.11532      0.843182E-01  0.752503E-01  0.376251E-01  0.121943      0.466930E-01  -.466930E-01  0.159568      0.376251E-01  0.843182E-01  0.376251E-01   0.00000       0.00000       0.00000      0.376251E-01
  0.162576E-02   4.08304      0.853486E-01  0.759911E-01  0.379956E-01  0.123344      0.473530E-01  -.473530E-01  0.161340      0.379956E-01  0.853486E-01  0.379956E-01   0.00000       0.00000       0.00000      0.379956E-01
