   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.2875      0.855063      0.958916      0.812662       1.00132      0.424013E-01  -.424013E-01   1.81398      0.443132      0.485533      0.443242      0.369530      0.725425E-01   0.00000      0.443242    
  0.103532E-02   13.0185      0.840549      0.942453      0.797561      0.985440      0.429875E-01  -.429875E-01   1.78300      0.435640      0.478627      0.435750      0.361921      0.710629E-01   0.00000      0.435750    
  0.107189E-02   12.7494      0.826034      0.925989      0.782461      0.969562      0.435736E-01  -.435736E-01   1.75202      0.428148      0.471721      0.428258      0.354313      0.695833E-01   0.00000      0.428258    
  0.110975E-02   12.4804      0.811520      0.909525      0.767360      0.953685      0.441598E-01  -.441598E-01   1.72104      0.420655      0.464815      0.420766      0.346705      0.681037E-01   0.00000      0.420766    
  0.114895E-02   12.2113      0.797006      0.893061      0.752260      0.937807      0.447460E-01  -.447460E-01   1.69007      0.413163      0.457909      0.413274      0.339097      0.666241E-01   0.00000      0.413274    
  0.118953E-02   11.9813      0.784776      0.879090      0.739385      0.924480      0.453904E-01  -.453904E-01   1.66387      0.406813      0.452203      0.406924      0.332573      0.653528E-01   0.00000      0.406924    
  0.123155E-02   11.7552      0.772779      0.865372      0.726738      0.911413      0.460408E-01  -.460408E-01   1.63815      0.400579      0.446620      0.400691      0.326159      0.641027E-01   0.00000      0.400691    
  0.127505E-02   11.5291      0.760781      0.851655      0.714090      0.898346      0.466912E-01  -.466912E-01   1.61244      0.394345      0.441036      0.394457      0.319745      0.628526E-01   0.00000      0.394457    
  0.132009E-02   11.3031      0.748784      0.837937      0.701443      0.885279      0.473415E-01  -.473415E-01   1.58672      0.388111      0.435453      0.388224      0.313332      0.616025E-01   0.00000      0.388224    
  0.136672E-02   11.0770      0.736787      0.824220      0.688795      0.872211      0.479919E-01  -.479919E-01   1.56101      0.381877      0.429869      0.381990      0.306918      0.603524E-01   0.00000      0.381990    
  0.141499E-02   10.8509      0.724789      0.810502      0.676147      0.859144      0.486422E-01  -.486422E-01   1.53529      0.375643      0.424285      0.375757      0.300504      0.591023E-01   0.00000      0.375757    
  0.146497E-02   10.6249      0.712792      0.796784      0.663500      0.846077      0.492926E-01  -.492926E-01   1.50958      0.369409      0.418702      0.369523      0.294090      0.578522E-01   0.00000      0.369523    
  0.151672E-02   10.3988      0.700795      0.783067      0.650852      0.833010      0.499429E-01  -.499429E-01   1.48386      0.363175      0.413118      0.363289      0.287677      0.566020E-01   0.00000      0.363289    
  0.157029E-02   10.1883      0.689718      0.770349      0.639095      0.820972      0.506232E-01  -.506232E-01   1.46007      0.357400      0.408023      0.357514      0.281695      0.554352E-01   0.00000      0.357514    
