   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.2877      0.855070      0.958924      0.812669       1.00132      0.424013E-01  -.424013E-01   1.81399      0.443135      0.485537      0.443245      0.369533      0.725431E-01   0.00000      0.443245    
  0.103532E-02   13.0186      0.840555      0.942460      0.797568      0.985447      0.429875E-01  -.429875E-01   1.78301      0.435643      0.478631      0.435753      0.361925      0.710635E-01   0.00000      0.435753    
  0.107189E-02   12.7496      0.826041      0.925996      0.782467      0.969569      0.435736E-01  -.435736E-01   1.75204      0.428151      0.471724      0.428261      0.354316      0.695838E-01   0.00000      0.428261    
  0.110975E-02   12.4805      0.811526      0.909532      0.767366      0.953692      0.441598E-01  -.441598E-01   1.72106      0.420658      0.464818      0.420769      0.346708      0.681042E-01   0.00000      0.420769    
  0.114895E-02   12.2114      0.797012      0.893068      0.752266      0.937814      0.447460E-01  -.447460E-01   1.69008      0.413166      0.457912      0.413277      0.339100      0.666246E-01   0.00000      0.413277    
  0.118953E-02   11.9814      0.784782      0.879096      0.739391      0.924487      0.453904E-01  -.453904E-01   1.66388      0.406816      0.452206      0.406927      0.332576      0.653533E-01   0.00000      0.406927    
  0.123155E-02   11.7553      0.772784      0.865379      0.726744      0.911419      0.460408E-01  -.460408E-01   1.63816      0.400582      0.446622      0.400694      0.326162      0.641032E-01   0.00000      0.400694    
  0.127505E-02   11.5293      0.760787      0.851661      0.714096      0.898352      0.466912E-01  -.466912E-01   1.61245      0.394348      0.441039      0.394460      0.319748      0.628530E-01   0.00000      0.394460    
  0.132009E-02   11.3032      0.748790      0.837943      0.701448      0.885284      0.473415E-01  -.473415E-01   1.58673      0.388114      0.435455      0.388226      0.313334      0.616029E-01   0.00000      0.388226    
  0.136672E-02   11.0771      0.736792      0.824225      0.688800      0.872217      0.479919E-01  -.479919E-01   1.56102      0.381880      0.429872      0.381993      0.306921      0.603528E-01   0.00000      0.381993    
  0.141499E-02   10.8510      0.724795      0.810507      0.676152      0.859150      0.486422E-01  -.486422E-01   1.53530      0.375646      0.424288      0.375759      0.300507      0.591027E-01   0.00000      0.375759    
  0.146497E-02   10.6250      0.712797      0.796790      0.663505      0.846082      0.492926E-01  -.492926E-01   1.50959      0.369412      0.418704      0.369525      0.294093      0.578526E-01   0.00000      0.369525    
  0.151672E-02   10.3989      0.700800      0.783072      0.650857      0.833015      0.499429E-01  -.499429E-01   1.48387      0.363178      0.413121      0.363292      0.287679      0.566025E-01   0.00000      0.363292    
  0.157029E-02   10.1884      0.689723      0.770354      0.639099      0.820977      0.506232E-01  -.506232E-01   1.46008      0.357402      0.408025      0.357516      0.281698      0.554356E-01   0.00000      0.357516    
  0.162576E-02   9.99819      0.679848      0.758943      0.628506      0.810285      0.513424E-01  -.513424E-01   1.43879      0.352225      0.403568      0.352340      0.276281      0.543776E-01   0.00000      0.352340    
  0.168318E-02   9.80799      0.669974      0.747532      0.617913      0.799593      0.520617E-01  -.520617E-01   1.41751      0.347049      0.399110      0.347163      0.270864      0.533196E-01   0.00000      0.347163    
  0.174263E-02   9.61780      0.660100      0.736120      0.607319      0.788901      0.527810E-01  -.527810E-01   1.39622      0.341872      0.394653      0.341987      0.265447      0.522617E-01   0.00000      0.341987    
  0.180419E-02   9.42760      0.650226      0.724709      0.596726      0.778210      0.535003E-01  -.535003E-01   1.37494      0.336695      0.390195      0.336811      0.260030      0.512037E-01   0.00000      0.336811    
  0.186791E-02   9.23740      0.640352      0.713298      0.586132      0.767518      0.542195E-01  -.542195E-01   1.35365      0.331519      0.385738      0.331634      0.254614      0.501457E-01   0.00000      0.331634    
  0.193389E-02   9.04721      0.630478      0.701887      0.575539      0.756826      0.549388E-01  -.549388E-01   1.33236      0.326342      0.381281      0.326458      0.249197      0.490877E-01   0.00000      0.326458    
  0.200220E-02   8.85701      0.620603      0.690476      0.564945      0.746134      0.556581E-01  -.556581E-01   1.31108      0.321165      0.376823      0.321281      0.243780      0.480297E-01   0.00000      0.321281    
  0.207292E-02   8.66681      0.610729      0.679065      0.554352      0.735443      0.563774E-01  -.563774E-01   1.28979      0.315989      0.372366      0.316105      0.238363      0.469717E-01   0.00000      0.316105    
  0.214614E-02   8.50532      0.602579      0.669520      0.545413      0.726686      0.571664E-01  -.571664E-01   1.27210      0.311668      0.368834      0.311784      0.233745      0.460682E-01   0.00000      0.311784    
  0.222195E-02   8.34504      0.594503      0.660054      0.536544      0.718013      0.579585E-01  -.579585E-01   1.25456      0.307383      0.365342      0.307500      0.229161      0.451712E-01   0.00000      0.307500    
  0.230043E-02   8.18477      0.586426      0.650589      0.527676      0.709339      0.587506E-01  -.587506E-01   1.23701      0.303099      0.361850      0.303216      0.224577      0.442742E-01   0.00000      0.303216    
  0.238169E-02   8.02450      0.578350      0.641123      0.518807      0.700666      0.595426E-01  -.595426E-01   1.21947      0.298815      0.358357      0.298931      0.219992      0.433772E-01   0.00000      0.298931    
  0.246581E-02   7.86422      0.570273      0.631658      0.509938      0.691992      0.603347E-01  -.603347E-01   1.20193      0.294530      0.354865      0.294647      0.215408      0.424802E-01   0.00000      0.294647    
  0.255291E-02   7.70395      0.562196      0.622192      0.501070      0.683319      0.611267E-01  -.611267E-01   1.18439      0.290246      0.351373      0.290363      0.210824      0.415832E-01   0.00000      0.290363    
  0.264308E-02   7.54368      0.554120      0.612726      0.492201      0.674645      0.619188E-01  -.619188E-01   1.16685      0.285961      0.347880      0.286079      0.206240      0.406862E-01   0.00000      0.286079    
  0.273644E-02   7.38340      0.546043      0.603261      0.483333      0.665972      0.627109E-01  -.627109E-01   1.14930      0.281677      0.344388      0.281794      0.201655      0.397892E-01   0.00000      0.281794    
  0.283310E-02   7.23523      0.538708      0.594596      0.475169      0.658135      0.635393E-01  -.635393E-01   1.13330      0.277760      0.341300      0.277878      0.197409      0.389577E-01   0.00000      0.277878    
  0.293317E-02   7.09991      0.532161      0.586782      0.467755      0.651188      0.644064E-01  -.644064E-01   1.11894      0.274234      0.338641      0.274352      0.193521      0.381958E-01   0.00000      0.274352    
  0.303677E-02   6.96459      0.525614      0.578968      0.460341      0.644242      0.652735E-01  -.652735E-01   1.10458      0.270708      0.335982      0.270826      0.189632      0.374338E-01   0.00000      0.270826    
  0.314404E-02   6.82927      0.519067      0.571154      0.452927      0.637295      0.661406E-01  -.661406E-01   1.09022      0.267182      0.333323      0.267300      0.185744      0.366719E-01   0.00000      0.267300    
  0.325509E-02   6.69396      0.512520      0.563340      0.445513      0.630348      0.670077E-01  -.670077E-01   1.07586      0.263656      0.330664      0.263774      0.181856      0.359100E-01   0.00000      0.263774    
  0.337006E-02   6.55864      0.505973      0.555526      0.438098      0.623401      0.678748E-01  -.678748E-01   1.06150      0.260130      0.328005      0.260248      0.177968      0.351480E-01   0.00000      0.260248    
  0.348910E-02   6.42332      0.499426      0.547712      0.430684      0.616454      0.687419E-01  -.687419E-01   1.04714      0.256604      0.325346      0.256722      0.174080      0.343861E-01   0.00000      0.256722    
  0.361234E-02   6.28800      0.492879      0.539898      0.423270      0.609507      0.696090E-01  -.696090E-01   1.03278      0.253078      0.322688      0.253196      0.170192      0.336242E-01   0.00000      0.253196    
  0.373994E-02   6.15290      0.486346      0.532099      0.415869      0.602576      0.704769E-01  -.704769E-01   1.01845      0.249559      0.320036      0.249676      0.166310      0.328634E-01   0.00000      0.249676    
  0.387204E-02   6.03840      0.481107      0.525700      0.409688      0.597119      0.714190E-01  -.714190E-01   1.00681      0.246684      0.318103      0.246801      0.163004      0.322151E-01   0.00000      0.246801    
  0.400881E-02   5.92389      0.475869      0.519300      0.403508      0.591661      0.723611E-01  -.723611E-01  0.995169      0.243808      0.316170      0.243925      0.159699      0.315667E-01   0.00000      0.243925    
  0.415040E-02   5.80939      0.470630      0.512900      0.397327      0.586204      0.733032E-01  -.733032E-01  0.983531      0.240933      0.314236      0.241049      0.156394      0.309183E-01   0.00000      0.241049    
  0.429700E-02   5.69488      0.465392      0.506501      0.391147      0.580746      0.742453E-01  -.742453E-01  0.971893      0.238057      0.312303      0.238174      0.153089      0.302699E-01   0.00000      0.238174    
  0.444878E-02   5.58038      0.460153      0.500101      0.384966      0.575289      0.751874E-01  -.751874E-01  0.960255      0.235182      0.310369      0.235298      0.149784      0.296215E-01   0.00000      0.235298    
  0.460592E-02   5.46587      0.454915      0.493702      0.378785      0.569831      0.761295E-01  -.761295E-01  0.948616      0.232306      0.308436      0.232422      0.146479      0.289731E-01   0.00000      0.232422    
  0.476861E-02   5.35137      0.449676      0.487302      0.372605      0.564374      0.770716E-01  -.770716E-01  0.936978      0.229431      0.306502      0.229546      0.143174      0.283247E-01   0.00000      0.229546    
  0.493705E-02   5.23686      0.444438      0.480902      0.366424      0.558916      0.780137E-01  -.780137E-01  0.925340      0.226555      0.304569      0.226671      0.139869      0.276763E-01   0.00000      0.226671    
  0.511143E-02   5.13167      0.439803      0.475160      0.360809      0.554154      0.789943E-01  -.789943E-01  0.914963      0.223983      0.302977      0.224098      0.136827      0.270792E-01   0.00000      0.224098    
  0.529198E-02   5.03453      0.435691      0.469985      0.355683      0.549993      0.800080E-01  -.800080E-01  0.905676      0.221672      0.301680      0.221787      0.134011      0.265265E-01   0.00000      0.221787    
  0.547890E-02   4.93739      0.431578      0.464810      0.350557      0.545831      0.810217E-01  -.810217E-01  0.896388      0.219361      0.300382      0.219475      0.131196      0.259738E-01   0.00000      0.219475    
  0.567243E-02   4.84025      0.427466      0.459635      0.345431      0.541670      0.820354E-01  -.820354E-01  0.887101      0.217050      0.299085      0.217164      0.128381      0.254211E-01   0.00000      0.217164    
  0.587279E-02   4.74311      0.423353      0.454460      0.340304      0.537509      0.830491E-01  -.830491E-01  0.877813      0.214739      0.297788      0.214853      0.125565      0.248684E-01   0.00000      0.214853    
  0.608022E-02   4.64597      0.419241      0.449285      0.335178      0.533348      0.840628E-01  -.840628E-01  0.868526      0.212428      0.296491      0.212541      0.122750      0.243157E-01   0.00000      0.212541    
  0.629499E-02   4.54883      0.415128      0.444110      0.330052      0.529187      0.850765E-01  -.850765E-01  0.859239      0.210117      0.295194      0.210230      0.119935      0.237630E-01   0.00000      0.210230    
  0.651734E-02   4.45169      0.411016      0.438935      0.324926      0.525025      0.860902E-01  -.860902E-01  0.849951      0.207806      0.293896      0.207919      0.117120      0.232102E-01   0.00000      0.207919    
  0.674754E-02   4.35545      0.406964      0.433827      0.319856      0.520935      0.871079E-01  -.871079E-01  0.840791      0.205526      0.292634      0.205638      0.114330      0.226626E-01   0.00000      0.205638    
  0.698588E-02   4.27281      0.403826      0.429728      0.315640      0.517913      0.881851E-01  -.881851E-01  0.833553      0.203713      0.291898      0.203824      0.111928      0.221908E-01   0.00000      0.203824    
  0.723263E-02   4.19016      0.400687      0.425628      0.311425      0.514890      0.892623E-01  -.892623E-01  0.826315      0.201899      0.291161      0.202010      0.109526      0.217190E-01   0.00000      0.202010    
  0.748810E-02   4.10752      0.397549      0.421529      0.307209      0.511868      0.903395E-01  -.903395E-01  0.819077      0.200085      0.290425      0.200196      0.107124      0.212472E-01   0.00000      0.200196    
  0.775260E-02   4.02488      0.394410      0.417429      0.302993      0.508846      0.914168E-01  -.914168E-01  0.811839      0.198272      0.289689      0.198382      0.104722      0.207755E-01   0.00000      0.198382    
  0.802643E-02   3.94223      0.391272      0.413330      0.298778      0.505824      0.924940E-01  -.924940E-01  0.804601      0.196458      0.288952      0.196568      0.102319      0.203037E-01   0.00000      0.196568    
  0.830994E-02   3.85959      0.388133      0.409230      0.294562      0.502801      0.935712E-01  -.935712E-01  0.797363      0.194645      0.288216      0.194754      0.999174E-01  0.198319E-01   0.00000      0.194754    
  0.860346E-02   3.77694      0.384995      0.405131      0.290346      0.499779      0.946484E-01  -.946484E-01  0.790125      0.192831      0.287479      0.192939      0.975153E-01  0.193601E-01   0.00000      0.192939    
  0.890735E-02   3.69430      0.381856      0.401031      0.286131      0.496757      0.957257E-01  -.957257E-01  0.782887      0.191017      0.286743      0.191125      0.951131E-01  0.188883E-01   0.00000      0.191125    
  0.922198E-02   3.61825      0.379184      0.397455      0.282349      0.494289      0.968349E-01  -.968349E-01  0.776638      0.189447      0.286282      0.189554      0.929019E-01  0.184536E-01   0.00000      0.189554    
  0.954772E-02   3.54682      0.376838      0.394245      0.278871      0.492211      0.979665E-01  -.979665E-01  0.771082      0.188047      0.286013      0.188153      0.908246E-01  0.180447E-01   0.00000      0.188153    
  0.988496E-02   3.47539      0.374492      0.391035      0.275394      0.490133      0.990982E-01  -.990982E-01  0.765527      0.186646      0.285745      0.186753      0.887472E-01  0.176358E-01   0.00000      0.186753    
  0.102341E-01   3.40396      0.372146      0.387825      0.271916      0.488055      0.100230      -.100230      0.759971      0.185246      0.285476      0.185352      0.866698E-01  0.172270E-01   0.00000      0.185352    
  0.105956E-01   3.33253      0.369800      0.384615      0.268438      0.485977      0.101361      -.101361      0.754415      0.183846      0.285208      0.183951      0.845924E-01  0.168181E-01   0.00000      0.183951    
  0.109699E-01   3.26110      0.367454      0.381405      0.264961      0.483899      0.102493      -.102493      0.748859      0.182446      0.284939      0.182550      0.825150E-01  0.164092E-01   0.00000      0.182550    
  0.113573E-01   3.18967      0.365108      0.378196      0.261483      0.481820      0.103625      -.103625      0.743304      0.181046      0.284670      0.181150      0.804376E-01  0.160004E-01   0.00000      0.181150    
  0.117585E-01   3.11824      0.362762      0.374986      0.258006      0.479742      0.104756      -.104756      0.737748      0.179645      0.284402      0.179749      0.783603E-01  0.155915E-01   0.00000      0.179749    
  0.121738E-01   3.04782      0.360488      0.371861      0.254597      0.477751      0.105891      -.105891      0.732349      0.178285      0.284175      0.178387      0.763127E-01  0.151886E-01   0.00000      0.178387    
  0.126038E-01   2.98536      0.358773      0.369397      0.251729      0.476441      0.107044      -.107044      0.728170      0.177231      0.284275      0.177333      0.744974E-01  0.148322E-01   0.00000      0.177333    
  0.130490E-01   2.92289      0.357058      0.366933      0.248860      0.475130      0.108198      -.108198      0.723991      0.176178      0.284376      0.176279      0.726821E-01  0.144758E-01   0.00000      0.176279    
  0.135099E-01   2.86042      0.355343      0.364469      0.245991      0.473820      0.109351      -.109351      0.719811      0.175125      0.284476      0.175225      0.708668E-01  0.141194E-01   0.00000      0.175225    
  0.139871E-01   2.79795      0.353627      0.362005      0.243123      0.472509      0.110505      -.110505      0.715632      0.174071      0.284576      0.174171      0.690515E-01  0.137630E-01   0.00000      0.174171    
  0.144812E-01   2.73951      0.352208      0.359904      0.240545      0.471567      0.111664      -.111664      0.712112      0.173188      0.284851      0.173286      0.673571E-01  0.134303E-01   0.00000      0.173286    
  0.149927E-01   2.68164      0.350831      0.357853      0.238007      0.470677      0.112824      -.112824      0.708684      0.172328      0.285152      0.172425      0.656797E-01  0.131009E-01   0.00000      0.172425    
  0.155223E-01   2.62377      0.349454      0.355803      0.235470      0.469787      0.113984      -.113984      0.705257      0.171468      0.285452      0.171564      0.640023E-01  0.127716E-01   0.00000      0.171564    
  0.160705E-01   2.56591      0.348077      0.353753      0.232932      0.468897      0.115144      -.115144      0.701829      0.170608      0.285752      0.170703      0.623249E-01  0.124422E-01   0.00000      0.170703    
  0.166382E-01   2.51073      0.346899      0.351956      0.230596      0.468259      0.116303      -.116303      0.698854      0.169866      0.286169      0.169960      0.607295E-01  0.121289E-01   0.00000      0.169960    
