   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.41930      0.456825      0.587212      0.407565      0.636471      0.492594E-01  -.492594E-01   1.04404      0.276997      0.326256      0.277084      0.130569      0.331306E-01   0.00000      0.277084    
  0.103532E-02   4.37402      0.454706      0.584843      0.405094      0.634455      0.496121E-01  -.496121E-01   1.03955      0.276023      0.325635      0.276111      0.129071      0.327089E-01   0.00000      0.276111    
  0.107189E-02   4.32874      0.452587      0.582474      0.402622      0.632439      0.499649E-01  -.499649E-01   1.03506      0.275049      0.325014      0.275137      0.127573      0.322873E-01   0.00000      0.275137    
  0.110975E-02   4.28346      0.450468      0.580105      0.400150      0.630423      0.503177E-01  -.503177E-01   1.03057      0.274076      0.324393      0.274164      0.126075      0.318656E-01   0.00000      0.274164    
  0.114895E-02   4.23818      0.448349      0.577737      0.397679      0.628407      0.506704E-01  -.506704E-01   1.02609      0.273102      0.323772      0.273191      0.124577      0.314440E-01   0.00000      0.273191    
  0.118953E-02   4.19514      0.446401      0.575560      0.395360      0.626601      0.510407E-01  -.510407E-01   1.02196      0.272212      0.323252      0.272301      0.123149      0.310483E-01   0.00000      0.272301    
  0.123155E-02   4.15232      0.444470      0.573404      0.393058      0.624817      0.514127E-01  -.514127E-01   1.01787      0.271330      0.322742      0.271419      0.121728      0.306553E-01   0.00000      0.271419    
  0.127505E-02   4.10950      0.442540      0.571247      0.390755      0.623032      0.517848E-01  -.517848E-01   1.01379      0.270448      0.322232      0.270537      0.120307      0.302622E-01   0.00000      0.270537    
  0.132009E-02   4.06669      0.440609      0.569091      0.388452      0.621247      0.521568E-01  -.521568E-01   1.00970      0.269566      0.321722      0.269656      0.118887      0.298692E-01   0.00000      0.269656    
  0.136672E-02   4.02387      0.438678      0.566934      0.386150      0.619463      0.525289E-01  -.525289E-01   1.00561      0.268684      0.321213      0.268774      0.117466      0.294762E-01   0.00000      0.268774    
  0.141499E-02   3.98105      0.436748      0.564777      0.383847      0.617678      0.529009E-01  -.529009E-01   1.00153      0.267802      0.320703      0.267892      0.116045      0.290832E-01   0.00000      0.267892    
  0.146497E-02   3.93824      0.434817      0.562621      0.381544      0.615894      0.532730E-01  -.532730E-01  0.997438      0.266920      0.320193      0.267011      0.114624      0.286902E-01   0.00000      0.267011    
  0.151672E-02   3.89542      0.432886      0.560464      0.379241      0.614109      0.536450E-01  -.536450E-01  0.993351      0.266038      0.319683      0.266129      0.113204      0.282971E-01   0.00000      0.266129    
  0.157029E-02   3.85362      0.431035      0.558395      0.377009      0.612420      0.540258E-01  -.540258E-01  0.989430      0.265194      0.319219      0.265285      0.111816      0.279159E-01   0.00000      0.265285    
  0.162576E-02   3.81315      0.429287      0.556440      0.374869      0.610857      0.544178E-01  -.544178E-01  0.985726      0.264399      0.318817      0.264491      0.110470      0.275502E-01   0.00000      0.264491    
  0.168318E-02   3.77268      0.427538      0.554485      0.372728      0.609294      0.548099E-01  -.548099E-01  0.982023      0.263604      0.318414      0.263696      0.109124      0.271844E-01   0.00000      0.263696    
  0.174263E-02   3.73220      0.425790      0.552529      0.370588      0.607731      0.552020E-01  -.552020E-01  0.978319      0.262809      0.318011      0.262902      0.107779      0.268186E-01   0.00000      0.262902    
