   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.86435      0.173576E-01  0.211995E-01  0.105998E-01  0.279574E-01  0.675787E-02  -.675787E-02  0.385572E-01  0.105998E-01  0.173576E-01  0.105998E-01   0.00000       0.00000       0.00000      0.105998E-01
  0.103532E-02   4.80344      0.178021E-01  0.217324E-01  0.108662E-01  0.286683E-01  0.693590E-02  -.693590E-02  0.395345E-01  0.108662E-01  0.178021E-01  0.108662E-01   0.00000       0.00000       0.00000      0.108662E-01
  0.107189E-02   4.74253      0.182466E-01  0.222653E-01  0.111327E-01  0.293793E-01  0.711394E-02  -.711394E-02  0.405119E-01  0.111327E-01  0.182466E-01  0.111327E-01   0.00000       0.00000       0.00000      0.111327E-01
  0.110975E-02   4.68163      0.186911E-01  0.227982E-01  0.113991E-01  0.300902E-01  0.729198E-02  -.729198E-02  0.414893E-01  0.113991E-01  0.186911E-01  0.113991E-01   0.00000       0.00000       0.00000      0.113991E-01
  0.114895E-02   4.62072      0.191356E-01  0.233311E-01  0.116655E-01  0.308011E-01  0.747001E-02  -.747001E-02  0.424666E-01  0.116655E-01  0.191356E-01  0.116655E-01   0.00000       0.00000       0.00000      0.116655E-01
  0.118953E-02   4.56525      0.196773E-01  0.239772E-01  0.119886E-01  0.316659E-01  0.768874E-02  -.768874E-02  0.436545E-01  0.119886E-01  0.196773E-01  0.119886E-01   0.00000       0.00000       0.00000      0.119886E-01
  0.123155E-02   4.51033      0.202290E-01  0.246348E-01  0.123174E-01  0.325464E-01  0.791160E-02  -.791160E-02  0.448638E-01  0.123174E-01  0.202290E-01  0.123174E-01   0.00000       0.00000       0.00000      0.123174E-01
  0.127505E-02   4.45541      0.207807E-01  0.252924E-01  0.126462E-01  0.334269E-01  0.813447E-02  -.813447E-02  0.460731E-01  0.126462E-01  0.207807E-01  0.126462E-01   0.00000       0.00000       0.00000      0.126462E-01
  0.132009E-02   4.40049      0.213324E-01  0.259501E-01  0.129750E-01  0.343074E-01  0.835733E-02  -.835733E-02  0.472824E-01  0.129750E-01  0.213324E-01  0.129750E-01   0.00000       0.00000       0.00000      0.129750E-01
  0.136672E-02   4.34557      0.218840E-01  0.266077E-01  0.133038E-01  0.351879E-01  0.858019E-02  -.858019E-02  0.484917E-01  0.133038E-01  0.218840E-01  0.133038E-01   0.00000       0.00000       0.00000      0.133038E-01
  0.141499E-02   4.29065      0.224357E-01  0.272653E-01  0.136327E-01  0.360684E-01  0.880306E-02  -.880306E-02  0.497010E-01  0.136327E-01  0.224357E-01  0.136327E-01   0.00000       0.00000       0.00000      0.136327E-01
  0.146497E-02   4.23573      0.229874E-01  0.279229E-01  0.139615E-01  0.369489E-01  0.902592E-02  -.902592E-02  0.509103E-01  0.139615E-01  0.229874E-01  0.139615E-01   0.00000       0.00000       0.00000      0.139615E-01
  0.151672E-02   4.18081      0.235391E-01  0.285806E-01  0.142903E-01  0.378293E-01  0.924879E-02  -.924879E-02  0.521196E-01  0.142903E-01  0.235391E-01  0.142903E-01   0.00000       0.00000       0.00000      0.142903E-01
  0.157029E-02   4.12822      0.241480E-01  0.293041E-01  0.146520E-01  0.388000E-01  0.949594E-02  -.949594E-02  0.534521E-01  0.146520E-01  0.241480E-01  0.146520E-01   0.00000       0.00000       0.00000      0.146520E-01
  0.162576E-02   4.07867      0.248317E-01  0.301138E-01  0.150569E-01  0.398886E-01  0.977484E-02  -.977484E-02  0.549455E-01  0.150569E-01  0.248317E-01  0.150569E-01   0.00000       0.00000       0.00000      0.150569E-01
  0.168318E-02   4.02912      0.255155E-01  0.309235E-01  0.154617E-01  0.409772E-01  0.100537E-01  -.100537E-01  0.564389E-01  0.154617E-01  0.255155E-01  0.154617E-01   0.00000       0.00000       0.00000      0.154617E-01
