   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.31106      0.211843E-01  0.267159E-01  0.133580E-01  0.345423E-01  0.782635E-02  -.782635E-02  0.479002E-01  0.133580E-01  0.211843E-01  0.133580E-01   0.00000       0.00000       0.00000      0.133580E-01
  0.103532E-02   5.23517      0.216926E-01  0.273366E-01  0.136683E-01  0.353610E-01  0.802433E-02  -.802433E-02  0.490293E-01  0.136683E-01  0.216926E-01  0.136683E-01   0.00000       0.00000       0.00000      0.136683E-01
  0.107189E-02   5.15928      0.222010E-01  0.279573E-01  0.139787E-01  0.361796E-01  0.822232E-02  -.822232E-02  0.501583E-01  0.139787E-01  0.222010E-01  0.139787E-01   0.00000       0.00000       0.00000      0.139787E-01
  0.110975E-02   5.08339      0.227093E-01  0.285780E-01  0.142890E-01  0.369983E-01  0.842030E-02  -.842030E-02  0.512873E-01  0.142890E-01  0.227093E-01  0.142890E-01   0.00000       0.00000       0.00000      0.142890E-01
  0.114895E-02   5.00750      0.232176E-01  0.291987E-01  0.145993E-01  0.378170E-01  0.861829E-02  -.861829E-02  0.524163E-01  0.145993E-01  0.232176E-01  0.145993E-01   0.00000       0.00000       0.00000      0.145993E-01
  0.118953E-02   4.93937      0.238293E-01  0.299397E-01  0.149698E-01  0.387992E-01  0.885948E-02  -.885948E-02  0.537690E-01  0.149698E-01  0.238293E-01  0.149698E-01   0.00000       0.00000       0.00000      0.149698E-01
  0.123155E-02   4.87204      0.244515E-01  0.306929E-01  0.153465E-01  0.397980E-01  0.910508E-02  -.910508E-02  0.551445E-01  0.153465E-01  0.244515E-01  0.153465E-01   0.00000       0.00000       0.00000      0.153465E-01
  0.127505E-02   4.80470      0.250738E-01  0.314462E-01  0.157231E-01  0.407968E-01  0.935068E-02  -.935068E-02  0.565199E-01  0.157231E-01  0.250738E-01  0.157231E-01   0.00000       0.00000       0.00000      0.157231E-01
  0.132009E-02   4.73737      0.256960E-01  0.321994E-01  0.160997E-01  0.417957E-01  0.959627E-02  -.959627E-02  0.578954E-01  0.160997E-01  0.256960E-01  0.160997E-01   0.00000       0.00000       0.00000      0.160997E-01
  0.136672E-02   4.67003      0.263182E-01  0.329527E-01  0.164763E-01  0.427945E-01  0.984187E-02  -.984187E-02  0.592709E-01  0.164763E-01  0.263182E-01  0.164763E-01   0.00000       0.00000       0.00000      0.164763E-01
  0.141499E-02   4.60269      0.269404E-01  0.337059E-01  0.168530E-01  0.437934E-01  0.100875E-01  -.100875E-01  0.606463E-01  0.168530E-01  0.269404E-01  0.168530E-01   0.00000       0.00000       0.00000      0.168530E-01
  0.146497E-02   4.53536      0.275626E-01  0.344592E-01  0.172296E-01  0.447922E-01  0.103331E-01  -.103331E-01  0.620218E-01  0.172296E-01  0.275626E-01  0.172296E-01   0.00000       0.00000       0.00000      0.172296E-01
  0.151672E-02   4.46802      0.281849E-01  0.352124E-01  0.176062E-01  0.457911E-01  0.105787E-01  -.105787E-01  0.633973E-01  0.176062E-01  0.281849E-01  0.176062E-01   0.00000       0.00000       0.00000      0.176062E-01
  0.157029E-02   4.40397      0.288670E-01  0.360344E-01  0.180172E-01  0.468842E-01  0.108498E-01  -.108498E-01  0.649014E-01  0.180172E-01  0.288670E-01  0.180172E-01   0.00000       0.00000       0.00000      0.180172E-01
  0.162576E-02   4.34421      0.296275E-01  0.369463E-01  0.184732E-01  0.481007E-01  0.111544E-01  -.111544E-01  0.665739E-01  0.184732E-01  0.296275E-01  0.184732E-01   0.00000       0.00000       0.00000      0.184732E-01
  0.168318E-02   4.28445      0.303881E-01  0.378582E-01  0.189291E-01  0.493172E-01  0.114590E-01  -.114590E-01  0.682463E-01  0.189291E-01  0.303881E-01  0.189291E-01   0.00000       0.00000       0.00000      0.189291E-01
  0.174263E-02   4.22468      0.311486E-01  0.387701E-01  0.193850E-01  0.505336E-01  0.117636E-01  -.117636E-01  0.699187E-01  0.193850E-01  0.311486E-01  0.193850E-01   0.00000       0.00000       0.00000      0.193850E-01
  0.180419E-02   4.16492      0.319091E-01  0.396820E-01  0.198410E-01  0.517501E-01  0.120681E-01  -.120681E-01  0.715911E-01  0.198410E-01  0.319091E-01  0.198410E-01   0.00000       0.00000       0.00000      0.198410E-01
  0.186791E-02   4.10516      0.326696E-01  0.405939E-01  0.202969E-01  0.529666E-01  0.123727E-01  -.123727E-01  0.732635E-01  0.202969E-01  0.326696E-01  0.202969E-01   0.00000       0.00000       0.00000      0.202969E-01
  0.193389E-02   4.04539      0.334302E-01  0.415058E-01  0.207529E-01  0.541831E-01  0.126773E-01  -.126773E-01  0.749359E-01  0.207529E-01  0.334302E-01  0.207529E-01   0.00000       0.00000       0.00000      0.207529E-01
  0.200220E-02   3.98563      0.341907E-01  0.424177E-01  0.212088E-01  0.553995E-01  0.129819E-01  -.129819E-01  0.766084E-01  0.212088E-01  0.341907E-01  0.212088E-01   0.00000       0.00000       0.00000      0.212088E-01
  0.207292E-02   3.92587      0.349512E-01  0.433296E-01  0.216648E-01  0.566160E-01  0.132864E-01  -.132864E-01  0.782808E-01  0.216648E-01  0.349512E-01  0.216648E-01   0.00000       0.00000       0.00000      0.216648E-01
  0.214614E-02   3.87253      0.358721E-01  0.444222E-01  0.222111E-01  0.580832E-01  0.136611E-01  -.136611E-01  0.802943E-01  0.222111E-01  0.358721E-01  0.222111E-01   0.00000       0.00000       0.00000      0.222111E-01
  0.222195E-02   3.81947      0.367999E-01  0.455225E-01  0.227612E-01  0.595611E-01  0.140386E-01  -.140386E-01  0.823223E-01  0.227612E-01  0.367999E-01  0.227612E-01   0.00000       0.00000       0.00000      0.227612E-01
  0.230043E-02   3.76641      0.377276E-01  0.466228E-01  0.233114E-01  0.610390E-01  0.144162E-01  -.144162E-01  0.843504E-01  0.233114E-01  0.377276E-01  0.233114E-01   0.00000       0.00000       0.00000      0.233114E-01
  0.238169E-02   3.71335      0.386554E-01  0.477231E-01  0.238615E-01  0.625169E-01  0.147938E-01  -.147938E-01  0.863784E-01  0.238615E-01  0.386554E-01  0.238615E-01   0.00000       0.00000       0.00000      0.238615E-01
  0.246581E-02   3.66028      0.395831E-01  0.488234E-01  0.244117E-01  0.639948E-01  0.151714E-01  -.151714E-01  0.884065E-01  0.244117E-01  0.395831E-01  0.244117E-01   0.00000       0.00000       0.00000      0.244117E-01
  0.255291E-02   3.60722      0.405109E-01  0.499237E-01  0.249618E-01  0.654727E-01  0.155490E-01  -.155490E-01  0.904346E-01  0.249618E-01  0.405109E-01  0.249618E-01   0.00000       0.00000       0.00000      0.249618E-01
  0.264308E-02   3.55416      0.414386E-01  0.510240E-01  0.255120E-01  0.669506E-01  0.159266E-01  -.159266E-01  0.924626E-01  0.255120E-01  0.414386E-01  0.255120E-01   0.00000       0.00000       0.00000      0.255120E-01
  0.273644E-02   3.50110      0.423663E-01  0.521243E-01  0.260622E-01  0.684285E-01  0.163042E-01  -.163042E-01  0.944907E-01  0.260622E-01  0.423663E-01  0.260622E-01   0.00000       0.00000       0.00000      0.260622E-01
  0.283310E-02   3.45091      0.433916E-01  0.533320E-01  0.266660E-01  0.700575E-01  0.167256E-01  -.167256E-01  0.967235E-01  0.266660E-01  0.433916E-01  0.266660E-01   0.00000       0.00000       0.00000      0.266660E-01
  0.293317E-02   3.40377      0.445203E-01  0.546537E-01  0.273268E-01  0.718471E-01  0.171934E-01  -.171934E-01  0.991740E-01  0.273268E-01  0.445203E-01  0.273268E-01   0.00000       0.00000       0.00000      0.273268E-01
  0.303677E-02   3.35663      0.456490E-01  0.559754E-01  0.279877E-01  0.736367E-01  0.176613E-01  -.176613E-01  0.101624      0.279877E-01  0.456490E-01  0.279877E-01   0.00000       0.00000       0.00000      0.279877E-01
  0.314404E-02   3.30949      0.467778E-01  0.572971E-01  0.286485E-01  0.754263E-01  0.181292E-01  -.181292E-01  0.104075      0.286485E-01  0.467778E-01  0.286485E-01   0.00000       0.00000       0.00000      0.286485E-01
  0.325509E-02   3.26235      0.479065E-01  0.586188E-01  0.293094E-01  0.772159E-01  0.185971E-01  -.185971E-01  0.106525      0.293094E-01  0.479065E-01  0.293094E-01   0.00000       0.00000       0.00000      0.293094E-01
