   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.3229      0.834749      0.927630      0.820848      0.941530      0.139005E-01  -.139005E-01   1.76238      0.423384      0.437284      0.423504      0.397464      0.807421E-01   0.00000      0.423504    
  0.103532E-02   13.1195      0.822704      0.914122      0.808482      0.928344      0.142217E-01  -.142217E-01   1.73683      0.417307      0.431528      0.417428      0.391175      0.793879E-01   0.00000      0.417428    
  0.107189E-02   12.9162      0.810659      0.900615      0.796116      0.915157      0.145429E-01  -.145429E-01   1.71127      0.411230      0.425772      0.411351      0.384886      0.780336E-01   0.00000      0.411351    
  0.110975E-02   12.7128      0.798614      0.887107      0.783750      0.901971      0.148640E-01  -.148640E-01   1.68572      0.405152      0.420016      0.405275      0.378597      0.766794E-01   0.00000      0.405275    
  0.114895E-02   12.5095      0.786569      0.873599      0.771383      0.888785      0.151852E-01  -.151852E-01   1.66017      0.399075      0.414260      0.399199      0.372308      0.753252E-01   0.00000      0.399199    
  0.118953E-02   12.3265      0.775898      0.861621      0.760329      0.877189      0.155683E-01  -.155683E-01   1.63752      0.393692      0.409260      0.393817      0.366638      0.741124E-01   0.00000      0.393817    
  0.123155E-02   12.1456      0.765366      0.849797      0.749409      0.865755      0.159576E-01  -.159576E-01   1.61516      0.388379      0.404336      0.388505      0.361030      0.729140E-01   0.00000      0.388505    
  0.127505E-02   11.9647      0.754835      0.837974      0.738488      0.854321      0.163469E-01  -.163469E-01   1.59281      0.383066      0.399413      0.383193      0.355422      0.717157E-01   0.00000      0.383193    
  0.132009E-02   11.7838      0.744304      0.826151      0.727567      0.842887      0.167363E-01  -.167363E-01   1.57045      0.377753      0.394489      0.377881      0.349815      0.705173E-01   0.00000      0.377881    
  0.136672E-02   11.6029      0.733772      0.814328      0.716647      0.831453      0.171256E-01  -.171256E-01   1.54810      0.372440      0.389565      0.372569      0.344207      0.693189E-01   0.00000      0.372569    
  0.141499E-02   11.4220      0.723241      0.802504      0.705726      0.820019      0.175150E-01  -.175150E-01   1.52575      0.367127      0.384642      0.367257      0.338599      0.681206E-01   0.00000      0.367257    
  0.146497E-02   11.2411      0.712710      0.790681      0.694805      0.808585      0.179043E-01  -.179043E-01   1.50339      0.361814      0.379718      0.361945      0.332991      0.669222E-01   0.00000      0.361945    
