   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.3280      0.845134      0.921583      0.799459      0.967257      0.456747E-01  -.456747E-01   1.76672      0.423607      0.469281      0.423714      0.375852      0.742623E-01   0.00000      0.423714    
  0.103532E-02   13.0717      0.831372      0.906114      0.785076      0.952410      0.462962E-01  -.462962E-01   1.73749      0.416602      0.462898      0.416709      0.368475      0.728031E-01   0.00000      0.416709    
  0.107189E-02   12.8154      0.817611      0.890645      0.770694      0.937563      0.469177E-01  -.469177E-01   1.70826      0.409596      0.456514      0.409705      0.361097      0.713440E-01   0.00000      0.409705    
  0.110975E-02   12.5591      0.803850      0.875176      0.756311      0.922716      0.475393E-01  -.475393E-01   1.67903      0.402591      0.450131      0.402700      0.353719      0.698848E-01   0.00000      0.402700    
  0.114895E-02   12.3028      0.790089      0.859707      0.741928      0.907868      0.481608E-01  -.481608E-01   1.64980      0.395586      0.443747      0.395695      0.346342      0.684256E-01   0.00000      0.395695    
  0.118953E-02   12.0816      0.778415      0.846595      0.729615      0.895395      0.488000E-01  -.488000E-01   1.62501      0.389662      0.438462      0.389772      0.339953      0.671612E-01   0.00000      0.389772    
  0.123155E-02   11.8640      0.766954      0.833722      0.717513      0.883163      0.494410E-01  -.494410E-01   1.60068      0.383848      0.433289      0.383958      0.333666      0.659165E-01   0.00000      0.383958    
  0.127505E-02   11.6464      0.755493      0.820849      0.705411      0.870931      0.500820E-01  -.500820E-01   1.57634      0.378033      0.428115      0.378144      0.327378      0.646719E-01   0.00000      0.378144    
  0.132009E-02   11.4288      0.744032      0.807976      0.693309      0.858699      0.507231E-01  -.507231E-01   1.55201      0.372219      0.422942      0.372330      0.321090      0.634272E-01   0.00000      0.372330    
  0.136672E-02   11.2111      0.732571      0.795103      0.681207      0.846467      0.513641E-01  -.513641E-01   1.52767      0.366405      0.417769      0.366516      0.314802      0.621826E-01   0.00000      0.366516    
  0.141499E-02   10.9935      0.721110      0.782230      0.669105      0.834235      0.520051E-01  -.520051E-01   1.50334      0.360590      0.412595      0.360702      0.308515      0.609379E-01   0.00000      0.360702    
  0.146497E-02   10.7759      0.709649      0.769357      0.657003      0.822003      0.526461E-01  -.526461E-01   1.47901      0.354776      0.407422      0.354888      0.302227      0.596933E-01   0.00000      0.354888    
