   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.8199      0.875004      0.952468      0.827096       1.00038      0.479078E-01  -.479078E-01   1.82747      0.437912      0.485819      0.438018      0.389185      0.765386E-01   0.00000      0.438018    
  0.103532E-02   13.5521      0.860603      0.936290      0.812066      0.984826      0.485363E-01  -.485363E-01   1.79689      0.430581      0.479117      0.430687      0.381486      0.750216E-01   0.00000      0.430687    
  0.107189E-02   13.2844      0.846202      0.920112      0.797037      0.969276      0.491648E-01  -.491648E-01   1.76631      0.423250      0.472415      0.423357      0.373787      0.735046E-01   0.00000      0.423357    
  0.110975E-02   13.0166      0.831800      0.903934      0.782007      0.953727      0.497932E-01  -.497932E-01   1.73573      0.415919      0.465712      0.416027      0.366088      0.719876E-01   0.00000      0.416027    
  0.114895E-02   12.7489      0.817399      0.887755      0.766977      0.938177      0.504217E-01  -.504217E-01   1.70515      0.408588      0.459010      0.408696      0.358389      0.704707E-01   0.00000      0.408696    
  0.118953E-02   12.5179      0.805180      0.874044      0.754117      0.925106      0.510628E-01  -.510628E-01   1.67922      0.402389      0.453452      0.402497      0.351728      0.691575E-01   0.00000      0.402497    
  0.123155E-02   12.2907      0.793183      0.860583      0.741478      0.912288      0.517052E-01  -.517052E-01   1.65377      0.396304      0.448010      0.396413      0.345173      0.678651E-01   0.00000      0.396413    
  0.127505E-02   12.0635      0.781186      0.847122      0.728838      0.899469      0.523475E-01  -.523475E-01   1.62831      0.390220      0.442568      0.390329      0.338618      0.665727E-01   0.00000      0.390329    
  0.132009E-02   11.8363      0.769189      0.833661      0.716199      0.886651      0.529899E-01  -.529899E-01   1.60285      0.384136      0.437126      0.384245      0.332063      0.652803E-01   0.00000      0.384245    
  0.136672E-02   11.6091      0.757192      0.820200      0.703559      0.873832      0.536323E-01  -.536323E-01   1.57739      0.378051      0.431684      0.378161      0.325508      0.639880E-01   0.00000      0.378161    
  0.141499E-02   11.3819      0.745194      0.806739      0.690920      0.861014      0.542746E-01  -.542746E-01   1.55193      0.371967      0.426241      0.372077      0.318953      0.626956E-01   0.00000      0.372077    
  0.146497E-02   11.1547      0.733197      0.793278      0.678280      0.848196      0.549170E-01  -.549170E-01   1.52648      0.365882      0.420799      0.365993      0.312398      0.614032E-01   0.00000      0.365993    
  0.151672E-02   10.9275      0.721200      0.779818      0.665641      0.835377      0.555594E-01  -.555594E-01   1.50102      0.359798      0.415357      0.359909      0.305843      0.601108E-01   0.00000      0.359909    
  0.157029E-02   10.7151      0.710096      0.767365      0.653883      0.823578      0.562130E-01  -.562130E-01   1.47746      0.354177      0.410390      0.354288      0.299706      0.589007E-01   0.00000      0.354288    
  0.162576E-02   10.5221      0.700158      0.756232      0.643277      0.813113      0.568812E-01  -.568812E-01   1.45639      0.349161      0.406042      0.349273      0.294116      0.577982E-01   0.00000      0.349273    
