   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   7.31556      0.643224E-01  0.582414E-01  0.291207E-01  0.934431E-01  0.352017E-01  -.352017E-01  0.122564      0.291207E-01  0.643224E-01  0.291207E-01   0.00000       0.00000       0.00000      0.291207E-01
  0.103532E-02   7.16510      0.653637E-01  0.591801E-01  0.295900E-01  0.949538E-01  0.357737E-01  -.357737E-01  0.124544      0.295900E-01  0.653637E-01  0.295900E-01   0.00000       0.00000       0.00000      0.295900E-01
  0.107189E-02   7.01464      0.664051E-01  0.601188E-01  0.300594E-01  0.964645E-01  0.363457E-01  -.363457E-01  0.126524      0.300594E-01  0.664051E-01  0.300594E-01   0.00000       0.00000       0.00000      0.300594E-01
  0.110975E-02   6.86419      0.674464E-01  0.610575E-01  0.305288E-01  0.979752E-01  0.369176E-01  -.369176E-01  0.128504      0.305288E-01  0.674464E-01  0.305288E-01   0.00000       0.00000       0.00000      0.305288E-01
  0.114895E-02   6.71373      0.684878E-01  0.619963E-01  0.309981E-01  0.994859E-01  0.374896E-01  -.374896E-01  0.130484      0.309981E-01  0.684878E-01  0.309981E-01   0.00000       0.00000       0.00000      0.309981E-01
  0.118953E-02   6.58484      0.696037E-01  0.630576E-01  0.315288E-01  0.101132      0.380749E-01  -.380749E-01  0.132661      0.315288E-01  0.696037E-01  0.315288E-01   0.00000       0.00000       0.00000      0.315288E-01
  0.123155E-02   6.45815      0.707273E-01  0.641314E-01  0.320657E-01  0.102793      0.386616E-01  -.386616E-01  0.134859      0.320657E-01  0.707273E-01  0.320657E-01   0.00000       0.00000       0.00000      0.320657E-01
  0.127505E-02   6.33145      0.718508E-01  0.652051E-01  0.326026E-01  0.104453      0.392482E-01  -.392482E-01  0.137056      0.326026E-01  0.718508E-01  0.326026E-01   0.00000       0.00000       0.00000      0.326026E-01
  0.132009E-02   6.20476      0.729744E-01  0.662789E-01  0.331395E-01  0.106114      0.398349E-01  -.398349E-01  0.139253      0.331395E-01  0.729744E-01  0.331395E-01   0.00000       0.00000       0.00000      0.331395E-01
  0.136672E-02   6.07807      0.740979E-01  0.673527E-01  0.336764E-01  0.107774      0.404215E-01  -.404215E-01  0.141451      0.336764E-01  0.740979E-01  0.336764E-01   0.00000       0.00000       0.00000      0.336764E-01
  0.141499E-02   5.95137      0.752215E-01  0.684265E-01  0.342133E-01  0.109435      0.410082E-01  -.410082E-01  0.143648      0.342133E-01  0.752215E-01  0.342133E-01   0.00000       0.00000       0.00000      0.342133E-01
  0.146497E-02   5.82468      0.763450E-01  0.695003E-01  0.347502E-01  0.111095      0.415948E-01  -.415948E-01  0.145845      0.347502E-01  0.763450E-01  0.347502E-01   0.00000       0.00000       0.00000      0.347502E-01
  0.151672E-02   5.69799      0.774685E-01  0.705741E-01  0.352870E-01  0.112756      0.421815E-01  -.421815E-01  0.148043      0.352870E-01  0.774685E-01  0.352870E-01   0.00000       0.00000       0.00000      0.352870E-01
  0.157029E-02   5.57995      0.786394E-01  0.717141E-01  0.358571E-01  0.114496      0.427823E-01  -.427823E-01  0.150353      0.358571E-01  0.786394E-01  0.358571E-01   0.00000       0.00000       0.00000      0.358571E-01
  0.162576E-02   5.47323      0.798720E-01  0.729407E-01  0.364704E-01  0.116342      0.434016E-01  -.434016E-01  0.152813      0.364704E-01  0.798720E-01  0.364704E-01   0.00000       0.00000       0.00000      0.364704E-01
  0.168318E-02   5.36651      0.811046E-01  0.741673E-01  0.370837E-01  0.118188      0.440209E-01  -.440209E-01  0.155272      0.370837E-01  0.811046E-01  0.370837E-01   0.00000       0.00000       0.00000      0.370837E-01
  0.174263E-02   5.25980      0.823372E-01  0.753939E-01  0.376970E-01  0.120034      0.446402E-01  -.446402E-01  0.157731      0.376970E-01  0.823372E-01  0.376970E-01   0.00000       0.00000       0.00000      0.376970E-01
  0.180419E-02   5.15308      0.835698E-01  0.766205E-01  0.383103E-01  0.121880      0.452595E-01  -.452595E-01  0.160190      0.383103E-01  0.835698E-01  0.383103E-01   0.00000       0.00000       0.00000      0.383103E-01
  0.186791E-02   5.04636      0.848024E-01  0.778471E-01  0.389236E-01  0.123726      0.458788E-01  -.458788E-01  0.162649      0.389236E-01  0.848024E-01  0.389236E-01   0.00000       0.00000       0.00000      0.389236E-01
  0.193389E-02   4.93964      0.860350E-01  0.790737E-01  0.395369E-01  0.125572      0.464981E-01  -.464981E-01  0.165109      0.395369E-01  0.860350E-01  0.395369E-01   0.00000       0.00000       0.00000      0.395369E-01
  0.200220E-02   4.83292      0.872676E-01  0.803003E-01  0.401502E-01  0.127418      0.471174E-01  -.471174E-01  0.167568      0.401502E-01  0.872676E-01  0.401502E-01   0.00000       0.00000       0.00000      0.401502E-01
  0.207292E-02   4.72621      0.885002E-01  0.815269E-01  0.407635E-01  0.129264      0.477367E-01  -.477367E-01  0.170027      0.407635E-01  0.885002E-01  0.407635E-01   0.00000       0.00000       0.00000      0.407635E-01
  0.214614E-02   4.63559      0.898582E-01  0.829185E-01  0.414592E-01  0.131317      0.483989E-01  -.483989E-01  0.172777      0.414592E-01  0.898582E-01  0.414592E-01   0.00000       0.00000       0.00000      0.414592E-01
  0.222195E-02   4.54565      0.912215E-01  0.843171E-01  0.421586E-01  0.133380      0.490629E-01  -.490629E-01  0.175539      0.421586E-01  0.912215E-01  0.421586E-01   0.00000       0.00000       0.00000      0.421586E-01
  0.230043E-02   4.45572      0.925848E-01  0.857157E-01  0.428579E-01  0.135443      0.497270E-01  -.497270E-01  0.178301      0.428579E-01  0.925848E-01  0.428579E-01   0.00000       0.00000       0.00000      0.428579E-01
  0.238169E-02   4.36579      0.939481E-01  0.871143E-01  0.435572E-01  0.137505      0.503910E-01  -.503910E-01  0.181062      0.435572E-01  0.939481E-01  0.435572E-01   0.00000       0.00000       0.00000      0.435572E-01
  0.246581E-02   4.27586      0.953115E-01  0.885129E-01  0.442565E-01  0.139568      0.510550E-01  -.510550E-01  0.183824      0.442565E-01  0.953115E-01  0.442565E-01   0.00000       0.00000       0.00000      0.442565E-01
  0.255291E-02   4.18592      0.966748E-01  0.899115E-01  0.449558E-01  0.141631      0.517190E-01  -.517190E-01  0.186586      0.449558E-01  0.966748E-01  0.449558E-01   0.00000       0.00000       0.00000      0.449558E-01
