   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.66357      0.156293E-01  0.155903E-01  0.779515E-02  0.234245E-01  0.783418E-02  -.783418E-02  0.312196E-01  0.779515E-02  0.156293E-01  0.779515E-02   0.00000       0.00000       0.00000      0.779515E-02
  0.103532E-02   5.58966      0.160415E-01  0.160221E-01  0.801107E-02  0.240526E-01  0.803044E-02  -.803044E-02  0.320637E-01  0.801107E-02  0.160415E-01  0.801107E-02   0.00000       0.00000       0.00000      0.801107E-02
  0.107189E-02   5.51574      0.164537E-01  0.164540E-01  0.822699E-02  0.246807E-01  0.822670E-02  -.822670E-02  0.329077E-01  0.822699E-02  0.164537E-01  0.822699E-02   0.00000       0.00000       0.00000      0.822699E-02
  0.110975E-02   5.44183      0.168659E-01  0.168858E-01  0.844292E-02  0.253088E-01  0.842296E-02  -.842296E-02  0.337517E-01  0.844292E-02  0.168659E-01  0.844292E-02   0.00000       0.00000       0.00000      0.844292E-02
  0.114895E-02   5.36791      0.172781E-01  0.173177E-01  0.865884E-02  0.259369E-01  0.861922E-02  -.861922E-02  0.345957E-01  0.865884E-02  0.172781E-01  0.865884E-02   0.00000       0.00000       0.00000      0.865884E-02
  0.118953E-02   5.30086      0.177840E-01  0.178522E-01  0.892608E-02  0.267101E-01  0.885790E-02  -.885790E-02  0.356361E-01  0.892608E-02  0.177840E-01  0.892608E-02   0.00000       0.00000       0.00000      0.892608E-02
  0.123155E-02   5.23451      0.182994E-01  0.183971E-01  0.919854E-02  0.274980E-01  0.910089E-02  -.910089E-02  0.366965E-01  0.919854E-02  0.182994E-01  0.919854E-02   0.00000       0.00000       0.00000      0.919854E-02
  0.127505E-02   5.16816      0.188149E-01  0.189420E-01  0.947100E-02  0.282859E-01  0.934389E-02  -.934389E-02  0.377569E-01  0.947100E-02  0.188149E-01  0.947100E-02   0.00000       0.00000       0.00000      0.947100E-02
  0.132009E-02   5.10181      0.193303E-01  0.194869E-01  0.974346E-02  0.290738E-01  0.958688E-02  -.958688E-02  0.388173E-01  0.974346E-02  0.193303E-01  0.974346E-02   0.00000       0.00000       0.00000      0.974346E-02
  0.136672E-02   5.03546      0.198458E-01  0.200318E-01  0.100159E-01  0.298617E-01  0.982988E-02  -.982988E-02  0.398776E-01  0.100159E-01  0.198458E-01  0.100159E-01   0.00000       0.00000       0.00000      0.100159E-01
  0.141499E-02   4.96911      0.203613E-01  0.205768E-01  0.102884E-01  0.306496E-01  0.100729E-01  -.100729E-01  0.409380E-01  0.102884E-01  0.203613E-01  0.102884E-01   0.00000       0.00000       0.00000      0.102884E-01
  0.146497E-02   4.90276      0.208767E-01  0.211217E-01  0.105608E-01  0.314375E-01  0.103159E-01  -.103159E-01  0.419984E-01  0.105608E-01  0.208767E-01  0.105608E-01   0.00000       0.00000       0.00000      0.105608E-01
  0.151672E-02   4.83641      0.213922E-01  0.216666E-01  0.108333E-01  0.322255E-01  0.105589E-01  -.105589E-01  0.430588E-01  0.108333E-01  0.213922E-01  0.108333E-01   0.00000       0.00000       0.00000      0.108333E-01
  0.157029E-02   4.77299      0.219632E-01  0.222727E-01  0.111363E-01  0.330996E-01  0.108269E-01  -.108269E-01  0.442359E-01  0.111363E-01  0.219632E-01  0.111363E-01   0.00000       0.00000       0.00000      0.111363E-01
  0.162576E-02   4.71340      0.226070E-01  0.229586E-01  0.114793E-01  0.340863E-01  0.111277E-01  -.111277E-01  0.455657E-01  0.114793E-01  0.226070E-01  0.114793E-01   0.00000       0.00000       0.00000      0.114793E-01
  0.168318E-02   4.65380      0.232508E-01  0.236446E-01  0.118223E-01  0.350731E-01  0.114285E-01  -.114285E-01  0.468954E-01  0.118223E-01  0.232508E-01  0.118223E-01   0.00000       0.00000       0.00000      0.118223E-01
  0.174263E-02   4.59421      0.238946E-01  0.243306E-01  0.121653E-01  0.360599E-01  0.117293E-01  -.117293E-01  0.482252E-01  0.121653E-01  0.238946E-01  0.121653E-01   0.00000       0.00000       0.00000      0.121653E-01
  0.180419E-02   4.53462      0.245384E-01  0.250166E-01  0.125083E-01  0.370467E-01  0.120301E-01  -.120301E-01  0.495550E-01  0.125083E-01  0.245384E-01  0.125083E-01   0.00000       0.00000       0.00000      0.125083E-01
  0.186791E-02   4.47502      0.251822E-01  0.257026E-01  0.128513E-01  0.380335E-01  0.123309E-01  -.123309E-01  0.508847E-01  0.128513E-01  0.251822E-01  0.128513E-01   0.00000       0.00000       0.00000      0.128513E-01
  0.193389E-02   4.41543      0.258259E-01  0.263886E-01  0.131943E-01  0.390202E-01  0.126316E-01  -.126316E-01  0.522145E-01  0.131943E-01  0.258259E-01  0.131943E-01   0.00000       0.00000       0.00000      0.131943E-01
  0.200220E-02   4.35583      0.264697E-01  0.270746E-01  0.135373E-01  0.400070E-01  0.129324E-01  -.129324E-01  0.535443E-01  0.135373E-01  0.264697E-01  0.135373E-01   0.00000       0.00000       0.00000      0.135373E-01
  0.207292E-02   4.29624      0.271135E-01  0.277606E-01  0.138803E-01  0.409938E-01  0.132332E-01  -.132332E-01  0.548741E-01  0.138803E-01  0.271135E-01  0.138803E-01   0.00000       0.00000       0.00000      0.138803E-01
  0.214614E-02   4.24243      0.279097E-01  0.286143E-01  0.143071E-01  0.422168E-01  0.136025E-01  -.136025E-01  0.565239E-01  0.143071E-01  0.279097E-01  0.143071E-01   0.00000       0.00000       0.00000      0.143071E-01
  0.222195E-02   4.18886      0.287123E-01  0.294751E-01  0.147375E-01  0.434498E-01  0.139748E-01  -.139748E-01  0.581874E-01  0.147375E-01  0.287123E-01  0.147375E-01   0.00000       0.00000       0.00000      0.147375E-01
  0.230043E-02   4.13530      0.295149E-01  0.303359E-01  0.151680E-01  0.446829E-01  0.143470E-01  -.143470E-01  0.598509E-01  0.151680E-01  0.295149E-01  0.151680E-01   0.00000       0.00000       0.00000      0.151680E-01
  0.238169E-02   4.08173      0.303176E-01  0.311968E-01  0.155984E-01  0.459160E-01  0.147192E-01  -.147192E-01  0.615143E-01  0.155984E-01  0.303176E-01  0.155984E-01   0.00000       0.00000       0.00000      0.155984E-01
  0.246581E-02   4.02817      0.311202E-01  0.320576E-01  0.160288E-01  0.471490E-01  0.150914E-01  -.150914E-01  0.631778E-01  0.160288E-01  0.311202E-01  0.160288E-01   0.00000       0.00000       0.00000      0.160288E-01
  0.255291E-02   3.97460      0.319229E-01  0.329184E-01  0.164592E-01  0.483821E-01  0.154636E-01  -.154636E-01  0.648413E-01  0.164592E-01  0.319229E-01  0.164592E-01   0.00000       0.00000       0.00000      0.164592E-01
  0.264308E-02   3.92104      0.327255E-01  0.337793E-01  0.168896E-01  0.496151E-01  0.158359E-01  -.158359E-01  0.665048E-01  0.168896E-01  0.327255E-01  0.168896E-01   0.00000       0.00000       0.00000      0.168896E-01
  0.273644E-02   3.86747      0.335281E-01  0.346401E-01  0.173200E-01  0.508482E-01  0.162081E-01  -.162081E-01  0.681682E-01  0.173200E-01  0.335281E-01  0.173200E-01   0.00000       0.00000       0.00000      0.173200E-01
  0.283310E-02   3.81651      0.344256E-01  0.356051E-01  0.178025E-01  0.522282E-01  0.166231E-01  -.166231E-01  0.700307E-01  0.178025E-01  0.344256E-01  0.178025E-01   0.00000       0.00000       0.00000      0.178025E-01
  0.293317E-02   3.76832      0.354239E-01  0.366807E-01  0.183403E-01  0.537642E-01  0.170836E-01  -.170836E-01  0.721046E-01  0.183403E-01  0.354239E-01  0.183403E-01   0.00000       0.00000       0.00000      0.183403E-01
  0.303677E-02   3.72012      0.364221E-01  0.377563E-01  0.188781E-01  0.553003E-01  0.175440E-01  -.175440E-01  0.741784E-01  0.188781E-01  0.364221E-01  0.188781E-01   0.00000       0.00000       0.00000      0.188781E-01
  0.314404E-02   3.67193      0.374204E-01  0.388319E-01  0.194159E-01  0.568363E-01  0.180045E-01  -.180045E-01  0.762523E-01  0.194159E-01  0.374204E-01  0.194159E-01   0.00000       0.00000       0.00000      0.194159E-01
  0.325509E-02   3.62373      0.384187E-01  0.399075E-01  0.199537E-01  0.583724E-01  0.184649E-01  -.184649E-01  0.783261E-01  0.199537E-01  0.384187E-01  0.199537E-01   0.00000       0.00000       0.00000      0.199537E-01
  0.337006E-02   3.57554      0.394169E-01  0.409831E-01  0.204915E-01  0.599084E-01  0.189254E-01  -.189254E-01  0.804000E-01  0.204915E-01  0.394169E-01  0.204915E-01   0.00000       0.00000       0.00000      0.204915E-01
  0.348910E-02   3.52735      0.404152E-01  0.420587E-01  0.210293E-01  0.614445E-01  0.193858E-01  -.193858E-01  0.824738E-01  0.210293E-01  0.404152E-01  0.210293E-01   0.00000       0.00000       0.00000      0.210293E-01
  0.361234E-02   3.47915      0.414134E-01  0.431343E-01  0.215671E-01  0.629806E-01  0.198463E-01  -.198463E-01  0.845477E-01  0.215671E-01  0.414134E-01  0.215671E-01   0.00000       0.00000       0.00000      0.215671E-01
  0.373994E-02   3.43101      0.424142E-01  0.442127E-01  0.221063E-01  0.645206E-01  0.203079E-01  -.203079E-01  0.866269E-01  0.221063E-01  0.424142E-01  0.221063E-01   0.00000       0.00000       0.00000      0.221063E-01
  0.387204E-02   3.38759      0.436516E-01  0.455488E-01  0.227744E-01  0.664260E-01  0.208772E-01  -.208772E-01  0.892004E-01  0.227744E-01  0.436516E-01  0.227744E-01   0.00000       0.00000       0.00000      0.227744E-01
  0.400881E-02   3.34417      0.448890E-01  0.468849E-01  0.234424E-01  0.683314E-01  0.214465E-01  -.214465E-01  0.917738E-01  0.234424E-01  0.448890E-01  0.234424E-01   0.00000       0.00000       0.00000      0.234424E-01
  0.415040E-02   3.30075      0.461263E-01  0.482210E-01  0.241105E-01  0.702368E-01  0.220159E-01  -.220159E-01  0.943473E-01  0.241105E-01  0.461263E-01  0.241105E-01   0.00000       0.00000       0.00000      0.241105E-01
  0.429700E-02   3.25733      0.473637E-01  0.495571E-01  0.247785E-01  0.721423E-01  0.225852E-01  -.225852E-01  0.969208E-01  0.247785E-01  0.473637E-01  0.247785E-01   0.00000       0.00000       0.00000      0.247785E-01
  0.444878E-02   3.21391      0.486011E-01  0.508932E-01  0.254466E-01  0.740477E-01  0.231545E-01  -.231545E-01  0.994943E-01  0.254466E-01  0.486011E-01  0.254466E-01   0.00000       0.00000       0.00000      0.254466E-01
  0.460592E-02   3.17050      0.498385E-01  0.522293E-01  0.261146E-01  0.759531E-01  0.237238E-01  -.237238E-01  0.102068      0.261146E-01  0.498385E-01  0.261146E-01   0.00000       0.00000       0.00000      0.261146E-01
  0.476861E-02   3.12708      0.510758E-01  0.535654E-01  0.267827E-01  0.778585E-01  0.242931E-01  -.242931E-01  0.104641      0.267827E-01  0.510758E-01  0.267827E-01   0.00000       0.00000       0.00000      0.267827E-01
  0.493705E-02   3.08366      0.523132E-01  0.549015E-01  0.274507E-01  0.797639E-01  0.248625E-01  -.248625E-01  0.107215      0.274507E-01  0.523132E-01  0.274507E-01   0.00000       0.00000       0.00000      0.274507E-01
