   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.83381      0.175020E-01  0.205220E-01  0.102610E-01  0.277630E-01  0.724101E-02  -.724101E-02  0.380241E-01  0.102610E-01  0.175020E-01  0.102610E-01   0.00000       0.00000       0.00000      0.102610E-01
  0.103532E-02   4.77313      0.179577E-01  0.210627E-01  0.105314E-01  0.284891E-01  0.742635E-02  -.742635E-02  0.390204E-01  0.105314E-01  0.179577E-01  0.105314E-01   0.00000       0.00000       0.00000      0.105314E-01
  0.107189E-02   4.71245      0.184134E-01  0.216034E-01  0.108017E-01  0.292151E-01  0.761169E-02  -.761169E-02  0.400168E-01  0.108017E-01  0.184134E-01  0.108017E-01   0.00000       0.00000       0.00000      0.108017E-01
  0.110975E-02   4.65177      0.188691E-01  0.221441E-01  0.110720E-01  0.299411E-01  0.779702E-02  -.779702E-02  0.410131E-01  0.110720E-01  0.188691E-01  0.110720E-01   0.00000       0.00000       0.00000      0.110720E-01
  0.114895E-02   4.59109      0.193247E-01  0.226848E-01  0.113424E-01  0.306671E-01  0.798236E-02  -.798236E-02  0.420095E-01  0.113424E-01  0.193247E-01  0.113424E-01   0.00000       0.00000       0.00000      0.113424E-01
  0.118953E-02   4.53583      0.198821E-01  0.233467E-01  0.116733E-01  0.315554E-01  0.820874E-02  -.820874E-02  0.432287E-01  0.116733E-01  0.198821E-01  0.116733E-01   0.00000       0.00000       0.00000      0.116733E-01
  0.123155E-02   4.48113      0.204497E-01  0.240209E-01  0.120104E-01  0.324602E-01  0.843929E-02  -.843929E-02  0.444706E-01  0.120104E-01  0.204497E-01  0.120104E-01   0.00000       0.00000       0.00000      0.120104E-01
  0.127505E-02   4.42642      0.210174E-01  0.246951E-01  0.123476E-01  0.333650E-01  0.866985E-02  -.866985E-02  0.457125E-01  0.123476E-01  0.210174E-01  0.123476E-01   0.00000       0.00000       0.00000      0.123476E-01
  0.132009E-02   4.37171      0.215851E-01  0.253694E-01  0.126847E-01  0.342698E-01  0.890040E-02  -.890040E-02  0.469544E-01  0.126847E-01  0.215851E-01  0.126847E-01   0.00000       0.00000       0.00000      0.126847E-01
  0.136672E-02   4.31701      0.221528E-01  0.260436E-01  0.130218E-01  0.351746E-01  0.913095E-02  -.913095E-02  0.481964E-01  0.130218E-01  0.221528E-01  0.130218E-01   0.00000       0.00000       0.00000      0.130218E-01
  0.141499E-02   4.26230      0.227204E-01  0.267178E-01  0.133589E-01  0.360793E-01  0.936151E-02  -.936151E-02  0.494383E-01  0.133589E-01  0.227204E-01  0.133589E-01   0.00000       0.00000       0.00000      0.133589E-01
  0.146497E-02   4.20760      0.232881E-01  0.273921E-01  0.136960E-01  0.369841E-01  0.959206E-02  -.959206E-02  0.506802E-01  0.136960E-01  0.232881E-01  0.136960E-01   0.00000       0.00000       0.00000      0.136960E-01
  0.151672E-02   4.15289      0.238558E-01  0.280663E-01  0.140332E-01  0.378889E-01  0.982261E-02  -.982261E-02  0.519221E-01  0.140332E-01  0.238558E-01  0.140332E-01   0.00000       0.00000       0.00000      0.140332E-01
  0.157029E-02   4.10051      0.244834E-01  0.288118E-01  0.144059E-01  0.388894E-01  0.100775E-01  -.100775E-01  0.532953E-01  0.144059E-01  0.244834E-01  0.144059E-01   0.00000       0.00000       0.00000      0.144059E-01
  0.162576E-02   4.05116      0.251896E-01  0.296506E-01  0.148253E-01  0.400148E-01  0.103643E-01  -.103643E-01  0.548401E-01  0.148253E-01  0.251896E-01  0.148253E-01   0.00000       0.00000       0.00000      0.148253E-01
  0.168318E-02   4.00181      0.258957E-01  0.304893E-01  0.152447E-01  0.411403E-01  0.106510E-01  -.106510E-01  0.563850E-01  0.152447E-01  0.258957E-01  0.152447E-01   0.00000       0.00000       0.00000      0.152447E-01
  0.174263E-02   3.95246      0.266018E-01  0.313281E-01  0.156640E-01  0.422658E-01  0.109377E-01  -.109377E-01  0.579299E-01  0.156640E-01  0.266018E-01  0.156640E-01   0.00000       0.00000       0.00000      0.156640E-01
  0.180419E-02   3.90311      0.273079E-01  0.321668E-01  0.160834E-01  0.433913E-01  0.112245E-01  -.112245E-01  0.594747E-01  0.160834E-01  0.273079E-01  0.160834E-01   0.00000       0.00000       0.00000      0.160834E-01
  0.186791E-02   3.85376      0.280140E-01  0.330056E-01  0.165028E-01  0.445168E-01  0.115112E-01  -.115112E-01  0.610196E-01  0.165028E-01  0.280140E-01  0.165028E-01   0.00000       0.00000       0.00000      0.165028E-01
  0.193389E-02   3.80442      0.287201E-01  0.338443E-01  0.169222E-01  0.456423E-01  0.117979E-01  -.117979E-01  0.625645E-01  0.169222E-01  0.287201E-01  0.169222E-01   0.00000       0.00000       0.00000      0.169222E-01
  0.200220E-02   3.75507      0.294262E-01  0.346831E-01  0.173415E-01  0.467678E-01  0.120847E-01  -.120847E-01  0.641093E-01  0.173415E-01  0.294262E-01  0.173415E-01   0.00000       0.00000       0.00000      0.173415E-01
  0.207292E-02   3.70572      0.301323E-01  0.355218E-01  0.177609E-01  0.478933E-01  0.123714E-01  -.123714E-01  0.656542E-01  0.177609E-01  0.301323E-01  0.177609E-01   0.00000       0.00000       0.00000      0.177609E-01
