   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.45341      0.163562E-01  0.166476E-01  0.832380E-02  0.246800E-01  0.803240E-02  -.803240E-02  0.330038E-01  0.832380E-02  0.163562E-01  0.832380E-02   0.00000       0.00000       0.00000      0.832380E-02
  0.103532E-02   5.38518      0.167829E-01  0.171024E-01  0.855122E-02  0.253342E-01  0.823171E-02  -.823171E-02  0.338854E-01  0.855122E-02  0.167829E-01  0.855122E-02   0.00000       0.00000       0.00000      0.855122E-02
  0.107189E-02   5.31696      0.172097E-01  0.175573E-01  0.877864E-02  0.259883E-01  0.843101E-02  -.843101E-02  0.347669E-01  0.877864E-02  0.172097E-01  0.877864E-02   0.00000       0.00000       0.00000      0.877864E-02
  0.110975E-02   5.24873      0.176364E-01  0.180121E-01  0.900606E-02  0.266424E-01  0.863032E-02  -.863032E-02  0.356485E-01  0.900606E-02  0.176364E-01  0.900606E-02   0.00000       0.00000       0.00000      0.900606E-02
  0.114895E-02   5.18051      0.180631E-01  0.184670E-01  0.923348E-02  0.272966E-01  0.882962E-02  -.882962E-02  0.365301E-01  0.923348E-02  0.180631E-01  0.923348E-02   0.00000       0.00000       0.00000      0.923348E-02
  0.118953E-02   5.11836      0.185857E-01  0.190284E-01  0.951418E-02  0.280999E-01  0.907155E-02  -.907155E-02  0.376141E-01  0.951418E-02  0.185857E-01  0.951418E-02   0.00000       0.00000       0.00000      0.951418E-02
  0.123155E-02   5.05684      0.191181E-01  0.196006E-01  0.980030E-02  0.289184E-01  0.931783E-02  -.931783E-02  0.387187E-01  0.980030E-02  0.191181E-01  0.980030E-02   0.00000       0.00000       0.00000      0.980030E-02
  0.127505E-02   4.99531      0.196505E-01  0.201728E-01  0.100864E-01  0.297369E-01  0.956410E-02  -.956410E-02  0.398234E-01  0.100864E-01  0.196505E-01  0.100864E-01   0.00000       0.00000       0.00000      0.100864E-01
  0.132009E-02   4.93378      0.201829E-01  0.207451E-01  0.103725E-01  0.305554E-01  0.981037E-02  -.981037E-02  0.409280E-01  0.103725E-01  0.201829E-01  0.103725E-01   0.00000       0.00000       0.00000      0.103725E-01
  0.136672E-02   4.87226      0.207153E-01  0.213173E-01  0.106587E-01  0.313740E-01  0.100566E-01  -.100566E-01  0.420326E-01  0.106587E-01  0.207153E-01  0.106587E-01   0.00000       0.00000       0.00000      0.106587E-01
  0.141499E-02   4.81073      0.212477E-01  0.218896E-01  0.109448E-01  0.321925E-01  0.103029E-01  -.103029E-01  0.431372E-01  0.109448E-01  0.212477E-01  0.109448E-01   0.00000       0.00000       0.00000      0.109448E-01
  0.146497E-02   4.74920      0.217801E-01  0.224618E-01  0.112309E-01  0.330110E-01  0.105492E-01  -.105492E-01  0.442419E-01  0.112309E-01  0.217801E-01  0.112309E-01   0.00000       0.00000       0.00000      0.112309E-01
  0.151672E-02   4.68768      0.223125E-01  0.230340E-01  0.115170E-01  0.338295E-01  0.107954E-01  -.107954E-01  0.453465E-01  0.115170E-01  0.223125E-01  0.115170E-01   0.00000       0.00000       0.00000      0.115170E-01
  0.157029E-02   4.62875      0.229016E-01  0.236695E-01  0.118348E-01  0.347364E-01  0.110668E-01  -.110668E-01  0.465711E-01  0.118348E-01  0.229016E-01  0.118348E-01   0.00000       0.00000       0.00000      0.118348E-01
  0.162576E-02   4.57323      0.235650E-01  0.243877E-01  0.121939E-01  0.357588E-01  0.113711E-01  -.113711E-01  0.479527E-01  0.121939E-01  0.235650E-01  0.121939E-01   0.00000       0.00000       0.00000      0.121939E-01
  0.168318E-02   4.51771      0.242283E-01  0.251059E-01  0.125530E-01  0.367813E-01  0.116753E-01  -.116753E-01  0.493342E-01  0.125530E-01  0.242283E-01  0.125530E-01   0.00000       0.00000       0.00000      0.125530E-01
  0.174263E-02   4.46219      0.248916E-01  0.258241E-01  0.129121E-01  0.378037E-01  0.119796E-01  -.119796E-01  0.507158E-01  0.129121E-01  0.248916E-01  0.129121E-01   0.00000       0.00000       0.00000      0.129121E-01
  0.180419E-02   4.40667      0.255550E-01  0.265423E-01  0.132712E-01  0.388261E-01  0.122838E-01  -.122838E-01  0.520973E-01  0.132712E-01  0.255550E-01  0.132712E-01   0.00000       0.00000       0.00000      0.132712E-01
  0.186791E-02   4.35115      0.262183E-01  0.272605E-01  0.136303E-01  0.398486E-01  0.125880E-01  -.125880E-01  0.534789E-01  0.136303E-01  0.262183E-01  0.136303E-01   0.00000       0.00000       0.00000      0.136303E-01
  0.193389E-02   4.29563      0.268817E-01  0.279787E-01  0.139894E-01  0.408710E-01  0.128923E-01  -.128923E-01  0.548604E-01  0.139894E-01  0.268817E-01  0.139894E-01   0.00000       0.00000       0.00000      0.139894E-01
  0.200220E-02   4.24011      0.275450E-01  0.286969E-01  0.143485E-01  0.418935E-01  0.131965E-01  -.131965E-01  0.562419E-01  0.143485E-01  0.275450E-01  0.143485E-01   0.00000       0.00000       0.00000      0.143485E-01
  0.207292E-02   4.18459      0.282083E-01  0.294151E-01  0.147076E-01  0.429159E-01  0.135008E-01  -.135008E-01  0.576235E-01  0.147076E-01  0.282083E-01  0.147076E-01   0.00000       0.00000       0.00000      0.147076E-01
  0.214614E-02   4.13422      0.290267E-01  0.303063E-01  0.151531E-01  0.441799E-01  0.138736E-01  -.138736E-01  0.593330E-01  0.151531E-01  0.290267E-01  0.151531E-01   0.00000       0.00000       0.00000      0.151531E-01
  0.222195E-02   4.08408      0.298517E-01  0.312047E-01  0.156024E-01  0.454541E-01  0.142493E-01  -.142493E-01  0.610565E-01  0.156024E-01  0.298517E-01  0.156024E-01   0.00000       0.00000       0.00000      0.156024E-01
  0.230043E-02   4.03394      0.306767E-01  0.321032E-01  0.160516E-01  0.467283E-01  0.146251E-01  -.146251E-01  0.627799E-01  0.160516E-01  0.306767E-01  0.160516E-01   0.00000       0.00000       0.00000      0.160516E-01
  0.238169E-02   3.98380      0.315017E-01  0.330017E-01  0.165009E-01  0.480026E-01  0.150009E-01  -.150009E-01  0.645034E-01  0.165009E-01  0.315017E-01  0.165009E-01   0.00000       0.00000       0.00000      0.165009E-01
  0.246581E-02   3.93365      0.323267E-01  0.339002E-01  0.169501E-01  0.492768E-01  0.153766E-01  -.153766E-01  0.662269E-01  0.169501E-01  0.323267E-01  0.169501E-01   0.00000       0.00000       0.00000      0.169501E-01
  0.255291E-02   3.88351      0.331517E-01  0.347987E-01  0.173993E-01  0.505510E-01  0.157524E-01  -.157524E-01  0.679504E-01  0.173993E-01  0.331517E-01  0.173993E-01   0.00000       0.00000       0.00000      0.173993E-01
  0.264308E-02   3.83337      0.339767E-01  0.356972E-01  0.178486E-01  0.518253E-01  0.161281E-01  -.161281E-01  0.696738E-01  0.178486E-01  0.339767E-01  0.178486E-01   0.00000       0.00000       0.00000      0.178486E-01
  0.273644E-02   3.78322      0.348017E-01  0.365956E-01  0.182978E-01  0.530995E-01  0.165039E-01  -.165039E-01  0.713973E-01  0.182978E-01  0.348017E-01  0.182978E-01   0.00000       0.00000       0.00000      0.182978E-01
  0.283310E-02   3.73541      0.357229E-01  0.376011E-01  0.188006E-01  0.545235E-01  0.169224E-01  -.169224E-01  0.733241E-01  0.188006E-01  0.357229E-01  0.188006E-01   0.00000       0.00000       0.00000      0.188006E-01
  0.293317E-02   3.69008      0.367465E-01  0.387203E-01  0.193602E-01  0.561066E-01  0.173863E-01  -.173863E-01  0.754668E-01  0.193602E-01  0.367465E-01  0.193602E-01   0.00000       0.00000       0.00000      0.193602E-01
  0.303677E-02   3.64474      0.377700E-01  0.398395E-01  0.199198E-01  0.576897E-01  0.178502E-01  -.178502E-01  0.776095E-01  0.199198E-01  0.377700E-01  0.199198E-01   0.00000       0.00000       0.00000      0.199198E-01
  0.314404E-02   3.59941      0.387935E-01  0.409587E-01  0.204793E-01  0.592728E-01  0.183141E-01  -.183141E-01  0.797522E-01  0.204793E-01  0.387935E-01  0.204793E-01   0.00000       0.00000       0.00000      0.204793E-01
