   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   8.34284      0.709693E-01  0.566595E-01  0.283298E-01  0.992991E-01  0.426396E-01  -.426396E-01  0.127629      0.283298E-01  0.709693E-01  0.283298E-01   0.00000       0.00000       0.00000      0.283298E-01
  0.103532E-02   8.17485      0.720830E-01  0.576131E-01  0.288065E-01  0.100890      0.432764E-01  -.432764E-01  0.129696      0.288065E-01  0.720830E-01  0.288065E-01   0.00000       0.00000       0.00000      0.288065E-01
  0.107189E-02   8.00685      0.731966E-01  0.585667E-01  0.292833E-01  0.102480      0.439133E-01  -.439133E-01  0.131763      0.292833E-01  0.731966E-01  0.292833E-01   0.00000       0.00000       0.00000      0.292833E-01
  0.110975E-02   7.83885      0.743103E-01  0.595203E-01  0.297601E-01  0.104070      0.445502E-01  -.445502E-01  0.133831      0.297601E-01  0.743103E-01  0.297601E-01   0.00000       0.00000       0.00000      0.297601E-01
  0.114895E-02   7.67085      0.754240E-01  0.604738E-01  0.302369E-01  0.105661      0.451870E-01  -.451870E-01  0.135898      0.302369E-01  0.754240E-01  0.302369E-01   0.00000       0.00000       0.00000      0.302369E-01
  0.118953E-02   7.52610      0.765978E-01  0.615580E-01  0.307790E-01  0.107377      0.458187E-01  -.458187E-01  0.138156      0.307790E-01  0.765978E-01  0.307790E-01   0.00000       0.00000       0.00000      0.307790E-01
  0.123155E-02   7.38371      0.777777E-01  0.626555E-01  0.313277E-01  0.109105      0.464499E-01  -.464499E-01  0.140433      0.313277E-01  0.777777E-01  0.313277E-01   0.00000       0.00000       0.00000      0.313277E-01
  0.127505E-02   7.24132      0.789576E-01  0.637530E-01  0.318765E-01  0.110834      0.470811E-01  -.470811E-01  0.142711      0.318765E-01  0.789576E-01  0.318765E-01   0.00000       0.00000       0.00000      0.318765E-01
  0.132009E-02   7.09893      0.801375E-01  0.648504E-01  0.324252E-01  0.112563      0.477123E-01  -.477123E-01  0.144988      0.324252E-01  0.801375E-01  0.324252E-01   0.00000       0.00000       0.00000      0.324252E-01
  0.136672E-02   6.95654      0.813175E-01  0.659479E-01  0.329739E-01  0.114291      0.483435E-01  -.483435E-01  0.147265      0.329739E-01  0.813175E-01  0.329739E-01   0.00000       0.00000       0.00000      0.329739E-01
  0.141499E-02   6.81415      0.824974E-01  0.670454E-01  0.335227E-01  0.116020      0.489747E-01  -.489747E-01  0.149543      0.335227E-01  0.824974E-01  0.335227E-01   0.00000       0.00000       0.00000      0.335227E-01
