   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   6.03857      0.123559E-01  0.927636E-02  0.463818E-02  0.169941E-01  0.771773E-02  -.771773E-02  0.216323E-01  0.463818E-02  0.123559E-01  0.463818E-02   0.00000       0.00000       0.00000      0.463818E-02
  0.103532E-02   5.95797      0.126932E-01  0.956114E-02  0.478057E-02  0.174738E-01  0.791266E-02  -.791266E-02  0.222544E-01  0.478057E-02  0.126932E-01  0.478057E-02   0.00000       0.00000       0.00000      0.478057E-02
  0.107189E-02   5.87738      0.130306E-01  0.984591E-02  0.492296E-02  0.179535E-01  0.810760E-02  -.810760E-02  0.228765E-01  0.492296E-02  0.130306E-01  0.492296E-02   0.00000       0.00000       0.00000      0.492296E-02
  0.110975E-02   5.79678      0.133679E-01  0.101307E-01  0.506534E-02  0.184332E-01  0.830253E-02  -.830253E-02  0.234986E-01  0.506534E-02  0.133679E-01  0.506534E-02   0.00000       0.00000       0.00000      0.506534E-02
  0.114895E-02   5.71619      0.137052E-01  0.104155E-01  0.520773E-02  0.189129E-01  0.849747E-02  -.849747E-02  0.241207E-01  0.520773E-02  0.137052E-01  0.520773E-02   0.00000       0.00000       0.00000      0.520773E-02
  0.118953E-02   5.64325      0.141233E-01  0.107767E-01  0.538836E-02  0.195116E-01  0.873490E-02  -.873490E-02  0.249000E-01  0.538836E-02  0.141233E-01  0.538836E-02   0.00000       0.00000       0.00000      0.538836E-02
  0.123155E-02   5.57109      0.145495E-01  0.111458E-01  0.557288E-02  0.201224E-01  0.897667E-02  -.897667E-02  0.256953E-01  0.557288E-02  0.145495E-01  0.557288E-02   0.00000       0.00000       0.00000      0.557288E-02
  0.127505E-02   5.49893      0.149758E-01  0.115148E-01  0.575739E-02  0.207332E-01  0.921843E-02  -.921843E-02  0.264906E-01  0.575739E-02  0.149758E-01  0.575739E-02   0.00000       0.00000       0.00000      0.575739E-02
  0.132009E-02   5.42677      0.154021E-01  0.118838E-01  0.594191E-02  0.213440E-01  0.946019E-02  -.946019E-02  0.272859E-01  0.594191E-02  0.154021E-01  0.594191E-02   0.00000       0.00000       0.00000      0.594191E-02
  0.136672E-02   5.35461      0.158284E-01  0.122528E-01  0.612642E-02  0.219548E-01  0.970195E-02  -.970195E-02  0.280812E-01  0.612642E-02  0.158284E-01  0.612642E-02   0.00000       0.00000       0.00000      0.612642E-02
  0.141499E-02   5.28246      0.162547E-01  0.126219E-01  0.631094E-02  0.225656E-01  0.994371E-02  -.994371E-02  0.288765E-01  0.631094E-02  0.162547E-01  0.631094E-02   0.00000       0.00000       0.00000      0.631094E-02
  0.146497E-02   5.21030      0.166809E-01  0.129909E-01  0.649546E-02  0.231764E-01  0.101855E-01  -.101855E-01  0.296718E-01  0.649546E-02  0.166809E-01  0.649546E-02   0.00000       0.00000       0.00000      0.649546E-02
  0.151672E-02   5.13814      0.171072E-01  0.133599E-01  0.667997E-02  0.237872E-01  0.104272E-01  -.104272E-01  0.304672E-01  0.667997E-02  0.171072E-01  0.667997E-02   0.00000       0.00000       0.00000      0.667997E-02
  0.157029E-02   5.06924      0.175821E-01  0.137759E-01  0.688793E-02  0.244700E-01  0.106941E-01  -.106941E-01  0.313579E-01  0.688793E-02  0.175821E-01  0.688793E-02   0.00000       0.00000       0.00000      0.688793E-02
  0.162576E-02   5.00460      0.181204E-01  0.142530E-01  0.712652E-02  0.252469E-01  0.109939E-01  -.109939E-01  0.323734E-01  0.712652E-02  0.181204E-01  0.712652E-02   0.00000       0.00000       0.00000      0.712652E-02
  0.168318E-02   4.93996      0.186588E-01  0.147302E-01  0.736511E-02  0.260239E-01  0.112937E-01  -.112937E-01  0.333890E-01  0.736511E-02  0.186588E-01  0.736511E-02   0.00000       0.00000       0.00000      0.736511E-02
  0.174263E-02   4.87532      0.191971E-01  0.152074E-01  0.760370E-02  0.268008E-01  0.115934E-01  -.115934E-01  0.344045E-01  0.760370E-02  0.191971E-01  0.760370E-02   0.00000       0.00000       0.00000      0.760370E-02
  0.180419E-02   4.81068      0.197355E-01  0.156846E-01  0.784229E-02  0.275778E-01  0.118932E-01  -.118932E-01  0.354201E-01  0.784229E-02  0.197355E-01  0.784229E-02   0.00000       0.00000       0.00000      0.784229E-02
  0.186791E-02   4.74605      0.202738E-01  0.161618E-01  0.808088E-02  0.283547E-01  0.121930E-01  -.121930E-01  0.364356E-01  0.808088E-02  0.202738E-01  0.808088E-02   0.00000       0.00000       0.00000      0.808088E-02
  0.193389E-02   4.68141      0.208122E-01  0.166389E-01  0.831947E-02  0.291317E-01  0.124927E-01  -.124927E-01  0.374511E-01  0.831947E-02  0.208122E-01  0.831947E-02   0.00000       0.00000       0.00000      0.831947E-02
  0.200220E-02   4.61677      0.213505E-01  0.171161E-01  0.855806E-02  0.299086E-01  0.127925E-01  -.127925E-01  0.384667E-01  0.855806E-02  0.213505E-01  0.855806E-02   0.00000       0.00000       0.00000      0.855806E-02
  0.207292E-02   4.55213      0.218889E-01  0.175933E-01  0.879665E-02  0.306855E-01  0.130922E-01  -.130922E-01  0.394822E-01  0.879665E-02  0.218889E-01  0.879665E-02   0.00000       0.00000       0.00000      0.879665E-02
  0.214614E-02   4.49391      0.225623E-01  0.182029E-01  0.910144E-02  0.316638E-01  0.134609E-01  -.134609E-01  0.407652E-01  0.910144E-02  0.225623E-01  0.910144E-02   0.00000       0.00000       0.00000      0.910144E-02
  0.222195E-02   4.43597      0.232415E-01  0.188181E-01  0.940905E-02  0.326505E-01  0.138324E-01  -.138324E-01  0.420596E-01  0.940905E-02  0.232415E-01  0.940905E-02   0.00000       0.00000       0.00000      0.940905E-02
  0.230043E-02   4.37803      0.239207E-01  0.194333E-01  0.971666E-02  0.336373E-01  0.142040E-01  -.142040E-01  0.433540E-01  0.971666E-02  0.239207E-01  0.971666E-02   0.00000       0.00000       0.00000      0.971666E-02
  0.238169E-02   4.32008      0.245998E-01  0.200485E-01  0.100243E-01  0.346241E-01  0.145756E-01  -.145756E-01  0.446484E-01  0.100243E-01  0.245998E-01  0.100243E-01   0.00000       0.00000       0.00000      0.100243E-01
  0.246581E-02   4.26214      0.252790E-01  0.206638E-01  0.103319E-01  0.356109E-01  0.149471E-01  -.149471E-01  0.459428E-01  0.103319E-01  0.252790E-01  0.103319E-01   0.00000       0.00000       0.00000      0.103319E-01
  0.255291E-02   4.20419      0.259582E-01  0.212790E-01  0.106395E-01  0.365977E-01  0.153187E-01  -.153187E-01  0.472372E-01  0.106395E-01  0.259582E-01  0.106395E-01   0.00000       0.00000       0.00000      0.106395E-01
  0.264308E-02   4.14625      0.266374E-01  0.218942E-01  0.109471E-01  0.375845E-01  0.156903E-01  -.156903E-01  0.485316E-01  0.109471E-01  0.266374E-01  0.109471E-01   0.00000       0.00000       0.00000      0.109471E-01
  0.273644E-02   4.08831      0.273165E-01  0.225094E-01  0.112547E-01  0.385712E-01  0.160618E-01  -.160618E-01  0.498260E-01  0.112547E-01  0.273165E-01  0.112547E-01   0.00000       0.00000       0.00000      0.112547E-01
  0.283310E-02   4.03325      0.280812E-01  0.232094E-01  0.116047E-01  0.396859E-01  0.164765E-01  -.164765E-01  0.512906E-01  0.116047E-01  0.280812E-01  0.116047E-01   0.00000       0.00000       0.00000      0.116047E-01
  0.293317E-02   3.98126      0.289366E-01  0.239995E-01  0.119998E-01  0.409363E-01  0.169368E-01  -.169368E-01  0.529361E-01  0.119998E-01  0.289366E-01  0.119998E-01   0.00000       0.00000       0.00000      0.119998E-01
  0.303677E-02   3.92927      0.297920E-01  0.247896E-01  0.123948E-01  0.421868E-01  0.173972E-01  -.173972E-01  0.545816E-01  0.123948E-01  0.297920E-01  0.123948E-01   0.00000       0.00000       0.00000      0.123948E-01
  0.314404E-02   3.87728      0.306474E-01  0.255797E-01  0.127898E-01  0.434372E-01  0.178576E-01  -.178576E-01  0.562270E-01  0.127898E-01  0.306474E-01  0.127898E-01   0.00000       0.00000       0.00000      0.127898E-01
  0.325509E-02   3.82529      0.315028E-01  0.263697E-01  0.131849E-01  0.446877E-01  0.183179E-01  -.183179E-01  0.578725E-01  0.131849E-01  0.315028E-01  0.131849E-01   0.00000       0.00000       0.00000      0.131849E-01
