   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.26683      0.179449E-01  0.196880E-01  0.984402E-02  0.277889E-01  0.810084E-02  -.810084E-02  0.376329E-01  0.984402E-02  0.179449E-01  0.984402E-02   0.00000       0.00000       0.00000      0.984402E-02
  0.103532E-02   5.19478      0.184019E-01  0.201999E-01  0.101000E-01  0.285018E-01  0.830190E-02  -.830190E-02  0.386018E-01  0.101000E-01  0.184019E-01  0.101000E-01   0.00000       0.00000       0.00000      0.101000E-01
  0.107189E-02   5.12273      0.188589E-01  0.207118E-01  0.103559E-01  0.292148E-01  0.850296E-02  -.850296E-02  0.395707E-01  0.103559E-01  0.188589E-01  0.103559E-01   0.00000       0.00000       0.00000      0.103559E-01
  0.110975E-02   5.05068      0.193159E-01  0.212237E-01  0.106119E-01  0.299278E-01  0.870401E-02  -.870401E-02  0.405396E-01  0.106119E-01  0.193159E-01  0.106119E-01   0.00000       0.00000       0.00000      0.106119E-01
  0.114895E-02   4.97864      0.197729E-01  0.217356E-01  0.108678E-01  0.306407E-01  0.890507E-02  -.890507E-02  0.415085E-01  0.108678E-01  0.197729E-01  0.108678E-01   0.00000       0.00000       0.00000      0.108678E-01
  0.118953E-02   4.91364      0.203294E-01  0.223605E-01  0.111803E-01  0.315097E-01  0.914913E-02  -.914913E-02  0.426899E-01  0.111803E-01  0.203294E-01  0.111803E-01   0.00000       0.00000       0.00000      0.111803E-01
  0.123155E-02   4.84936      0.208960E-01  0.229969E-01  0.114985E-01  0.323945E-01  0.939756E-02  -.939756E-02  0.438930E-01  0.114985E-01  0.208960E-01  0.114985E-01   0.00000       0.00000       0.00000      0.114985E-01
  0.127505E-02   4.78508      0.214627E-01  0.236333E-01  0.118167E-01  0.332793E-01  0.964599E-02  -.964599E-02  0.450960E-01  0.118167E-01  0.214627E-01  0.118167E-01   0.00000       0.00000       0.00000      0.118167E-01
  0.132009E-02   4.72080      0.220293E-01  0.242697E-01  0.121349E-01  0.341642E-01  0.989443E-02  -.989443E-02  0.462990E-01  0.121349E-01  0.220293E-01  0.121349E-01   0.00000       0.00000       0.00000      0.121349E-01
  0.136672E-02   4.65652      0.225959E-01  0.249061E-01  0.124531E-01  0.350490E-01  0.101429E-01  -.101429E-01  0.475020E-01  0.124531E-01  0.225959E-01  0.124531E-01   0.00000       0.00000       0.00000      0.124531E-01
  0.141499E-02   4.59224      0.231626E-01  0.255425E-01  0.127713E-01  0.359338E-01  0.103913E-01  -.103913E-01  0.487051E-01  0.127713E-01  0.231626E-01  0.127713E-01   0.00000       0.00000       0.00000      0.127713E-01
  0.146497E-02   4.52796      0.237292E-01  0.261789E-01  0.130895E-01  0.368186E-01  0.106397E-01  -.106397E-01  0.499081E-01  0.130895E-01  0.237292E-01  0.130895E-01   0.00000       0.00000       0.00000      0.130895E-01
  0.151672E-02   4.46368      0.242958E-01  0.268153E-01  0.134077E-01  0.377035E-01  0.108882E-01  -.108882E-01  0.511111E-01  0.134077E-01  0.242958E-01  0.134077E-01   0.00000       0.00000       0.00000      0.134077E-01
  0.157029E-02   4.40240      0.249209E-01  0.275179E-01  0.137590E-01  0.386799E-01  0.111619E-01  -.111619E-01  0.524388E-01  0.137590E-01  0.249209E-01  0.137590E-01   0.00000       0.00000       0.00000      0.137590E-01
  0.162576E-02   4.34503      0.256224E-01  0.283071E-01  0.141536E-01  0.397760E-01  0.114688E-01  -.114688E-01  0.539296E-01  0.141536E-01  0.256224E-01  0.141536E-01   0.00000       0.00000       0.00000      0.141536E-01
  0.168318E-02   4.28766      0.263239E-01  0.290964E-01  0.145482E-01  0.408721E-01  0.117757E-01  -.117757E-01  0.554203E-01  0.145482E-01  0.263239E-01  0.145482E-01   0.00000       0.00000       0.00000      0.145482E-01
  0.174263E-02   4.23029      0.270254E-01  0.298856E-01  0.149428E-01  0.419682E-01  0.120827E-01  -.120827E-01  0.569110E-01  0.149428E-01  0.270254E-01  0.149428E-01   0.00000       0.00000       0.00000      0.149428E-01
  0.180419E-02   4.17292      0.277270E-01  0.306748E-01  0.153374E-01  0.430643E-01  0.123896E-01  -.123896E-01  0.584017E-01  0.153374E-01  0.277270E-01  0.153374E-01   0.00000       0.00000       0.00000      0.153374E-01
  0.186791E-02   4.11556      0.284285E-01  0.314640E-01  0.157320E-01  0.441605E-01  0.126965E-01  -.126965E-01  0.598925E-01  0.157320E-01  0.284285E-01  0.157320E-01   0.00000       0.00000       0.00000      0.157320E-01
