   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  0.320597E-01  0.174076      0.127520E-01  0.637600E-02  0.180452      0.167700      -.167700      0.186828      0.637600E-02  0.174076      0.637600E-02   0.00000       0.00000       0.00000      0.637600E-02
  0.103532E-02  0.342301E-01  0.174168      0.132127E-01  0.660636E-02  0.180774      0.167561      -.167561      0.187381      0.660636E-02  0.174168      0.660636E-02   0.00000       0.00000       0.00000      0.660636E-02
  0.107189E-02  0.364004E-01  0.174260      0.136734E-01  0.683672E-02  0.181097      0.167423      -.167423      0.187933      0.683672E-02  0.174260      0.683672E-02   0.00000       0.00000       0.00000      0.683672E-02
  0.110975E-02  0.385707E-01  0.174352      0.141342E-01  0.706708E-02  0.181419      0.167285      -.167285      0.188486      0.706708E-02  0.174352      0.706708E-02   0.00000       0.00000       0.00000      0.706708E-02
  0.114895E-02  0.407411E-01  0.174444      0.145949E-01  0.729744E-02  0.181741      0.167147      -.167147      0.189039      0.729744E-02  0.174444      0.729744E-02   0.00000       0.00000       0.00000      0.729744E-02
  0.118953E-02  0.444613E-01  0.173395      0.152037E-01  0.760187E-02  0.180997      0.165793      -.165793      0.188599      0.760187E-02  0.173395      0.760187E-02   0.00000       0.00000       0.00000      0.760187E-02
  0.123155E-02  0.483393E-01  0.172230      0.158277E-01  0.791383E-02  0.180144      0.164316      -.164316      0.188058      0.791383E-02  0.172230      0.791383E-02   0.00000       0.00000       0.00000      0.791383E-02
  0.127505E-02  0.522173E-01  0.171065      0.164516E-01  0.822579E-02  0.179291      0.162839      -.162839      0.187516      0.822579E-02  0.171065      0.822579E-02   0.00000       0.00000       0.00000      0.822579E-02
  0.132009E-02  0.560953E-01  0.169900      0.170755E-01  0.853775E-02  0.178437      0.161362      -.161362      0.186975      0.853775E-02  0.169900      0.853775E-02   0.00000       0.00000       0.00000      0.853775E-02
  0.136672E-02  0.599734E-01  0.168734      0.176994E-01  0.884971E-02  0.177584      0.159885      -.159885      0.186434      0.884971E-02  0.168734      0.884971E-02   0.00000       0.00000       0.00000      0.884971E-02
  0.141499E-02  0.638514E-01  0.167569      0.183233E-01  0.916167E-02  0.176731      0.158408      -.158408      0.185893      0.916167E-02  0.167569      0.916167E-02   0.00000       0.00000       0.00000      0.916167E-02
  0.146497E-02  0.677294E-01  0.166404      0.189473E-01  0.947363E-02  0.175878      0.156931      -.156931      0.185351      0.947363E-02  0.166404      0.947363E-02   0.00000       0.00000       0.00000      0.947363E-02
  0.151672E-02  0.716074E-01  0.165239      0.195712E-01  0.978559E-02  0.175025      0.155454      -.155454      0.184810      0.978559E-02  0.165239      0.978559E-02   0.00000       0.00000       0.00000      0.978559E-02
  0.157029E-02  0.767583E-01  0.163756      0.202905E-01  0.101453E-01  0.173901      0.153611      -.153611      0.184046      0.101453E-01  0.163756      0.101453E-01   0.00000       0.00000       0.00000      0.101453E-01
  0.162576E-02  0.835734E-01  0.161857      0.211346E-01  0.105673E-01  0.172424      0.151290      -.151290      0.182992      0.105673E-01  0.161857      0.105673E-01   0.00000       0.00000       0.00000      0.105673E-01
  0.168318E-02  0.903884E-01  0.159958      0.219787E-01  0.109894E-01  0.170947      0.148969      -.148969      0.181937      0.109894E-01  0.159958      0.109894E-01   0.00000       0.00000       0.00000      0.109894E-01
  0.174263E-02  0.972035E-01  0.158059      0.228228E-01  0.114114E-01  0.169471      0.146648      -.146648      0.180882      0.114114E-01  0.158059      0.114114E-01   0.00000       0.00000       0.00000      0.114114E-01
  0.180419E-02  0.104019      0.156160      0.236669E-01  0.118335E-01  0.167994      0.144327      -.144327      0.179827      0.118335E-01  0.156160      0.118335E-01   0.00000       0.00000       0.00000      0.118335E-01
  0.186791E-02  0.110834      0.154261      0.245110E-01  0.122555E-01  0.166517      0.142006      -.142006      0.178772      0.122555E-01  0.154261      0.122555E-01   0.00000       0.00000       0.00000      0.122555E-01
  0.193389E-02  0.117649      0.152362      0.253551E-01  0.126775E-01  0.165040      0.139685      -.139685      0.177717      0.126775E-01  0.152362      0.126775E-01   0.00000       0.00000       0.00000      0.126775E-01
  0.200220E-02  0.124464      0.150463      0.261992E-01  0.130996E-01  0.163563      0.137364      -.137364      0.176663      0.130996E-01  0.150463      0.130996E-01   0.00000       0.00000       0.00000      0.130996E-01
  0.207292E-02  0.131279      0.148564      0.270433E-01  0.135216E-01  0.162086      0.135043      -.135043      0.175608      0.135216E-01  0.148564      0.135216E-01   0.00000       0.00000       0.00000      0.135216E-01
  0.214614E-02  0.142789      0.146264      0.281708E-01  0.140854E-01  0.160349      0.132178      -.132178      0.174435      0.140854E-01  0.146264      0.140854E-01   0.00000       0.00000       0.00000      0.140854E-01
  0.222195E-02  0.154499      0.143946      0.293103E-01  0.146552E-01  0.158601      0.129291      -.129291      0.173257      0.146552E-01  0.143946      0.146552E-01   0.00000       0.00000       0.00000      0.146552E-01
  0.230043E-02  0.166209      0.141628      0.304499E-01  0.152249E-01  0.156853      0.126404      -.126404      0.172078      0.152249E-01  0.141628      0.152249E-01   0.00000       0.00000       0.00000      0.152249E-01
  0.238169E-02  0.177919      0.139311      0.315895E-01  0.157947E-01  0.155106      0.123516      -.123516      0.170900      0.157947E-01  0.139311      0.157947E-01   0.00000       0.00000       0.00000      0.157947E-01
  0.246581E-02  0.189629      0.136993      0.327290E-01  0.163645E-01  0.153358      0.120629      -.120629      0.169722      0.163645E-01  0.136993      0.163645E-01   0.00000       0.00000       0.00000      0.163645E-01
  0.255291E-02  0.201339      0.134675      0.338686E-01  0.169343E-01  0.151610      0.117741      -.117741      0.168544      0.169343E-01  0.134675      0.169343E-01   0.00000       0.00000       0.00000      0.169343E-01
  0.264308E-02  0.213050      0.132358      0.350081E-01  0.175041E-01  0.149862      0.114854      -.114854      0.167366      0.175041E-01  0.132358      0.175041E-01   0.00000       0.00000       0.00000      0.175041E-01
  0.273644E-02  0.224760      0.130040      0.361477E-01  0.180738E-01  0.148114      0.111966      -.111966      0.166188      0.180738E-01  0.130040      0.180738E-01   0.00000       0.00000       0.00000      0.180738E-01
  0.283310E-02  0.240255      0.127576      0.374780E-01  0.187390E-01  0.146315      0.108837      -.108837      0.165055      0.187390E-01  0.127576      0.187390E-01   0.00000       0.00000       0.00000      0.187390E-01
  0.293317E-02  0.259773      0.124958      0.390110E-01  0.195055E-01  0.144464      0.105453      -.105453      0.163969      0.195055E-01  0.124958      0.195055E-01   0.00000       0.00000       0.00000      0.195055E-01
  0.303677E-02  0.279290      0.122340      0.405440E-01  0.202720E-01  0.142612      0.102068      -.102068      0.162884      0.202720E-01  0.122340      0.202720E-01   0.00000       0.00000       0.00000      0.202720E-01
  0.314404E-02  0.298807      0.119721      0.420770E-01  0.210385E-01  0.140760      0.986826E-01  -.986826E-01  0.161798      0.210385E-01  0.119721      0.210385E-01   0.00000       0.00000       0.00000      0.210385E-01
  0.325509E-02  0.318324      0.117103      0.436100E-01  0.218050E-01  0.138908      0.952976E-01  -.952976E-01  0.160713      0.218050E-01  0.117103      0.218050E-01   0.00000       0.00000       0.00000      0.218050E-01
  0.337006E-02  0.337841      0.114484      0.451430E-01  0.225715E-01  0.137056      0.919127E-01  -.919127E-01  0.159627      0.225715E-01  0.114484      0.225715E-01   0.00000       0.00000       0.00000      0.225715E-01
  0.348910E-02  0.357359      0.111866      0.466760E-01  0.233380E-01  0.135204      0.885277E-01  -.885277E-01  0.158542      0.233380E-01  0.111866      0.233380E-01   0.00000       0.00000       0.00000      0.233380E-01
  0.361234E-02  0.376876      0.109247      0.482090E-01  0.241045E-01  0.133352      0.851428E-01  -.851428E-01  0.157456      0.241045E-01  0.109247      0.241045E-01   0.00000       0.00000       0.00000      0.241045E-01
  0.373994E-02  0.396517      0.106627      0.497475E-01  0.248737E-01  0.131500      0.817529E-01  -.817529E-01  0.156374      0.248737E-01  0.106627      0.248737E-01   0.00000       0.00000       0.00000      0.248737E-01
  0.387204E-02  0.427702      0.103804      0.517996E-01  0.258998E-01  0.129703      0.779039E-01  -.779039E-01  0.155603      0.258998E-01  0.103804      0.258998E-01   0.00000       0.00000       0.00000      0.258998E-01
  0.400881E-02  0.458886      0.100981      0.538517E-01  0.269258E-01  0.127907      0.740549E-01  -.740549E-01  0.154832      0.269258E-01  0.100981      0.269258E-01   0.00000       0.00000       0.00000      0.269258E-01
  0.415040E-02  0.490071      0.981579E-01  0.559038E-01  0.279519E-01  0.126110      0.702060E-01  -.702060E-01  0.154062      0.279519E-01  0.981579E-01  0.279519E-01   0.00000       0.00000       0.00000      0.279519E-01
  0.429700E-02  0.521255      0.953349E-01  0.579559E-01  0.289779E-01  0.124313      0.663570E-01  -.663570E-01  0.153291      0.289779E-01  0.953349E-01  0.289779E-01   0.00000       0.00000       0.00000      0.289779E-01
  0.444878E-02  0.552440      0.925120E-01  0.600080E-01  0.300040E-01  0.122516      0.625080E-01  -.625080E-01  0.152520      0.300040E-01  0.925120E-01  0.300040E-01   0.00000       0.00000       0.00000      0.300040E-01
  0.460592E-02  0.583624      0.896891E-01  0.620601E-01  0.310300E-01  0.120719      0.586591E-01  -.586591E-01  0.151749      0.310300E-01  0.896891E-01  0.310300E-01   0.00000       0.00000       0.00000      0.310300E-01
  0.476861E-02  0.614809      0.868662E-01  0.641122E-01  0.320561E-01  0.118922      0.548101E-01  -.548101E-01  0.150978      0.320561E-01  0.868662E-01  0.320561E-01   0.00000       0.00000       0.00000      0.320561E-01
  0.493705E-02  0.645993      0.840433E-01  0.661643E-01  0.330821E-01  0.117125      0.509611E-01  -.509611E-01  0.150208      0.330821E-01  0.840433E-01  0.330821E-01   0.00000       0.00000       0.00000      0.330821E-01
  0.511143E-02  0.685631      0.811815E-01  0.685793E-01  0.342896E-01  0.115471      0.468919E-01  -.468919E-01  0.149761      0.342896E-01  0.811815E-01  0.342896E-01   0.00000       0.00000       0.00000      0.342896E-01
