   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   10.2452      0.733367      0.778594      0.691282      0.820680      0.420857E-01  -.420857E-01   1.51196      0.352621      0.394707      0.352730      0.338661      0.732429E-01   0.00000      0.352730    
  0.103532E-02   10.1581      0.728096      0.772039      0.685429      0.814706      0.426671E-01  -.426671E-01   1.50014      0.349780      0.392447      0.349890      0.335649      0.723698E-01   0.00000      0.349890    
  0.107189E-02   10.0709      0.722825      0.765485      0.679576      0.808733      0.432484E-01  -.432484E-01   1.48831      0.346939      0.390187      0.347049      0.332638      0.714967E-01   0.00000      0.347049    
  0.110975E-02   9.98379      0.717553      0.758930      0.673724      0.802760      0.438297E-01  -.438297E-01   1.47648      0.344098      0.387927      0.344209      0.329626      0.706237E-01   0.00000      0.344209    
  0.114895E-02   9.89665      0.712282      0.752375      0.667871      0.796786      0.444111E-01  -.444111E-01   1.46466      0.341257      0.385668      0.341368      0.326614      0.697506E-01   0.00000      0.341368    
  0.118953E-02   9.81524      0.707326      0.746170      0.662276      0.791220      0.450503E-01  -.450503E-01   1.45350      0.338566      0.383616      0.338678      0.323710      0.689260E-01   0.00000      0.338678    
  0.123155E-02   9.73440      0.702402      0.740001      0.656707      0.785696      0.456954E-01  -.456954E-01   1.44240      0.335891      0.381587      0.336003      0.320816      0.681064E-01   0.00000      0.336003    
  0.127505E-02   9.65356      0.697479      0.733831      0.651138      0.780172      0.463405E-01  -.463405E-01   1.43131      0.333216      0.379557      0.333329      0.317922      0.672868E-01   0.00000      0.333329    
  0.132009E-02   9.57273      0.692555      0.727662      0.645569      0.774648      0.469856E-01  -.469856E-01   1.42022      0.330541      0.377527      0.330654      0.315028      0.664672E-01   0.00000      0.330654    
  0.136672E-02   9.49189      0.687631      0.721493      0.640000      0.769124      0.476307E-01  -.476307E-01   1.40912      0.327866      0.375497      0.327979      0.312134      0.656476E-01   0.00000      0.327979    
  0.141499E-02   9.41106      0.682707      0.715324      0.634431      0.763599      0.482758E-01  -.482758E-01   1.39803      0.325191      0.373467      0.325305      0.309240      0.648280E-01   0.00000      0.325305    
  0.146497E-02   9.33022      0.677783      0.709154      0.628862      0.758075      0.489209E-01  -.489209E-01   1.38694      0.322516      0.371437      0.322630      0.306346      0.640084E-01   0.00000      0.322630    
  0.151672E-02   9.24938      0.672860      0.702985      0.623294      0.752551      0.495660E-01  -.495660E-01   1.37584      0.319841      0.369407      0.319955      0.303453      0.631887E-01   0.00000      0.319955    
  0.157029E-02   9.17105      0.668056      0.696951      0.617815      0.747192      0.502408E-01  -.502408E-01   1.36501      0.317224      0.367465      0.317338      0.300591      0.623889E-01   0.00000      0.317338    
  0.162576E-02   9.09599      0.663408      0.691095      0.612454      0.742049      0.509544E-01  -.509544E-01   1.35450      0.314683      0.365637      0.314797      0.297771      0.616150E-01   0.00000      0.314797    
  0.168318E-02   9.02093      0.658761      0.685239      0.607093      0.736907      0.516681E-01  -.516681E-01   1.34400      0.312141      0.363809      0.312256      0.294952      0.608411E-01   0.00000      0.312256    
  0.174263E-02   8.94587      0.654114      0.679382      0.601732      0.731764      0.523817E-01  -.523817E-01   1.33350      0.309600      0.361982      0.309715      0.292132      0.600672E-01   0.00000      0.309715    
  0.180419E-02   8.87081      0.649467      0.673526      0.596371      0.726621      0.530954E-01  -.530954E-01   1.32299      0.307059      0.360154      0.307174      0.289313      0.592933E-01   0.00000      0.307174    
  0.186791E-02   8.79575      0.644820      0.667670      0.591011      0.721479      0.538090E-01  -.538090E-01   1.31249      0.304517      0.358326      0.304633      0.286493      0.585194E-01   0.00000      0.304633    
  0.193389E-02   8.72069      0.640172      0.661813      0.585650      0.716336      0.545227E-01  -.545227E-01   1.30199      0.301976      0.356499      0.302092      0.283674      0.577454E-01   0.00000      0.302092    
  0.200220E-02   8.64563      0.635525      0.655957      0.580289      0.711193      0.552363E-01  -.552363E-01   1.29148      0.299435      0.354671      0.299551      0.280854      0.569715E-01   0.00000      0.299551    
