   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.92338      0.164930      0.303928E-01  0.151964E-01  0.180127      0.149734      -.149734      0.195323      0.151964E-01  0.164930      0.151964E-01   0.00000       0.00000       0.00000      0.151964E-01
  0.103532E-02   5.82047      0.165719      0.312469E-01  0.156234E-01  0.181342      0.150095      -.150095      0.196966      0.156234E-01  0.165719      0.156234E-01   0.00000       0.00000       0.00000      0.156234E-01
  0.107189E-02   5.71755      0.166507      0.321009E-01  0.160505E-01  0.182558      0.150457      -.150457      0.198608      0.160505E-01  0.166507      0.160505E-01   0.00000       0.00000       0.00000      0.160505E-01
  0.110975E-02   5.61464      0.167296      0.329549E-01  0.164775E-01  0.183773      0.150818      -.150818      0.200251      0.164775E-01  0.167296      0.164775E-01   0.00000       0.00000       0.00000      0.164775E-01
  0.114895E-02   5.51172      0.168084      0.338090E-01  0.169045E-01  0.184989      0.151180      -.151180      0.201893      0.169045E-01  0.168084      0.169045E-01   0.00000       0.00000       0.00000      0.169045E-01
  0.118953E-02   5.42107      0.168102      0.348654E-01  0.174327E-01  0.185535      0.150669      -.150669      0.202967      0.174327E-01  0.168102      0.174327E-01   0.00000       0.00000       0.00000      0.174327E-01
  0.123155E-02   5.33166      0.168041      0.359424E-01  0.179712E-01  0.186012      0.150070      -.150070      0.203984      0.179712E-01  0.168041      0.179712E-01   0.00000       0.00000       0.00000      0.179712E-01
  0.127505E-02   5.24225      0.167980      0.370194E-01  0.185097E-01  0.186490      0.149471      -.149471      0.205000      0.185097E-01  0.167980      0.185097E-01   0.00000       0.00000       0.00000      0.185097E-01
  0.132009E-02   5.15284      0.167919      0.380964E-01  0.190482E-01  0.186968      0.148871      -.148871      0.206016      0.190482E-01  0.167919      0.190482E-01   0.00000       0.00000       0.00000      0.190482E-01
  0.136672E-02   5.06344      0.167859      0.391735E-01  0.195867E-01  0.187445      0.148272      -.148272      0.207032      0.195867E-01  0.167859      0.195867E-01   0.00000       0.00000       0.00000      0.195867E-01
  0.141499E-02   4.97403      0.167798      0.402505E-01  0.201252E-01  0.187923      0.147673      -.147673      0.208048      0.201252E-01  0.167798      0.201252E-01   0.00000       0.00000       0.00000      0.201252E-01
  0.146497E-02   4.88462      0.167737      0.413275E-01  0.206638E-01  0.188401      0.147073      -.147073      0.209064      0.206638E-01  0.167737      0.206638E-01   0.00000       0.00000       0.00000      0.206638E-01
  0.151672E-02   4.79521      0.167676      0.424045E-01  0.212023E-01  0.188878      0.146474      -.146474      0.210081      0.212023E-01  0.167676      0.212023E-01   0.00000       0.00000       0.00000      0.212023E-01
  0.157029E-02   4.71086      0.167399      0.436033E-01  0.218017E-01  0.189201      0.145598      -.145598      0.211003      0.218017E-01  0.167399      0.218017E-01   0.00000       0.00000       0.00000      0.218017E-01
  0.162576E-02   4.63313      0.166840      0.449613E-01  0.224807E-01  0.189321      0.144360      -.144360      0.211802      0.224807E-01  0.166840      0.224807E-01   0.00000       0.00000       0.00000      0.224807E-01
  0.168318E-02   4.55541      0.166281      0.463194E-01  0.231597E-01  0.189441      0.143122      -.143122      0.212601      0.231597E-01  0.166281      0.231597E-01   0.00000       0.00000       0.00000      0.231597E-01
  0.174263E-02   4.47768      0.165722      0.476774E-01  0.238387E-01  0.189561      0.141884      -.141884      0.213400      0.238387E-01  0.165722      0.238387E-01   0.00000       0.00000       0.00000      0.238387E-01
  0.180419E-02   4.39995      0.165163      0.490354E-01  0.245177E-01  0.189681      0.140645      -.140645      0.214199      0.245177E-01  0.165163      0.245177E-01   0.00000       0.00000       0.00000      0.245177E-01
  0.186791E-02   4.32222      0.164604      0.503935E-01  0.251967E-01  0.189801      0.139407      -.139407      0.214998      0.251967E-01  0.164604      0.251967E-01   0.00000       0.00000       0.00000      0.251967E-01
  0.193389E-02   4.24449      0.164045      0.517515E-01  0.258757E-01  0.189921      0.138169      -.138169      0.215797      0.258757E-01  0.164045      0.258757E-01   0.00000       0.00000       0.00000      0.258757E-01
  0.200220E-02   4.16676      0.163486      0.531095E-01  0.265548E-01  0.190041      0.136931      -.136931      0.216596      0.265548E-01  0.163486      0.265548E-01   0.00000       0.00000       0.00000      0.265548E-01
  0.207292E-02   4.08903      0.162927      0.544675E-01  0.272338E-01  0.190161      0.135693      -.135693      0.217395      0.272338E-01  0.162927      0.272338E-01   0.00000       0.00000       0.00000      0.272338E-01
  0.214614E-02   4.02097      0.162095      0.561629E-01  0.280814E-01  0.190176      0.134013      -.134013      0.218258      0.280814E-01  0.162095      0.280814E-01   0.00000       0.00000       0.00000      0.280814E-01
  0.222195E-02   3.95331      0.161251      0.578726E-01  0.289363E-01  0.190187      0.132314      -.132314      0.219123      0.289363E-01  0.161251      0.289363E-01   0.00000       0.00000       0.00000      0.289363E-01
  0.230043E-02   3.88566      0.160406      0.595824E-01  0.297912E-01  0.190198      0.130615      -.130615      0.219989      0.297912E-01  0.160406      0.297912E-01   0.00000       0.00000       0.00000      0.297912E-01
  0.238169E-02   3.81800      0.159562      0.612921E-01  0.306460E-01  0.190208      0.128916      -.128916      0.220854      0.306460E-01  0.159562      0.306460E-01   0.00000       0.00000       0.00000      0.306460E-01
  0.246581E-02   3.75035      0.158718      0.630018E-01  0.315009E-01  0.190219      0.127217      -.127217      0.221720      0.315009E-01  0.158718      0.315009E-01   0.00000       0.00000       0.00000      0.315009E-01
  0.255291E-02   3.68269      0.157874      0.647116E-01  0.323558E-01  0.190230      0.125518      -.125518      0.222586      0.323558E-01  0.157874      0.323558E-01   0.00000       0.00000       0.00000      0.323558E-01
  0.264308E-02   3.61504      0.157030      0.664213E-01  0.332106E-01  0.190241      0.123819      -.123819      0.223451      0.332106E-01  0.157030      0.332106E-01   0.00000       0.00000       0.00000      0.332106E-01
  0.273644E-02   3.54739      0.156186      0.681310E-01  0.340655E-01  0.190251      0.122120      -.122120      0.224317      0.340655E-01  0.156186      0.340655E-01   0.00000       0.00000       0.00000      0.340655E-01
  0.283310E-02   3.48394      0.155238      0.700522E-01  0.350261E-01  0.190264      0.120211      -.120211      0.225290      0.350261E-01  0.155238      0.350261E-01   0.00000       0.00000       0.00000      0.350261E-01
  0.293317E-02   3.42495      0.154179      0.721980E-01  0.360990E-01  0.190278      0.118080      -.118080      0.226377      0.360990E-01  0.154179      0.360990E-01   0.00000       0.00000       0.00000      0.360990E-01
  0.303677E-02   3.36597      0.153120      0.743439E-01  0.371719E-01  0.190292      0.115948      -.115948      0.227464      0.371719E-01  0.153120      0.371719E-01   0.00000       0.00000       0.00000      0.371719E-01
  0.314404E-02   3.30699      0.152061      0.764897E-01  0.382448E-01  0.190306      0.113816      -.113816      0.228551      0.382448E-01  0.152061      0.382448E-01   0.00000       0.00000       0.00000      0.382448E-01
  0.325509E-02   3.24800      0.151002      0.786355E-01  0.393178E-01  0.190320      0.111684      -.111684      0.229638      0.393178E-01  0.151002      0.393178E-01   0.00000       0.00000       0.00000      0.393178E-01
  0.337006E-02   3.18902      0.149943      0.807813E-01  0.403907E-01  0.190334      0.109553      -.109553      0.230725      0.403907E-01  0.149943      0.403907E-01   0.00000       0.00000       0.00000      0.403907E-01
  0.348910E-02   3.13004      0.148884      0.829272E-01  0.414636E-01  0.190348      0.107421      -.107421      0.231812      0.414636E-01  0.148884      0.414636E-01   0.00000       0.00000       0.00000      0.414636E-01
  0.361234E-02   3.07105      0.147826      0.850730E-01  0.425365E-01  0.190362      0.105289      -.105289      0.232899      0.425365E-01  0.147826      0.425365E-01   0.00000       0.00000       0.00000      0.425365E-01
  0.373994E-02   3.01215      0.146765      0.872245E-01  0.436123E-01  0.190377      0.103153      -.103153      0.233989      0.436123E-01  0.146765      0.436123E-01   0.00000       0.00000       0.00000      0.436123E-01
  0.387204E-02   2.96062      0.145542      0.899057E-01  0.449529E-01  0.190494      0.100589      -.100589      0.235447      0.449529E-01  0.145542      0.449529E-01   0.00000       0.00000       0.00000      0.449529E-01
  0.400881E-02   2.90908      0.144318      0.925869E-01  0.462935E-01  0.190612      0.980247E-01  -.980247E-01  0.236905      0.462935E-01  0.144318      0.462935E-01   0.00000       0.00000       0.00000      0.462935E-01
  0.415040E-02   2.85755      0.143095      0.952681E-01  0.476341E-01  0.190729      0.954607E-01  -.954607E-01  0.238363      0.476341E-01  0.143095      0.476341E-01   0.00000       0.00000       0.00000      0.476341E-01
  0.429700E-02   2.80602      0.141871      0.979493E-01  0.489747E-01  0.190846      0.928967E-01  -.928967E-01  0.239821      0.489747E-01  0.141871      0.489747E-01   0.00000       0.00000       0.00000      0.489747E-01
  0.444878E-02   2.75448      0.140648      0.100631      0.503153E-01  0.190963      0.903327E-01  -.903327E-01  0.241279      0.503153E-01  0.140648      0.503153E-01   0.00000       0.00000       0.00000      0.503153E-01
  0.460592E-02   2.70295      0.139425      0.103312      0.516559E-01  0.191080      0.877687E-01  -.877687E-01  0.242736      0.516559E-01  0.139425      0.516559E-01   0.00000       0.00000       0.00000      0.516559E-01
  0.476861E-02   2.65142      0.138201      0.105993      0.529965E-01  0.191198      0.852048E-01  -.852048E-01  0.244194      0.529965E-01  0.138201      0.529965E-01   0.00000       0.00000       0.00000      0.529965E-01
  0.493705E-02   2.59988      0.136978      0.108674      0.543371E-01  0.191315      0.826408E-01  -.826408E-01  0.245652      0.543371E-01  0.136978      0.543371E-01   0.00000       0.00000       0.00000      0.543371E-01
  0.511143E-02   2.55178      0.135704      0.111703      0.558517E-01  0.191556      0.798523E-01  -.798523E-01  0.247407      0.558517E-01  0.135704      0.558517E-01   0.00000       0.00000       0.00000      0.558517E-01
  0.529198E-02   2.50663      0.134387      0.115033      0.575166E-01  0.191903      0.768700E-01  -.768700E-01  0.249420      0.575166E-01  0.134387      0.575166E-01   0.00000       0.00000       0.00000      0.575166E-01
  0.547890E-02   2.46149      0.133069      0.118363      0.591815E-01  0.192251      0.738876E-01  -.738876E-01  0.251432      0.591815E-01  0.133069      0.591815E-01   0.00000       0.00000       0.00000      0.591815E-01
  0.567243E-02   2.41635      0.131752      0.121693      0.608464E-01  0.192598      0.709052E-01  -.709052E-01  0.253445      0.608464E-01  0.131752      0.608464E-01   0.00000       0.00000       0.00000      0.608464E-01
  0.587279E-02   2.37120      0.130434      0.125023      0.625114E-01  0.192946      0.679229E-01  -.679229E-01  0.255457      0.625114E-01  0.130434      0.625114E-01   0.00000       0.00000       0.00000      0.625114E-01
  0.608022E-02   2.32606      0.129117      0.128353      0.641763E-01  0.193293      0.649405E-01  -.649405E-01  0.257469      0.641763E-01  0.129117      0.641763E-01   0.00000       0.00000       0.00000      0.641763E-01
  0.629499E-02   2.28091      0.127799      0.131682      0.658412E-01  0.193641      0.619581E-01  -.619581E-01  0.259482      0.658412E-01  0.127799      0.658412E-01   0.00000       0.00000       0.00000      0.658412E-01
  0.651734E-02   2.23577      0.126482      0.135012      0.675062E-01  0.193988      0.589758E-01  -.589758E-01  0.261494      0.675062E-01  0.126482      0.675062E-01   0.00000       0.00000       0.00000      0.675062E-01
  0.674754E-02   2.19097      0.125165      0.138390      0.691951E-01  0.194360      0.559701E-01  -.559701E-01  0.263555      0.691951E-01  0.125165      0.691951E-01   0.00000       0.00000       0.00000      0.691951E-01
  0.698588E-02   2.15130      0.123858      0.142491      0.712457E-01  0.195104      0.526127E-01  -.526127E-01  0.266350      0.712457E-01  0.123858      0.712457E-01   0.00000       0.00000       0.00000      0.712457E-01
  0.723263E-02   2.11163      0.122552      0.146593      0.732963E-01  0.195848      0.492552E-01  -.492552E-01  0.269144      0.732963E-01  0.122552      0.732963E-01   0.00000       0.00000       0.00000      0.732963E-01
  0.748810E-02   2.07195      0.121245      0.150694      0.753469E-01  0.196592      0.458978E-01  -.458978E-01  0.271939      0.753469E-01  0.121245      0.753469E-01   0.00000       0.00000       0.00000      0.753469E-01
  0.775260E-02   2.03228      0.119938      0.154795      0.773975E-01  0.197335      0.425403E-01  -.425403E-01  0.274733      0.773975E-01  0.119938      0.773975E-01   0.00000       0.00000       0.00000      0.773975E-01
  0.802643E-02   1.99261      0.118631      0.158896      0.794481E-01  0.198079      0.391829E-01  -.391829E-01  0.277527      0.794481E-01  0.118631      0.794481E-01   0.00000       0.00000       0.00000      0.794481E-01
  0.830994E-02   1.95294      0.117324      0.162998      0.814988E-01  0.198823      0.358255E-01  -.358255E-01  0.280322      0.814988E-01  0.117324      0.814988E-01   0.00000       0.00000       0.00000      0.814988E-01
  0.860346E-02   1.91327      0.116017      0.167099      0.835494E-01  0.199567      0.324680E-01  -.324680E-01  0.283116      0.835494E-01  0.116017      0.835494E-01   0.00000       0.00000       0.00000      0.835494E-01
  0.890735E-02   1.87360      0.114711      0.171200      0.856000E-01  0.200311      0.291106E-01  -.291106E-01  0.285911      0.856000E-01  0.114711      0.856000E-01   0.00000       0.00000       0.00000      0.856000E-01
