   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.4061      0.869906      0.934854      0.831318      0.973443      0.385890E-01  -.385890E-01   1.80476      0.426950      0.465539      0.427062      0.404368      0.808419E-01   0.00000      0.427062    
  0.103532E-02   13.2188      0.858436      0.921632      0.819275      0.960794      0.391615E-01  -.391615E-01   1.78007      0.421008      0.460170      0.421121      0.398267      0.795028E-01   0.00000      0.421121    
  0.107189E-02   13.0316      0.846966      0.908410      0.807232      0.948144      0.397340E-01  -.397340E-01   1.75538      0.415066      0.454800      0.415180      0.392166      0.781637E-01   0.00000      0.415180    
  0.110975E-02   12.8444      0.835496      0.895188      0.795189      0.935494      0.403065E-01  -.403065E-01   1.73068      0.409125      0.449431      0.409238      0.386065      0.768247E-01   0.00000      0.409238    
  0.114895E-02   12.6572      0.824025      0.881966      0.783146      0.922845      0.408790E-01  -.408790E-01   1.70599      0.403183      0.444062      0.403297      0.379964      0.754856E-01   0.00000      0.403297    
  0.118953E-02   12.4843      0.813606      0.869915      0.772091      0.911429      0.415142E-01  -.415142E-01   1.68352      0.397766      0.439281      0.397881      0.374325      0.742677E-01   0.00000      0.397881    
  0.123155E-02   12.3130      0.803293      0.857984      0.761137      0.900140      0.421559E-01  -.421559E-01   1.66128      0.392403      0.434559      0.392518      0.368734      0.730622E-01   0.00000      0.392518    
  0.127505E-02   12.1416      0.792980      0.846052      0.750183      0.888850      0.427976E-01  -.427976E-01   1.63903      0.387040      0.429837      0.387156      0.363143      0.718567E-01   0.00000      0.387156    
  0.132009E-02   11.9703      0.782667      0.834121      0.739228      0.877560      0.434392E-01  -.434392E-01   1.61679      0.381677      0.425116      0.381793      0.357551      0.706512E-01   0.00000      0.381793    
  0.136672E-02   11.7989      0.772355      0.822189      0.728274      0.866270      0.440809E-01  -.440809E-01   1.59454      0.376314      0.420394      0.376430      0.351960      0.694457E-01   0.00000      0.376430    
  0.141499E-02   11.6276      0.762042      0.810258      0.717319      0.854980      0.447226E-01  -.447226E-01   1.57230      0.370950      0.415673      0.371067      0.346369      0.682402E-01   0.00000      0.371067    
  0.146497E-02   11.4562      0.751729      0.798326      0.706365      0.843691      0.453643E-01  -.453643E-01   1.55006      0.365587      0.410951      0.365704      0.340778      0.670348E-01   0.00000      0.365704    
  0.151672E-02   11.2849      0.741416      0.786395      0.695410      0.832401      0.460059E-01  -.460059E-01   1.52781      0.360224      0.406230      0.360342      0.335186      0.658293E-01   0.00000      0.360342    
  0.157029E-02   11.1199      0.731581      0.774996      0.684900      0.821676      0.466803E-01  -.466803E-01   1.50658      0.355101      0.401781      0.355219      0.329800      0.646768E-01   0.00000      0.355219    
  0.162576E-02   10.9632      0.722369      0.764293      0.674972      0.811690      0.473974E-01  -.473974E-01   1.48666      0.350290      0.397688      0.350409      0.324681      0.635936E-01   0.00000      0.350409    
  0.168318E-02   10.8064      0.713157      0.753590      0.665043      0.801704      0.481145E-01  -.481145E-01   1.46675      0.345480      0.393595      0.345599      0.319562      0.625105E-01   0.00000      0.345599    
  0.174263E-02   10.6497      0.703946      0.742887      0.655114      0.791718      0.488316E-01  -.488316E-01   1.44683      0.340670      0.389502      0.340789      0.314444      0.614274E-01   0.00000      0.340789    
  0.180419E-02   10.4930      0.694734      0.732184      0.645185      0.781733      0.495488E-01  -.495488E-01   1.42692      0.335860      0.385409      0.335979      0.309325      0.603442E-01   0.00000      0.335979    
  0.186791E-02   10.3363      0.685522      0.721481      0.635256      0.771747      0.502659E-01  -.502659E-01   1.40700      0.331050      0.381316      0.331170      0.304206      0.592611E-01   0.00000      0.331170    
  0.193389E-02   10.1795      0.676311      0.710778      0.625328      0.761761      0.509830E-01  -.509830E-01   1.38709      0.326240      0.377223      0.326360      0.299088      0.581779E-01   0.00000      0.326360    
  0.200220E-02   10.0228      0.667099      0.700075      0.615399      0.751775      0.517001E-01  -.517001E-01   1.36717      0.321430      0.373130      0.321550      0.293969      0.570948E-01   0.00000      0.321550    
  0.207292E-02   9.86608      0.657887      0.689372      0.605470      0.741789      0.524172E-01  -.524172E-01   1.34726      0.316620      0.369037      0.316740      0.288850      0.560117E-01   0.00000      0.316740    
  0.214614E-02   9.72224      0.649686      0.679799      0.596474      0.733011      0.532123E-01  -.532123E-01   1.32948      0.312321      0.365533      0.312442      0.284153      0.550360E-01   0.00000      0.312442    
  0.222195E-02   9.57895      0.641527      0.670274      0.587517      0.724284      0.540106E-01  -.540106E-01   1.31180      0.308044      0.362055      0.308165      0.279473      0.540650E-01   0.00000      0.308165    
  0.230043E-02   9.43566      0.633369      0.660748      0.578560      0.715557      0.548089E-01  -.548089E-01   1.29412      0.303767      0.358576      0.303888      0.274793      0.530939E-01   0.00000      0.303888    
  0.238169E-02   9.29237      0.625210      0.651223      0.569603      0.706831      0.556073E-01  -.556073E-01   1.27643      0.299490      0.355097      0.299611      0.270113      0.521229E-01   0.00000      0.299611    
