   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.58148      0.178307E-01  0.206057E-01  0.103028E-01  0.281336E-01  0.752790E-02  -.752790E-02  0.384364E-01  0.103028E-01  0.178307E-01  0.103028E-01   0.00000       0.00000       0.00000      0.103028E-01
  0.103532E-02   5.50836      0.182805E-01  0.211203E-01  0.105601E-01  0.288406E-01  0.772038E-02  -.772038E-02  0.394008E-01  0.105601E-01  0.182805E-01  0.105601E-01   0.00000       0.00000       0.00000      0.105601E-01
  0.107189E-02   5.43524      0.187303E-01  0.216348E-01  0.108174E-01  0.295477E-01  0.791285E-02  -.791285E-02  0.403651E-01  0.108174E-01  0.187303E-01  0.108174E-01   0.00000       0.00000       0.00000      0.108174E-01
  0.110975E-02   5.36212      0.191800E-01  0.221494E-01  0.110747E-01  0.302547E-01  0.810533E-02  -.810533E-02  0.413294E-01  0.110747E-01  0.191800E-01  0.110747E-01   0.00000       0.00000       0.00000      0.110747E-01
  0.114895E-02   5.28900      0.196298E-01  0.226640E-01  0.113320E-01  0.309618E-01  0.829780E-02  -.829780E-02  0.422938E-01  0.113320E-01  0.196298E-01  0.113320E-01   0.00000       0.00000       0.00000      0.113320E-01
  0.118953E-02   5.22270      0.201763E-01  0.232871E-01  0.116435E-01  0.318199E-01  0.853280E-02  -.853280E-02  0.434634E-01  0.116435E-01  0.201763E-01  0.116435E-01   0.00000       0.00000       0.00000      0.116435E-01
  0.123155E-02   5.15709      0.207327E-01  0.239212E-01  0.119606E-01  0.326933E-01  0.877212E-02  -.877212E-02  0.446539E-01  0.119606E-01  0.207327E-01  0.119606E-01   0.00000       0.00000       0.00000      0.119606E-01
  0.127505E-02   5.09149      0.212891E-01  0.245553E-01  0.122776E-01  0.335667E-01  0.901145E-02  -.901145E-02  0.458444E-01  0.122776E-01  0.212891E-01  0.122776E-01   0.00000       0.00000       0.00000      0.122776E-01
  0.132009E-02   5.02589      0.218455E-01  0.251894E-01  0.125947E-01  0.344402E-01  0.925077E-02  -.925077E-02  0.470349E-01  0.125947E-01  0.218455E-01  0.125947E-01   0.00000       0.00000       0.00000      0.125947E-01
  0.136672E-02   4.96028      0.224019E-01  0.258235E-01  0.129118E-01  0.353136E-01  0.949010E-02  -.949010E-02  0.482254E-01  0.129118E-01  0.224019E-01  0.129118E-01   0.00000       0.00000       0.00000      0.129118E-01
  0.141499E-02   4.89468      0.229582E-01  0.264576E-01  0.132288E-01  0.361870E-01  0.972942E-02  -.972942E-02  0.494159E-01  0.132288E-01  0.229582E-01  0.132288E-01   0.00000       0.00000       0.00000      0.132288E-01
  0.146497E-02   4.82908      0.235146E-01  0.270917E-01  0.135459E-01  0.370605E-01  0.996875E-02  -.996875E-02  0.506064E-01  0.135459E-01  0.235146E-01  0.135459E-01   0.00000       0.00000       0.00000      0.135459E-01
  0.151672E-02   4.76347      0.240710E-01  0.277259E-01  0.138629E-01  0.379339E-01  0.102081E-01  -.102081E-01  0.517969E-01  0.138629E-01  0.240710E-01  0.138629E-01   0.00000       0.00000       0.00000      0.138629E-01
  0.157029E-02   4.70078      0.246841E-01  0.284230E-01  0.142115E-01  0.388956E-01  0.104726E-01  -.104726E-01  0.531071E-01  0.142115E-01  0.246841E-01  0.142115E-01   0.00000       0.00000       0.00000      0.142115E-01
  0.162576E-02   4.64189      0.253714E-01  0.292026E-01  0.146013E-01  0.399727E-01  0.107701E-01  -.107701E-01  0.545741E-01  0.146013E-01  0.253714E-01  0.146013E-01   0.00000       0.00000       0.00000      0.146013E-01
