   5.00000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.47705      0.798132       1.45223      0.819495       1.43087      -.213628E-01  0.213628E-01   2.25036      0.736769      0.715406      0.715460      0.827264E-01   0.00000       0.00000      0.715460    
  0.103532E-02   4.42608      0.789555       1.43766      0.811302       1.41591      -.217462E-01  0.217462E-01   2.22721      0.729675      0.707929      0.707984      0.816261E-01   0.00000       0.00000      0.707984    
  0.107189E-02   4.37512      0.780978       1.42309      0.803108       1.40096      -.221296E-01  0.221296E-01   2.20407      0.722582      0.700452      0.700507      0.805258E-01   0.00000       0.00000      0.700507    
  0.110975E-02   4.32416      0.772401       1.40852      0.794914       1.38601      -.225130E-01  0.225130E-01   2.18092      0.715489      0.692976      0.693031      0.794256E-01   0.00000       0.00000      0.693031    
  0.114895E-02   4.27320      0.763824       1.39395      0.786720       1.37105      -.228964E-01  0.228964E-01   2.15777      0.708395      0.685499      0.685554      0.783253E-01   0.00000       0.00000      0.685554    
  0.118953E-02   4.22572      0.755838       1.38045      0.779174       1.35712      -.233368E-01  0.233368E-01   2.13629      0.701867      0.678530      0.678586      0.773076E-01   0.00000       0.00000      0.678586    
  0.123155E-02   4.17859      0.747911       1.36707      0.771694       1.34328      -.237830E-01  0.237830E-01   2.11498      0.695396      0.671613      0.671670      0.762982E-01   0.00000       0.00000      0.671670    
  0.127505E-02   4.13146      0.739985       1.35368      0.764214       1.32945      -.242292E-01  0.242292E-01   2.09366      0.688925      0.664696      0.664753      0.752889E-01   0.00000       0.00000      0.664753    
  0.132009E-02   4.08434      0.732059       1.34029      0.756734       1.31562      -.246754E-01  0.246754E-01   2.07235      0.682455      0.657779      0.657837      0.742795E-01   0.00000       0.00000      0.657837    
  0.136672E-02   4.03721      0.724133       1.32690      0.749254       1.30178      -.251216E-01  0.251216E-01   2.05104      0.675984      0.650862      0.650920      0.732702E-01   0.00000       0.00000      0.650920    
  0.141499E-02   3.99008      0.716206       1.31352      0.741774       1.28795      -.255678E-01  0.255678E-01   2.02972      0.669513      0.643945      0.644003      0.722609E-01   0.00000       0.00000      0.644003    
  0.146497E-02   3.94295      0.708280       1.30013      0.734294       1.27412      -.260140E-01  0.260140E-01   2.00841      0.663043      0.637029      0.637087      0.712515E-01   0.00000       0.00000      0.637087    
  0.151672E-02   3.89583      0.700354       1.28674      0.726814       1.26028      -.264602E-01  0.264602E-01   1.98710      0.656572      0.630112      0.630170      0.702422E-01   0.00000       0.00000      0.630170    
  0.157029E-02   3.85025      0.692690       1.27384      0.719628       1.24690      -.269380E-01  0.269380E-01   1.96653      0.650359      0.623421      0.623480      0.692694E-01   0.00000       0.00000      0.623480    
  0.162576E-02   3.80670      0.685369       1.26157      0.712826       1.23411      -.274570E-01  0.274570E-01   1.94694      0.644482      0.617025      0.617084      0.683444E-01   0.00000       0.00000      0.617084    
  0.168318E-02   3.76315      0.678048       1.24929      0.706025       1.22132      -.279761E-01  0.279761E-01   1.92734      0.638605      0.610629      0.610689      0.674194E-01   0.00000       0.00000      0.610689    
  0.174263E-02   3.71960      0.670728       1.23702      0.699223       1.20853      -.284951E-01  0.284951E-01   1.90775      0.632729      0.604233      0.604294      0.664944E-01   0.00000       0.00000      0.604294    
  0.180419E-02   3.67605      0.663407       1.22475      0.692421       1.19574      -.290142E-01  0.290142E-01   1.88816      0.626852      0.597838      0.597898      0.655693E-01   0.00000       0.00000      0.597898    
  0.186791E-02   3.63251      0.656086       1.21248      0.685620       1.18294      -.295333E-01  0.295333E-01   1.86856      0.620975      0.591442      0.591503      0.646443E-01   0.00000       0.00000      0.591503    
  0.193389E-02   3.58896      0.648766       1.20021      0.678818       1.17015      -.300523E-01  0.300523E-01   1.84897      0.615099      0.585046      0.585108      0.637193E-01   0.00000       0.00000      0.585108    
  0.200220E-02   3.54541      0.641445       1.18793      0.672016       1.15736      -.305714E-01  0.305714E-01   1.82938      0.609222      0.578650      0.578712      0.627943E-01   0.00000       0.00000      0.578712    
  0.207292E-02   3.50186      0.634124       1.17566      0.665215       1.14457      -.310904E-01  0.310904E-01   1.80979      0.603345      0.572255      0.572317      0.618693E-01   0.00000       0.00000      0.572317    
  0.214614E-02   3.46151      0.627344       1.16440      0.659034       1.13271      -.316905E-01  0.316905E-01   1.79175      0.598015      0.566324      0.566387      0.610193E-01   0.00000       0.00000      0.566387    
  0.222195E-02   3.42129      0.620586       1.15318      0.652880       1.12089      -.322940E-01  0.322940E-01   1.77377      0.592708      0.560414      0.560476      0.601725E-01   0.00000       0.00000      0.560476    
  0.230043E-02   3.38107      0.613829       1.14197      0.646726       1.10907      -.328976E-01  0.328976E-01   1.75580      0.587401      0.554503      0.554566      0.593257E-01   0.00000       0.00000      0.554566    
  0.238169E-02   3.34086      0.607071       1.13075      0.640572       1.09725      -.335011E-01  0.335011E-01   1.73782      0.582094      0.548592      0.548656      0.584789E-01   0.00000       0.00000      0.548656    
  0.246581E-02   3.30064      0.600314       1.11953      0.634419       1.08543      -.341046E-01  0.341046E-01   1.71985      0.576786      0.542682      0.542745      0.576321E-01   0.00000       0.00000      0.542745    
  0.255291E-02   3.26043      0.593556       1.10831      0.628265       1.07361      -.347082E-01  0.347082E-01   1.70187      0.571479      0.536771      0.536835      0.567853E-01   0.00000       0.00000      0.536835    
  0.264308E-02   3.22021      0.586799       1.09710      0.622111       1.06179      -.353117E-01  0.353117E-01   1.68390      0.566172      0.530861      0.530925      0.559385E-01   0.00000       0.00000      0.530925    
  0.273644E-02   3.17999      0.580042       1.08588      0.615957       1.04996      -.359152E-01  0.359152E-01   1.66592      0.560865      0.524950      0.525014      0.550916E-01   0.00000       0.00000      0.525014    
  0.283310E-02   3.14128      0.573538       1.07515      0.610104       1.03858      -.365662E-01  0.365662E-01   1.64869      0.555824      0.519258      0.519323      0.542800E-01   0.00000       0.00000      0.519323    
