   3.00000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   9.23619      0.342450      0.553997      0.369017      0.527430      -.265666E-01  0.265666E-01  0.896447      0.290267      0.263701      0.263730      0.787492E-01   0.00000       0.00000      0.263730    
  0.103532E-02   9.12308      0.338360      0.548529      0.365360      0.521529      -.270000E-01  0.270000E-01  0.886889      0.287750      0.260750      0.260779      0.776096E-01   0.00000       0.00000      0.260779    
  0.107189E-02   9.00997      0.334269      0.543061      0.361703      0.515628      -.274333E-01  0.274333E-01  0.877331      0.285233      0.257799      0.257829      0.764700E-01   0.00000       0.00000      0.257829    
  0.110975E-02   8.89685      0.330179      0.537593      0.358046      0.509727      -.278667E-01  0.278667E-01  0.867773      0.282715      0.254849      0.254878      0.753304E-01   0.00000       0.00000      0.254878    
  0.114895E-02   8.78374      0.326089      0.532126      0.354389      0.503826      -.283000E-01  0.283000E-01  0.858215      0.280198      0.251898      0.251928      0.741909E-01   0.00000       0.00000      0.251928    
  0.118953E-02   8.67882      0.322310      0.527145      0.351101      0.498354      -.287912E-01  0.287912E-01  0.849455      0.277953      0.249162      0.249192      0.731481E-01   0.00000       0.00000      0.249192    
  0.123155E-02   8.57473      0.318563      0.522213      0.347851      0.492925      -.292883E-01  0.292883E-01  0.840776      0.275736      0.246448      0.246477      0.721153E-01   0.00000       0.00000      0.246477    
  0.127505E-02   8.47065      0.314816      0.517282      0.344601      0.487497      -.297854E-01  0.297854E-01  0.832098      0.273519      0.243733      0.243763      0.710824E-01   0.00000       0.00000      0.243763    
  0.132009E-02   8.36656      0.311069      0.512351      0.341351      0.482068      -.302825E-01  0.302825E-01  0.823419      0.271302      0.241019      0.241049      0.700495E-01   0.00000       0.00000      0.241049    
  0.136672E-02   8.26247      0.307321      0.507420      0.338101      0.476640      -.307797E-01  0.307797E-01  0.814741      0.269084      0.238305      0.238335      0.690167E-01   0.00000       0.00000      0.238335    
  0.141499E-02   8.15838      0.303574      0.502488      0.334851      0.471211      -.312768E-01  0.312768E-01  0.806062      0.266867      0.235590      0.235621      0.679838E-01   0.00000       0.00000      0.235621    
  0.146497E-02   8.05429      0.299827      0.497557      0.331601      0.465783      -.317739E-01  0.317739E-01  0.797384      0.264650      0.232876      0.232907      0.669509E-01   0.00000       0.00000      0.232907    
  0.151672E-02   7.95021      0.296080      0.492626      0.328351      0.460355      -.322710E-01  0.322710E-01  0.788705      0.262433      0.230162      0.230193      0.659181E-01   0.00000       0.00000      0.230193    
  0.157029E-02   7.84977      0.292470      0.487915      0.325270      0.455116      -.327997E-01  0.327997E-01  0.780386      0.260342      0.227542      0.227573      0.649278E-01   0.00000       0.00000      0.227573    
