   20.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   17.5499      0.980952       1.04955       1.01293       1.01757      -.319732E-01  0.319732E-01   2.03050      0.540707      0.508734      0.508838      0.472218       0.00000       0.00000      0.508838    
  0.103532E-02   17.2861      0.965515       1.03419      0.997995       1.00171      -.324800E-01  0.324800E-01   1.99971      0.533284      0.500804      0.500908      0.464711       0.00000       0.00000      0.500908    
  0.107189E-02   17.0223      0.950078       1.01884      0.983065      0.985851      -.329868E-01  0.329868E-01   1.96892      0.525860      0.492873      0.492978      0.457205       0.00000       0.00000      0.492978    
  0.110975E-02   16.7586      0.934641       1.00348      0.968135      0.969991      -.334936E-01  0.334936E-01   1.93813      0.518436      0.484943      0.485048      0.449698       0.00000       0.00000      0.485048    
  0.114895E-02   16.4948      0.919204      0.988131      0.953204      0.954131      -.340004E-01  0.340004E-01   1.90733      0.511013      0.477012      0.477118      0.442192       0.00000       0.00000      0.477118    
  0.118953E-02   16.2554      0.905236      0.974342      0.939808      0.939771      -.345712E-01  0.345712E-01   1.87958      0.504403      0.469832      0.469939      0.435405       0.00000       0.00000      0.469939    
  0.123155E-02   16.0185      0.891418      0.960712      0.926567      0.925563      -.351484E-01  0.351484E-01   1.85213      0.497876      0.462728      0.462835      0.428690       0.00000       0.00000      0.462835    
  0.127505E-02   15.7816      0.877600      0.947082      0.913326      0.911356      -.357257E-01  0.357257E-01   1.82468      0.491350      0.455624      0.455732      0.421976       0.00000       0.00000      0.455732    
  0.132009E-02   15.5447      0.863782      0.933452      0.900085      0.897149      -.363029E-01  0.363029E-01   1.79723      0.484823      0.448520      0.448629      0.415262       0.00000       0.00000      0.448629    
  0.136672E-02   15.3078      0.849964      0.919822      0.886844      0.882941      -.368801E-01  0.368801E-01   1.76979      0.478296      0.441416      0.441525      0.408548       0.00000       0.00000      0.441525    
  0.141499E-02   15.0709      0.836146      0.906192      0.873604      0.868734      -.374574E-01  0.374574E-01   1.74234      0.471770      0.434312      0.434422      0.401834       0.00000       0.00000      0.434422    
  0.146497E-02   14.8340      0.822328      0.892562      0.860363      0.854527      -.380346E-01  0.380346E-01   1.71489      0.465243      0.427209      0.427318      0.395120       0.00000       0.00000      0.427318    
  0.151672E-02   14.5971      0.808510      0.878932      0.847122      0.840320      -.386119E-01  0.386119E-01   1.68744      0.458717      0.420105      0.420215      0.388405       0.00000       0.00000      0.420215    
  0.157029E-02   14.3709      0.795331      0.865988      0.834554      0.826765      -.392235E-01  0.392235E-01   1.66132      0.452551      0.413327      0.413438      0.382004       0.00000       0.00000      0.413438    
  0.162576E-02   14.1585      0.782986      0.853943      0.822866      0.814063      -.398801E-01  0.398801E-01   1.63693      0.446856      0.406976      0.407087      0.376010       0.00000       0.00000      0.407087    
  0.168318E-02   13.9461      0.770642      0.841898      0.811179      0.801361      -.405367E-01  0.405367E-01   1.61254      0.441162      0.400625      0.400736      0.370017       0.00000       0.00000      0.400736    
  0.174263E-02   13.7337      0.758298      0.829853      0.799491      0.788659      -.411933E-01  0.411933E-01   1.58815      0.435467      0.394274      0.394386      0.364024       0.00000       0.00000      0.394386    
  0.180419E-02   13.5213      0.745953      0.817807      0.787803      0.775958      -.418499E-01  0.418499E-01   1.56376      0.429772      0.387923      0.388035      0.358031       0.00000       0.00000      0.388035    
  0.186791E-02   13.3089      0.733609      0.805762      0.776115      0.763256      -.425065E-01  0.425065E-01   1.53937      0.424078      0.381571      0.381684      0.352037       0.00000       0.00000      0.381684    
  0.193389E-02   13.0965      0.721264      0.793717      0.764428      0.750554      -.431631E-01  0.431631E-01   1.51498      0.418383      0.375220      0.375333      0.346044       0.00000       0.00000      0.375333    
  0.200220E-02   12.8841      0.708920      0.781672      0.752740      0.737852      -.438197E-01  0.438197E-01   1.49059      0.412689      0.368869      0.368983      0.340051       0.00000       0.00000      0.368983    
  0.207292E-02   12.6717      0.696576      0.769626      0.741052      0.725150      -.444763E-01  0.444763E-01   1.46620      0.406994      0.362518      0.362632      0.334058       0.00000       0.00000      0.362632    
  0.214614E-02   12.4808      0.685516      0.758980      0.730735      0.713761      -.452183E-01  0.452183E-01   1.44450      0.402042      0.356824      0.356938      0.328693       0.00000       0.00000      0.356938    
  0.222195E-02   12.2907      0.674511      0.748393      0.720475      0.702428      -.459640E-01  0.459640E-01   1.42290      0.397121      0.351157      0.351271      0.323354       0.00000       0.00000      0.351271    
  0.230043E-02   12.1007      0.663507      0.737805      0.710216      0.691096      -.467097E-01  0.467097E-01   1.40131      0.392200      0.345490      0.345605      0.318016       0.00000       0.00000      0.345605    
  0.238169E-02   11.9106      0.652502      0.727218      0.699957      0.679763      -.474554E-01  0.474554E-01   1.37972      0.387279      0.339824      0.339939      0.312678       0.00000       0.00000      0.339939    
  0.246581E-02   11.7205      0.641497      0.716631      0.689698      0.668430      -.482011E-01  0.482011E-01   1.35813      0.382358      0.334157      0.334272      0.307340       0.00000       0.00000      0.334272    
  0.255291E-02   11.5305      0.630492      0.706044      0.679439      0.657097      -.489467E-01  0.489467E-01   1.33654      0.377438      0.328491      0.328606      0.302002       0.00000       0.00000      0.328606    
  0.264308E-02   11.3404      0.619488      0.695456      0.669180      0.645764      -.496924E-01  0.496924E-01   1.31494      0.372517      0.322824      0.322940      0.296663       0.00000       0.00000      0.322940    
  0.273644E-02   11.1504      0.608483      0.684869      0.658921      0.634431      -.504381E-01  0.504381E-01   1.29335      0.367596      0.317158      0.317273      0.291325       0.00000       0.00000      0.317273    
  0.283310E-02   10.9702      0.598068      0.674933      0.649300      0.623701      -.512321E-01  0.512321E-01   1.27300      0.363025      0.311793      0.311908      0.286275       0.00000       0.00000      0.311908    
  0.293317E-02   10.8004      0.588279      0.665688      0.640356      0.613611      -.520774E-01  0.520774E-01   1.25397      0.358825      0.306748      0.306864      0.281531       0.00000       0.00000      0.306864    
  0.303677E-02   10.6307      0.578490      0.656444      0.631413      0.603521      -.529226E-01  0.529226E-01   1.23493      0.354625      0.301703      0.301819      0.276787       0.00000       0.00000      0.301819    
  0.314404E-02   10.4609      0.568701      0.647199      0.622469      0.593431      -.537679E-01  0.537679E-01   1.21590      0.350425      0.296658      0.296774      0.272044       0.00000       0.00000      0.296774    
  0.325509E-02   10.2912      0.558912      0.637955      0.613526      0.583341      -.546132E-01  0.546132E-01   1.19687      0.346226      0.291613      0.291729      0.267300       0.00000       0.00000      0.291729    
  0.337006E-02   10.1214      0.549124      0.628710      0.604582      0.573252      -.554584E-01  0.554584E-01   1.17783      0.342026      0.286568      0.286684      0.262556       0.00000       0.00000      0.286684    
  0.348910E-02   9.95168      0.539335      0.619465      0.595638      0.563162      -.563037E-01  0.563037E-01   1.15880      0.337826      0.281523      0.281639      0.257812       0.00000       0.00000      0.281639    
  0.361234E-02   9.78193      0.529546      0.610221      0.586695      0.553072      -.571490E-01  0.571490E-01   1.13977      0.333627      0.276478      0.276594      0.253068       0.00000       0.00000      0.276594    
  0.373994E-02   9.61238      0.519769      0.600989      0.577764      0.542994      -.579954E-01  0.579954E-01   1.12076      0.329434      0.271439      0.271555      0.248330       0.00000       0.00000      0.271555    
  0.387204E-02   9.46109      0.511082      0.592982      0.570034      0.534031      -.589514E-01  0.589514E-01   1.10406      0.325909      0.266957      0.267074      0.244125       0.00000       0.00000      0.267074    
  0.400881E-02   9.30980      0.502395      0.584975      0.562303      0.525068      -.599074E-01  0.599074E-01   1.08737      0.322383      0.262476      0.262592      0.239919       0.00000       0.00000      0.262592    
  0.415040E-02   9.15851      0.493709      0.576969      0.554572      0.516105      -.608634E-01  0.608634E-01   1.07068      0.318858      0.257995      0.258111      0.235714       0.00000       0.00000      0.258111    
  0.429700E-02   9.00721      0.485022      0.568962      0.546841      0.507142      -.618194E-01  0.618194E-01   1.05398      0.315333      0.253513      0.253629      0.231509       0.00000       0.00000      0.253629    
  0.444878E-02   8.85592      0.476335      0.560955      0.539111      0.498179      -.627754E-01  0.627754E-01   1.03729      0.311807      0.249032      0.249147      0.227303       0.00000       0.00000      0.249147    
  0.460592E-02   8.70463      0.467649      0.552948      0.531380      0.489217      -.637313E-01  0.637313E-01   1.02060      0.308282      0.244551      0.244666      0.223098       0.00000       0.00000      0.244666    
  0.476861E-02   8.55334      0.458962      0.544941      0.523649      0.480254      -.646873E-01  0.646873E-01   1.00390      0.304757      0.240069      0.240184      0.218893       0.00000       0.00000      0.240184    
  0.493705E-02   8.40205      0.450275      0.536934      0.515919      0.471291      -.656433E-01  0.656433E-01  0.987209      0.301231      0.235588      0.235703      0.214687       0.00000       0.00000      0.235703    
  0.511143E-02   8.25973      0.442124      0.529540      0.508788      0.462875      -.666648E-01  0.666648E-01  0.971664      0.298045      0.231380      0.231495      0.210743       0.00000       0.00000      0.231495    
  0.529198E-02   8.12518      0.434434      0.522676      0.502177      0.454933      -.677430E-01  0.677430E-01  0.957110      0.295152      0.227409      0.227524      0.207025       0.00000       0.00000      0.227524    
  0.547890E-02   7.99062      0.426745      0.515811      0.495566      0.446990      -.688212E-01  0.688212E-01  0.942556      0.292259      0.223438      0.223552      0.203307       0.00000       0.00000      0.223552    
  0.567243E-02   7.85607      0.419056      0.508947      0.488955      0.439047      -.698994E-01  0.698994E-01  0.928003      0.289366      0.219467      0.219581      0.199589       0.00000       0.00000      0.219581    
  0.587279E-02   7.72151      0.411366      0.502082      0.482344      0.431105      -.709776E-01  0.709776E-01  0.913449      0.286473      0.215496      0.215609      0.195871       0.00000       0.00000      0.215609    
  0.608022E-02   7.58696      0.403677      0.495218      0.475733      0.423162      -.720558E-01  0.720558E-01  0.898895      0.283580      0.211525      0.211638      0.192153       0.00000       0.00000      0.211638    
  0.629499E-02   7.45240      0.395988      0.488354      0.469122      0.415220      -.731340E-01  0.731340E-01  0.884342      0.280688      0.207554      0.207666      0.188434       0.00000       0.00000      0.207666    
  0.651734E-02   7.31785      0.388299      0.481489      0.462511      0.407277      -.742122E-01  0.742122E-01  0.869788      0.277795      0.203582      0.203695      0.184716       0.00000       0.00000      0.203695    
  0.674754E-02   7.18423      0.380665      0.474690      0.455964      0.399392      -.752987E-01  0.752987E-01  0.855356      0.274939      0.199640      0.199752      0.181025       0.00000       0.00000      0.199752    
  0.698588E-02   7.06484      0.373877      0.468882      0.450388      0.392371      -.765105E-01  0.765105E-01  0.842759      0.272641      0.196130      0.196241      0.177747       0.00000       0.00000      0.196241    
  0.723263E-02   6.94544      0.367090      0.463073      0.444812      0.385351      -.777223E-01  0.777223E-01  0.830163      0.270343      0.192620      0.192731      0.174469       0.00000       0.00000      0.192731    
  0.748810E-02   6.82604      0.360302      0.457265      0.439236      0.378331      -.789342E-01  0.789342E-01  0.817567      0.268045      0.189111      0.189220      0.171191       0.00000       0.00000      0.189220    
  0.775260E-02   6.70664      0.353514      0.451456      0.433660      0.371310      -.801460E-01  0.801460E-01  0.804970      0.265747      0.185601      0.185710      0.167913       0.00000       0.00000      0.185710    
  0.802643E-02   6.58724      0.346726      0.445648      0.428084      0.364290      -.813578E-01  0.813578E-01  0.792374      0.263449      0.182091      0.182199      0.164635       0.00000       0.00000      0.182199    
  0.830994E-02   6.46784      0.339938      0.439839      0.422508      0.357270      -.825697E-01  0.825697E-01  0.779777      0.261151      0.178581      0.178689      0.161357       0.00000       0.00000      0.178689    
  0.860346E-02   6.34844      0.333150      0.434031      0.416931      0.350249      -.837815E-01  0.837815E-01  0.767181      0.258853      0.175071      0.175178      0.158079       0.00000       0.00000      0.175178    
  0.890735E-02   6.22905      0.326362      0.428223      0.411355      0.343229      -.849934E-01  0.849934E-01  0.754584      0.256555      0.171561      0.171668      0.154801       0.00000       0.00000      0.171668    
  0.922198E-02   6.11680      0.320001      0.422933      0.406287      0.336646      -.862869E-01  0.862869E-01  0.742933      0.254557      0.168270      0.168376      0.151731       0.00000       0.00000      0.168376    
  0.954772E-02   6.00956      0.313938      0.418006      0.401576      0.330369      -.876377E-01  0.876377E-01  0.731944      0.252770      0.165132      0.165237      0.148806       0.00000       0.00000      0.165237    
  0.988496E-02   5.90233      0.307875      0.413080      0.396864      0.324092      -.889885E-01  0.889885E-01  0.720956      0.250982      0.161994      0.162098      0.145882       0.00000       0.00000      0.162098    
  0.102341E-01   5.79509      0.301813      0.408154      0.392152      0.317815      -.903393E-01  0.903393E-01  0.709967      0.249195      0.158856      0.158959      0.142957       0.00000       0.00000      0.158959    
  0.105956E-01   5.68785      0.295750      0.403228      0.387441      0.311538      -.916902E-01  0.916902E-01  0.698978      0.247408      0.155717      0.155820      0.140033       0.00000       0.00000      0.155820    
  0.109699E-01   5.58062      0.289688      0.398302      0.382729      0.305261      -.930410E-01  0.930410E-01  0.687989      0.245620      0.152579      0.152681      0.137109       0.00000       0.00000      0.152681    
  0.113573E-01   5.47338      0.283625      0.393375      0.378017      0.298984      -.943918E-01  0.943918E-01  0.677001      0.243833      0.149441      0.149542      0.134184       0.00000       0.00000      0.149542    
  0.117585E-01   5.36615      0.277563      0.388449      0.373305      0.292707      -.957426E-01  0.957426E-01  0.666012      0.242046      0.146303      0.146404      0.131260       0.00000       0.00000      0.146404    
  0.121738E-01   5.26018      0.271575      0.383613      0.368682      0.286506      -.971071E-01  0.971071E-01  0.655188      0.240310      0.143203      0.143303      0.128372       0.00000       0.00000      0.143303    
  0.126038E-01   5.16413      0.266171      0.379481      0.364750      0.280902      -.985785E-01  0.985785E-01  0.645652      0.238980      0.140402      0.140501      0.125770       0.00000       0.00000      0.140501    
