   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   7.82253      0.540885      0.659811      0.554350      0.646347      -.134644E-01  0.134644E-01   1.20070      0.308465      0.295001      0.295121      0.245885      0.562259E-01   0.00000      0.295121    
  0.103532E-02   7.74410      0.536259      0.655495      0.550054      0.641701      -.137946E-01  0.137946E-01   1.19175      0.306823      0.293028      0.293150      0.243231      0.555229E-01   0.00000      0.293150    
  0.107189E-02   7.66566      0.531633      0.651180      0.545758      0.637055      -.141248E-01  0.141248E-01   1.18281      0.305181      0.291056      0.291179      0.240577      0.548199E-01   0.00000      0.291179    
  0.110975E-02   7.58723      0.527007      0.646864      0.541462      0.632409      -.144550E-01  0.144550E-01   1.17387      0.303539      0.289084      0.289207      0.237923      0.541170E-01   0.00000      0.289207    
  0.114895E-02   7.50880      0.522381      0.642548      0.537167      0.627762      -.147852E-01  0.147852E-01   1.16493      0.301897      0.287112      0.287236      0.235269      0.534140E-01   0.00000      0.287236    
  0.118953E-02   7.43245      0.517922      0.638491      0.533068      0.623345      -.151459E-01  0.151459E-01   1.15641      0.300389      0.285243      0.285368      0.232680      0.527341E-01   0.00000      0.285368    
  0.123155E-02   7.35633      0.513480      0.634461      0.528990      0.618951      -.155098E-01  0.155098E-01   1.14794      0.298894      0.283384      0.283510      0.230096      0.520565E-01   0.00000      0.283510    
  0.127505E-02   7.28020      0.509038      0.630430      0.524912      0.614557      -.158737E-01  0.158737E-01   1.13947      0.297399      0.281525      0.281653      0.227513      0.513788E-01   0.00000      0.281653    
  0.132009E-02   7.20407      0.504596      0.626400      0.520834      0.610163      -.162375E-01  0.162375E-01   1.13100      0.295904      0.279666      0.279795      0.224930      0.507012E-01   0.00000      0.279795    
  0.136672E-02   7.12944      0.500277      0.622563      0.516903      0.605937      -.166262E-01  0.166262E-01   1.12284      0.294510      0.277883      0.278013      0.222393      0.500401E-01   0.00000      0.278013    
  0.141499E-02   7.05555      0.496017      0.618821      0.513044      0.601794      -.170270E-01  0.170270E-01   1.11484      0.293165      0.276138      0.276269      0.219879      0.493871E-01   0.00000      0.276269    
